#,Business Park,Address,City,Property Type,Tenant Name,Size (SF),Lease Type,Sign Date,Submarket,Clips
1,First Park Miami,8801 NW 87th Ave,Miami,Warehouse,Carbel,"368,287",New,Jul-21,Medley/Hialeah Gardens,https://commercialobserver.com/2021/07/carbel-warehouse-distribution-first-park-miami-lease-industrial/
2,Bridge Point Commerce Center,4310 NW 215th St,Miami Gardens,Warehouse,City Furniture,"286,875",New,Mar-21,Northeast Dade,https://therealdeal.com/miami/2021/03/31/city-furniture-leases-miami-gardens-distribution-center/
3,3750 Palm Dr,3750 Palm Dr,Homestead,Warehouse,Amazon,"216,000",New,Mar-21,Outlying Miami-Dade,https://therealdeal.com/miami/2020/09/16/homestead-board-oks-plans-for-e-commerce-warehouse-at-homestead-miami-speedway/
4,Coral Springs Distribution Center I Bldg C,4030 NW 126th Ave,Coral Springs,Warehouse,Amazon,"215,486",New,May-21,Northwest Broward,none
5,International Corporate Park,10205 NW 19th St,Miami,Warehouse,Expeditors International,"206,000",Renewal,Feb-21,Miami Airport West,none
6,Coral Springs Commerce Center II Bldg 4,4250 Coral Ridge Dr,Coral Springs,Warehouse,Ferguson Enterprises,"194,441",New,Aug-21,Northwest Broward,none
7,3350-3450 NW 112th St,3350-3450 NW 112th St,Miami,Warehouse,Retrievex / Access Information Management,"187,749",Renewal,Q1 2021,Northeast Dade,none
8,Bridge Point Commerce Center Bldg B,21201 NW 43rd Ave,Miami Gardens,Warehouse,USPS,"179,634",New,Jul-21,Northeast Dade,none
9,Tamarac Business Center Bldg I,6901 N Hiatus Rd,Tamarac,Warehouse,Amazon,"178,322",New,Apr-21,Southwest Broward,https://tamaractalk.com/amazon-to-open-fulfillment-center-in-tamarac-25618
10,Prologis Beacon Lakes 24,13155 NW 19th Ln,Miami,Warehouse,King Ocean,"157,258",New,Dec-21,Miami Airport West,https://therealdeal.com/miami/2021/12/06/lease-roundup-apollo-capital-expands-to-brickell-pura-vida-to-coral-gables/
