Neighborhood,Brokerage,Total Sales Volume,Number of Deals,Market Share
Upper West Side,Compass,"$556,921,500 ",307,30.44%
Upper East Side,Compass,"$695,603,013 ",208,33.50%
Greenwich Village,Compass,"$415,430,834 ",156,51.60%
Lincoln Square,Douglas Elliman,"$791,382,376 ",155,40.32%
Yorkville,Compass,"$233,585,254 ",150,36.73%
Lenox Hill,Douglas Elliman,"$398,645,206 ",146,25.84%
Chelsea,Corcoran Group,"$469,623,468 ",143,43.90%
West Village,Compass,"$447,597,190 ",140,47.23%
Financial District,Douglas Elliman,"$178,030,724 ",101,44.19%
Gramercy Park,Compass,"$142,981,089 ",100,36.79%
Tribeca,Compass,"$463,987,749 ",91,32.85%
Turtle Bay,Douglas Elliman,"$126,610,768 ",81,36.81%
Sutton Place,Corcoran Group,"$201,234,280 ",71,39.69%
Murray Hill,Corcoran Group,"$86,940,865 ",66,35.43%
Kips Bay,Compass,"$69,414,933 ",65,38.13%
Battery Park City,Corcoran Group,"$87,450,548 ",64,73.18%
East Village,Compass,"$104,130,247 ",64,51.76%
Carnegie Hill,Brown Harris Stevens,"$224,956,826 ",63,26.82%
Park Avenue,Douglas Elliman,"$182,700,000 ",60,62.99%
Morningside Heights,Corcoran Group,"$88,137,388 ",57,52.10%
Grand Central,Douglas Elliman,"$88,805,019 ",53,57.10%
South Harlem,Compass,"$63,914,106 ",49,54.08%
Flatiron,Compass,"$95,570,815 ",49,26.18%
Hell's Kitchen,Compass,"$51,938,157 ",45,35.53%
Hudson Yards,Corcoran Group,"$273,837,014 ",41,88.08%
Hudson Heights,Compass,"$23,358,400 ",39,43.34%
Central Harlem,Douglas Elliman,"$36,023,308 ",38,40.59%
Times Square North,Corcoran Group,"$426,243,377 ",35,78.13%
SoHo,Compass,"$134,166,925 ",34,36.39%
Roosevelt Island,Corcoran Group,"$32,903,761 ",31,81.69%
Sixth Avenue,Douglas Elliman,"$86,087,361 ",29,74.02%
East Harlem,Compass,"$25,366,954 ",28,50.81%
Times Square,Corcoran Group,"$33,024,411 ",27,51.62%
Two Bridges,Corcoran Group,"$63,669,617 ",25,78.45%
Garment District,Douglas Elliman,"$88,998,800 ",25,59.58%
Hudson Square,Compass,"$95,497,998 ",25,51.62%
Lower East Side,Compass,"$48,288,850 ",23,35.70%
Plaza District,Sotheby's International Realty,"$384,350,000 ",21,56.25%
Hamilton Heights,Compass,"$14,690,999 ",19,36.61%
Washington Heights,Compass,"$11,401,000 ",15,57.22%
Manhattan Valley,Compass,"$15,133,000 ",15,30.27%
Noho,Compass,"$80,402,500 ",11,62.92%
