Neighborhood,No. of Off Market Deals 2024,Off-Market Volume 2024,No. of Off Market Deals 2025,Off-Market Volume 2025,YoY % Change Off-Market Volume
Upper West Side,208,"$314,730,686 ",313,"$551,010,461 ",75.07%
Lenox Hill,135,"$379,271,707 ",181,"$492,880,424 ",29.95%
Lincoln Square,189,"$332,318,518 ",191,"$462,010,988 ",39.03%
Upper East Side,114,"$269,476,390 ",190,"$446,683,073 ",65.76%
Borough Park,297,"$447,262,782 ",261,"$436,369,903 ",-2.44%
Park Slope,88,"$155,826,967 ",104,"$417,348,598 ",167.83%
Tribeca,49,"$251,627,146 ",69,"$344,049,301 ",36.73%
East Williamsburg,84,"$110,056,291 ",200,"$298,084,917 ",170.85%
Plaza District,31,"$404,104,290 ",57,"$291,357,043 ",-27.90%
Gravesend,128,"$205,819,226 ",159,"$269,747,113 ",31.06%
Flushing,225,"$155,060,200 ",374,"$266,075,247 ",71.59%
South Williamsburg,79,"$153,101,622 ",124,"$254,867,471 ",66.47%
Ocean Parkway,83,"$175,672,671 ",103,"$231,049,193 ",31.52%
West Village,58,"$170,207,991 ",93,"$220,804,679 ",29.73%
Greenwich Village,85,"$354,243,583 ",92,"$219,637,932 ",-38.00%
Chelsea,112,"$115,537,204 ",226,"$213,118,074 ",84.46%
Forest Hills,204,"$147,614,069 ",284,"$208,597,989 ",41.31%
Bedford-Stuyvesant,163,"$218,175,984 ",129,"$189,585,435 ",-13.10%
Yorkville,118,"$132,190,470 ",150,"$171,534,998 ",29.76%
Stuyvesant Heights,94,"$119,815,342 ",130,"$171,370,147 ",43.03%
East New York,205,"$135,195,810 ",243,"$168,425,048 ",24.58%
Hunters Point,65,"$78,438,636 ",119,"$164,066,859 ",109.17%
Elmhurst,163,"$89,990,443 ",233,"$163,936,844 ",82.17%
Northeast Flatbush,174,"$126,408,031 ",222,"$161,664,711 ",27.89%
Midwood,115,"$136,938,022 ",118,"$161,219,928 ",17.73%
Astoria,126,"$119,363,342 ",170,"$161,124,182 ",34.99%
Crown Heights,121,"$147,127,082 ",129,"$158,847,925 ",7.97%
Carnegie Hill,55,"$158,645,150 ",59,"$150,600,192 ",-5.07%
Turtle Bay,61,"$67,564,884 ",127,"$148,627,357 ",119.98%
South Jamaica,173,"$104,311,101 ",230,"$147,997,121 ",41.88%
DUMBO,17,"$32,269,763 ",61,"$144,508,659 ",347.81%
St. Albans,143,"$88,155,737 ",215,"$141,379,561 ",60.37%
Gramercy Park,44,"$61,669,135 ",94,"$120,716,296 ",95.75%
Canarsie,111,"$71,025,877 ",179,"$119,675,664 ",68.50%
Bushwick,99,"$101,066,772 ",100,"$118,818,626 ",17.56%
Long Island City,66,"$60,169,991 ",97,"$114,595,872 ",90.45%
Sutton Place,62,"$55,085,927 ",95,"$113,761,337 ",106.52%
"Murray Hill, QNS",123,"$82,814,148 ",125,"$112,430,020 ",35.76%
Bay Ridge,78,"$68,230,593 ",95,"$105,917,961 ",55.24%
Bayside,54,"$50,395,569 ",106,"$105,270,074 ",108.89%
Greenpoint,45,"$70,098,787 ",52,"$105,098,467 ",49.93%
Mapleton,67,"$91,498,028 ",68,"$102,840,471 ",12.40%
Sunset Park,69,"$65,458,870 ",107,"$101,049,607 ",54.37%
Bensonhurst,69,"$71,939,607 ",79,"$96,336,199 ",33.91%
Financial District,60,"$65,068,012 ",69,"$95,968,333 ",47.49%
Kew Garden Hills,135,"$72,114,694 ",142,"$90,520,936 ",25.52%
Homecrest,80,"$61,681,006 ",101,"$90,249,513 ",46.32%
Sheepshead Bay,88,"$103,389,274 ",87,"$88,699,870 ",-14.21%
East Flushing,80,"$59,667,637 ",99,"$81,211,343 ",36.11%
Jackson Heights,105,"$56,193,198 ",134,"$80,271,087 ",42.85%
Woodside,57,"$33,376,728 ",121,"$76,870,579 ",130.31%
Jamaica Estates,54,"$52,492,065 ",65,"$76,713,367 ",46.14%
Kensington,66,"$76,787,929 ",65,"$75,918,328 ",-1.13%
South Ozone Park,73,"$48,040,977 ",95,"$75,528,689 ",57.22%
Downtown Brooklyn,53,"$36,928,952 ",50,"$75,123,104 ",103.43%
Springfield Gardens,67,"$42,332,492 ",106,"$75,085,740 ",77.37%
Middle Village,69,"$52,227,776 ",87,"$73,019,995 ",39.81%
Woodhaven,103,"$71,770,353 ",96,"$71,142,229 ",-0.88%
Queens Village,84,"$50,429,438 ",108,"$69,595,961 ",38.01%
Corona,182,"$125,670,791 ",67,"$69,118,437 ",-45.00%
Glendale,63,"$43,900,366 ",80,"$67,116,596 ",52.88%
Murray Hill,64,"$42,667,075 ",79,"$66,505,439 ",55.87%
Oakland Gardens,166,"$78,299,038 ",116,"$64,912,001 ",-17.10%
Whitestone,72,"$66,194,717 ",68,"$63,263,656 ",-4.43%
Laurelton,70,"$38,225,548 ",104,"$63,251,433 ",65.47%
Far Rockaway,74,"$57,908,645 ",81,"$60,998,995 ",5.34%
South Richmond Hill,67,"$47,095,470 ",90,"$60,772,403 ",29.04%
Rego Park,107,"$53,071,083 ",122,"$60,172,544 ",13.38%
Glen Oaks Village,109,"$41,582,756 ",133,"$59,336,913 ",42.70%
Kips Bay,42,"$34,731,282 ",59,"$57,082,349 ",64.35%
Dyker Heights,34,"$37,618,626 ",50,"$55,619,415 ",47.85%
Bay Terrace,57,"$33,896,424 ",77,"$55,442,066 ",63.56%
Rockaways,69,"$51,550,000 ",61,"$53,702,805 ",4.18%
South Harlem,52,"$41,375,391 ",65,"$52,634,118 ",27.21%
Ridgewood,49,"$46,929,226 ",51,"$52,618,507 ",12.12%
Lower East Side,27,"$28,756,616 ",54,"$49,480,290 ",72.07%
College Point,56,"$42,459,427 ",60,"$47,058,291 ",10.83%
Rosedale,41,"$29,506,658 ",63,"$45,132,494 ",52.96%
Brighton Beach,73,"$54,045,212 ",74,"$44,929,602 ",-16.87%
North Corona,56,"$31,327,459 ",57,"$44,002,683 ",40.46%
Flatbush,46,"$34,101,114 ",55,"$40,981,608 ",20.18%
Bellerose,46,"$20,510,912 ",56,"$40,409,615 ",97.02%
Sunnyside,45,"$30,759,965 ",58,"$40,130,472 ",30.46%
