Neighborhood,Borough,No. of permits,No. of added dwelling units,Dwellings added per permit
Astoria,QUEENS,15,52,3.47
Bay Ridge,BROOKLYN,5,4,0.8
Bayside,QUEENS,10,8,0.8
Bedford-Stuyvesant,BROOKLYN,19,59,3.11
Belmont,BRONX,5,22,4.4
Bensonhurst,BROOKLYN,5,3,0.6
Borough Park,BROOKLYN,26,71,2.73
Brownsville,BROOKLYN,14,222,15.86
Bushwick,BROOKLYN,18,61,3.39
Central Harlem,MANHATTAN,7,53,7.57
Clinton Hill,BROOKLYN,8,54,6.75
Concourse,BRONX,9,59,6.56
Crown Heights,BROOKLYN,21,96,4.57
East Flushing,QUEENS,10,10,1
East Village,MANHATTAN,8,178,22.25
East Williamsburg,BROOKLYN,19,74,3.89
East Williamsburg-Bushwick,BROOKLYN,7,34,4.86
Elmhurst,QUEENS,9,7,0.78
Financial District,MANHATTAN,9,"3,244",360.44
Flatbush,BROOKLYN,13,63,4.85
Flatiron,MANHATTAN,6,44,7.33
Flushing,QUEENS,8,69,8.63
Forest Hills,QUEENS,6,63,10.5
Garment District,MANHATTAN,5,209,41.8
Gramercy Park,MANHATTAN,6,118,19.67
Gravesend,BROOKLYN,10,39,3.9
Great Kills,STATEN ISLAND,6,6,1
Greenpoint,BROOKLYN,10,24,2.4
Greenwood,BROOKLYN,5,85,17
Hunts Point,BRONX,8,69,8.63
Jackson Heights,QUEENS,5,6,1.2
Kensington,BROOKLYN,5,4,0.8
Kew Garden Hills,QUEENS,8,9,1.13
Laurelton,QUEENS,6,6,1
Lenox Hill,MANHATTAN,9,51,5.67
Long Island City,QUEENS,5,32,6.4
Lower East Side,MANHATTAN,6,25,4.17
Morris Heights,BRONX,8,81,10.13
North Williamsburg,BROOKLYN,7,50,7.14
Northeast Flatbush,BROOKLYN,11,27,2.45
Oakland Gardens,QUEENS,6,4,0.67
Park Slope,BROOKLYN,9,49,5.44
Port Richmond,STATEN ISLAND,7,19,2.71
Prospect Heights,BROOKLYN,5,40,8
Queens Village,QUEENS,6,6,1
Ridgewood,QUEENS,5,12,2.4
Rosedale,QUEENS,8,8,1
Soundview,BRONX,11,56,5.09
South Jamaica,QUEENS,22,24,1.09
South Ozone Park,QUEENS,9,9,1
South Richmond Hill,QUEENS,7,10,1.43
South Williamsburg,BROOKLYN,8,13,1.63
Springfield Gardens,QUEENS,8,6,0.75
St. Albans,QUEENS,6,6,1
Stuyvesant Heights,BROOKLYN,6,26,4.33
Sunset Park,BROOKLYN,16,48,3
Upper East Side,MANHATTAN,9,125,13.89
Upper West Side,MANHATTAN,11,136,12.36
Wakefield,BRONX,5,10,2
West Village,MANHATTAN,8,11,1.38
Williamsbridge,BRONX,6,24,4
Woodhaven,QUEENS,6,9,1.5
