City,No. off-market deals 24/25,Off-market volume 24/25,No. off-market deals 25/26,Off-market volume 25/26,YoY change off-market volume
San Francisco,98,"$605,801,400",158,"$1,036,520,582",71.10%
Healdsburg,5,"$18,700,000",6,"$31,765,000",69.87%
Mill Valley,13,"$65,162,000",22,"$103,762,000",59.24%
Ross,6,"$56,235,000",8,"$88,295,000",57.01%
Hillsborough,11,"$114,139,000",26,"$179,203,000",57.00%
Saratoga,9,"$41,302,000",15,"$62,807,500",52.07%
Portola Valley,5,"$58,760,000",9,"$80,183,500",36.46%
Menlo Park,29,"$132,559,000",27,"$174,596,000",31.71%
Burlingame,7,"$34,785,000",11,"$45,408,000",30.54%
Atherton,18,"$334,270,000",27,"$414,234,000",23.92%
Palo Alto,36,"$192,587,000",30,"$219,915,500",14.19%
San Mateo,5,"$17,194,500",5,"$18,425,000",7.16%
Los Gatos,7,"$36,868,000",8,"$37,305,000",1.19%
Cupertino,7,"$31,237,000",8,"$30,375,000",-2.76%
Sunnyvale,6,"$20,868,000",6,"$20,132,000",-3.53%
Los Altos Hills,10,"$69,737,500",8,"$66,667,000",-4.40%
San Jose,22,"$83,976,500",15,"$66,148,500",-21.23%
Los Altos,21,"$106,197,500",17,"$82,744,000",-22.08%
Mountain View,7,"$39,789,000",5,"$23,620,000",-40.64%
Kentfield,9,"$40,145,000",5,"$21,250,000",-47.07%
Woodside,13,"$196,297,000",10,"$99,080,000",-49.53%
