cannabis_store_name,cannabis_start_date,address,neighborhood,lat,lon,previous_tenant_name,previous_category,previous_tenant_end
Alto,2024-10-24 17:17:49+00:00,110 Chambers Street,Tribeca,40.71497437587239,-74.00827389,The Patriot,Bar,2023-05-24 04:47:00+00:00
Fire Escape Cannabis,2026-04-27 21:12:01+00:00,103 Avenue A,East Village,40.72583287758322,-73.98385907,Hayaty,Restaurant,2023-07-18 10:41:36+00:00
Ava Flower Company,2026-03-06 06:41:01+00:00,1280 1st Avenue,Lenox Hill,40.76561106767435,-73.95738385,Bamboo Sushi,Restaurant,2025-06-10 01:19:10+00:00
Verdi,2024-04-26 19:10:51+00:00,158 West 23rd Street,Chelsea,40.74366205754243,-73.99499667,Bang Chengdu Street Kitchen,Restaurant,2019-06-19 21:10:39+00:00
By Any Other Name,2024-12-24 06:19:50+00:00,946 Fulton Street,Clinton Hill,40.68254000571154,-73.96296908,Buka,Restaurant,2022-08-08 17:01:35+00:00
Carnegie Hill Cannabis Co.,2026-02-05 19:00:40+00:00,1720 2nd Avenue,Yorkville,40.77995968813471,-73.95001123,Chef Ho's Peking Duck Grill,Restaurant,2018-06-13 18:33:42+00:00
Emerald Dispensary,2026-04-16 17:09:14+00:00,548 Court Street,Carroll Gardens,40.675076240562674,-73.99954466,Santo Bruklin,Restaurant,2025-01-23 07:17:17+00:00
Indoor,2026-05-22 20:32:02+00:00,474 Fashion Avenue,Garment District,40.75214712068462,-73.9899933,Mr Nugz Cannabis Club,"Vapes, Cigars & Accessories",2025-12-03 02:34:18+00:00
The Garden Club,2026-04-27 21:09:44+00:00,227 Smith Street,Boerum Hill,40.68399646,-73.99219084,The First National Bank of Long Island - Cobble Hill,Banks & Atms,2025-01-23 07:33:11+00:00
Paradise Cannabis,2025-10-16 20:04:52+00:00,1557 Fulton Street,Stuyvesant Heights,40.67993048186082,-73.93902721,Ric's Stony Hill Restaurant & Lounge,Dine In,2018-06-19 20:13:51+00:00
Pryzm,2026-03-06 07:45:01+00:00,15 Avenue B,East Village,40.72188974259924,-73.98339863,Luzzo's La Pizza Napoletana,Restaurant,2024-06-28 02:23:56+00:00
The Yetti Club,2026-07-15 14:39:07+00:00,317 1st Avenue,Gramercy Park,40.734116000807205,-73.98076023,Smoke Shop,"Vapes, Cigars & Accessories",2025-11-11 01:29:47+00:00
Gotham Buds,2023-11-09 21:45:28+00:00,248 West 125th Street,South Harlem,40.80945592943089,-73.94986331,The Children's Place,Clothing Store,2023-06-25 16:52:29+00:00
Stoops NYC,2024-08-02 16:36:22+00:00,182 5th Avenue,Flatiron,40.74130664565956,-73.98996064,7-Eleven,Groceries & Convenience,2021-04-26 03:45:44+00:00
Soulmate,2025-04-28 21:06:58+00:00,237 Dekalb Avenue,Fort Greene,40.689585649818355,-73.96973789,Heritage Wines,Liquor & Wine,2025-01-30 02:19:14+00:00
Smacked Village,2023-10-24 19:30:48+00:00,144 Bleecker Street,Greenwich Village,40.72812847861581,-73.99928916,Duane Reade,Pharmacy,2017-11-02 19:03:16+00:00
Herbwell,2025-05-16 17:11:30+00:00,519 Madison Avenue,Park Avenue,40.759904884411014,-73.97392643,Marmi,Shoe Store,2023-06-27 03:16:12+00:00
Culture House,2024-08-02 15:23:36+00:00,958 6th Avenue,Garment District,40.75028973025857,-73.9872184,Cookies,Clothing Store,2024-08-02 15:23:36+00:00
Buzzwick,2026-07-15 17:07:27+00:00,4930 Broadway,Inwood,40.86747938757306,-73.92139245,La Marca Eye Care,Healthcare,2026-07-15 17:07:27+00:00
Housing Works Cannabis Co,2023-08-09 17:12:36+00:00,750 Broadway,Noho,40.73045436760935,-73.99236905,Gap Men,Clothing Store,2023-05-24 19:52:07+00:00
The Travel Agency,2025-08-09 04:27:08+00:00,598 Broadway,SoHo,40.72508199309465,-73.99691061,Spirit Halloween,Party Supplies & Costumes,2020-02-26 18:52:52+00:00
The Flowery,2025-07-29 01:36:51+00:00,481 Broadway,SoHo,40.72155532,-74.00022991,Fifteen Twenty Inc,Groceries & Convenience,2022-05-26 15:47:05+00:00
Leflora,2025-11-05 02:48:49+00:00,155 William Street,Financial District,40.7099104,-74.00619306,Bareburger,Restaurant,2019-09-27 21:46:52+00:00
Chrome Flwrs,2026-02-18 16:55:36+00:00,185 Nassau Avenue,Greenpoint,40.72553836854789,-73.94572521,Busy Bee Food Exchange,Groceries & Convenience,2024-01-17 09:49:08+00:00
