SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,1221 W 48 St,Miami Beach,FL,33140,12900000,5,5.5,NAUTILUS SUB,5863,16000,1929,2,2200,,Active,,,https://www.redfin.com/FL/Miami-Beach/1221-W-48th-St-33140/home/42788119,MARMLS,A11369399,N,Y,25.8250873,-80.1335402
MLS Listing,,Condo/Co-op,102 24th St Ph -1606,Miami Beach,FL,33139,6950000,3,3.0,2399 COLLINS AVENUE,1736,,2015,6,4003,4520,Active,,,https://www.redfin.com/FL/Miami-Beach/102-24th-St-33139/unit-1606/home/79136366,MARMLS,A11368064,N,Y,25.7997697,-80.1268647
MLS Listing,,Single Family Residential,1051 N Venetian Dr,Miami,FL,33139,15500000,4,4.5,BISCAYNE ISLAND,5656,7500,2021,6,2740,,Active,,,https://www.redfin.com/FL/Miami-Beach/1051-N-Venetian-Dr-33139/home/42726665,MARMLS,A11368236,N,Y,25.7909922,-80.1736219
MLS Listing,,Single Family Residential,6640 Allison Rd,Miami Beach,FL,33141,19975000,8,8.5,MARKS LAND,8911,20052,1992,6,2242,,Active,,,https://www.redfin.com/FL/Miami-Beach/6640-Allison-Rd-33141/home/42772236,MARMLS,A11368181,N,Y,25.8500623,-80.1250752
MLS Listing,,Single Family Residential,3300 Chase Ave,Miami Beach,FL,33140,13999999,5,6.5,MID GOLF EXTENSION SUB,5363,10960,2016,7,2610,,Active,,,https://www.redfin.com/FL/Miami-Beach/3300-Chase-Ave-33140/home/42789456,MARMLS,A11367889,N,Y,25.809202,-80.1343534
MLS Listing,,Single Family Residential,1564 Daytonia Rd,Miami Beach,FL,33141,6955000,5,4.5,BISCAYNE POINT,3840,11250,1953,7,1811,,Active,,,https://www.redfin.com/FL/Miami-Beach/1564-Daytonia-Rd-33141/home/42772818,MARMLS,A11367848,N,Y,25.8631759,-80.1358364
MLS Listing,,Condo/Co-op,102 24th St Ph -1720,Miami Beach,FL,33139,8999995,4,4.5,2399 COLLINS AVENUE,2565,,2015,7,3509,4843,Active,,,https://www.redfin.com/FL/Miami-Beach/102-24th-St-33139/unit-1720/home/79136388,MARMLS,A11366114,N,Y,25.7997697,-80.1268647
MLS Listing,,Vacant Land,1003 Links Dr,Fisher Island,FL,33109,13000000,,,Fisher Island,,15942,,7,,,Active,,,https://www.redfin.com/FL/Fisher-Island/1003-Links-DR-33109/home/182043689,MARMLS,A11367601,N,Y,25.7609329,-80.1400459
MLS Listing,,Vacant Land,1004 Links Dr,Fisher Island,FL,33109,13000000,,,Fisher Island,,15694,,7,,,Active,,,https://www.redfin.com/FL/Fisher-Island/1004-Links-DR-33109/home/182043705,MARMLS,A11367605,N,Y,25.7609329,-80.1400459
MLS Listing,,Condo/Co-op,4701 N Meridian Ave #302,Miami Beach,FL,33140,5450000,3,3.5,THE RITZ-CARLTON RESIDENCE,2912,,2019,7,1872,4379,Active,,,https://www.redfin.com/FL/Miami-Beach/4701-N-Meridian-Ave-33140/unit-302/home/79136271,MARMLS,A11366323,N,Y,25.8227618,-80.1321616
