Region,Market,Date,Agents,Agents chg,Price,Price chg,Price per Sq. Ft.,Price per Sq. Ft. chg.,Days on Market,Days on Market chg.,Sold Houses,Sold Houses chg.
County,"Miami-Dade, FL",Mar-23,3944,0.305,834663.07,0.062,466,0.015,64,0,2440,0.28
County,"Miami-Dade, FL",Feb-23,3022,0.163,786283.53,-0.069,459,-0.004,64,0.032,1757,0.168
County,"Miami-Dade, FL",Jan-23,2599,-0.18,844850.62,0.18,461,0.06,62,0.148,1461,-0.27
County,"Miami-Dade, FL",Dec-22,3170,0.01,716120.23,-0.037,435,-0.018,54,0.038,1855,0.024
County,"Miami-Dade, FL",Nov-22,3139,-0.105,743325.51,-0.052,443,-0.013,52,0.061,1810,-0.177
County,"Miami-Dade, FL",Oct-22,3509,-0.092,784414.82,0.02,449,0.018,49,0.065,2131,-0.071
County,"Miami-Dade, FL",Sep-22,3865,-0.07,768845.58,0.141,441,0.06,46,0.179,2282,-0.133
County,"Miami-Dade, FL",Aug-22,4154,0.003,673547.53,-0.12,416,-0.048,39,-0.025,2585,0.012
County,"Miami-Dade, FL",Jul-22,4141,-0.166,765662.2,-0.1,437,-0.084,40,-0.07,2555,-0.224
County,"Miami-Dade, FL",Jun-22,4967,-0.045,851110.85,-0.033,477,-0.021,43,-0.157,3128,-0.079
County,"Miami-Dade, FL",May-22,5199,-0.074,880011.22,0.051,487,0.032,51,-0.089,3374,-0.104
County,"Miami-Dade, FL",Apr-22,5616,-0.079,837640.04,0.021,472,0.026,56,-0.082,3724,-0.109
County,"Miami-Dade, FL",Mar-22,6101,0.301,820608.61,0.026,460,0.029,61,-0.129,4129,0.28
County,"Miami-Dade, FL",Feb-22,4689,0.053,799703.75,0.013,447,0.052,70,0.029,2971,0.06
County,"Miami-Dade, FL",Jan-22,4452,-0.19,789449.74,-0.069,425,0.007,68,0.015,2792,-0.309
County,"Broward, FL",Mar-23,4307,0.349,518651.62,0,318,0.026,52,0,2746,0.312
County,"Broward, FL",Feb-23,3192,0.132,518763.92,-0.028,310,-0.016,52,0.061,1889,0.147
County,"Broward, FL",Jan-23,2821,-0.171,533474.75,0.081,315,0.061,49,0.114,1612,-0.271
County,"Broward, FL",Dec-22,3402,0.049,493655,-0.01,297,-0.017,44,0.048,2049,0.043
County,"Broward, FL",Nov-22,3244,-0.154,498512.4,0.012,302,-0.013,42,0.077,1961,-0.176
County,"Broward, FL",Oct-22,3835,-0.037,492447.36,-0.061,306,-0.019,39,0.114,2307,-0.07
County,"Broward, FL",Sep-22,3982,-0.121,524519.17,0.012,312,0.013,35,0.129,2468,-0.135
County,"Broward, FL",Aug-22,4531,0.059,518379.84,-0.099,308,-0.055,31,0.107,2801,0.039
County,"Broward, FL",Jul-22,4279,-0.163,575356.69,0.016,326,0.016,28,0,2691,-0.251
County,"Broward, FL",Jun-22,5111,0.004,566403.3,-0.012,321,0.009,28,-0.067,3367,-0.015
