SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-26-2023,Condo/Co-op,16141 Blatt Blvd #205,Weston,FL,33326,340000,2,2.0,FAIRWAYS AT BONAVENTURE C,1292,,1981,,263,399,Sold,,,https://www.redfin.com/FL/Weston/16141-Blatt-Blvd-33326/unit-205/home/41720997,MARMLS,A11402505,N,Y,26.121694,-80.365599
PAST SALE,July-27-2023,Condo/Co-op,851 Three Islands Blvd #210,Hallandale,FL,33009,246000,2,2.0,De Soto Park Condo,1350,,1975,,182,547,Sold,,,https://www.redfin.com/FL/Hallandale-Beach/851-Three-Islands-Blvd-33009/unit-210/home/41958176,Beaches MLS,F10387715,N,Y,25.9946739,-80.1278221
PAST SALE,June-22-2023,Condo/Co-op,2124 NE 5th Ave #107,Wilton Manors,FL,33305,255000,1,1.0,Marvilla Condominium,549,,1965,,464,525,Sold,,,https://www.redfin.com/FL/Wilton-Manors/2124-NE-5th-Ave-33305/unit-107/home/42059980,Beaches MLS,RX-10888227,N,Y,26.1556701,-80.1397618
PAST SALE,August-21-2023,Condo/Co-op,9450 Live Oak Pl #102,Davie,FL,33324,310000,2,2.0,LIVE OAK CONDO SEVEN,980,,1974,,316,568,Sold,,,https://www.redfin.com/FL/Davie/9450-Live-Oak-Pl-33324/unit-102/home/41767480,MARMLS,A11414137,N,Y,26.094318,-80.2786031
PAST SALE,June-30-2023,Condo/Co-op,2323 SW 15th St #50,Deerfield Beach,FL,33442,290000,2,2.0,Meadowridge Condo,1100,,1981,,264,368,Sold,,,https://www.redfin.com/FL/Deerfield-Beach/2323-SW-15th-St-33442/unit-50/home/41472479,Beaches MLS,RX-10887375,N,Y,26.2974654,-80.1352257
PAST SALE,August-3-2023,Condo/Co-op,5258 NE 6th Ave Unit E17,Oakland Park,FL,33334,190000,2,1.0,Embarcadero Condo,684,,1981,,278,378,Sold,,,https://www.redfin.com/FL/Oakland-Park/5258-NE-6th-Ave-33334/unit-E17/home/41655013,Beaches MLS,F10382301,N,Y,26.1923041,-80.1363271
PAST SALE,June-15-2023,Condo/Co-op,2000 2000 Metropica Way #1109,Sunrise,FL,33323,729750,3,3.0,One Metropica,,,2020,,,1355,Sold,,,https://www.redfin.com/FL/Sunrise/2000-Metropica-Way-33323/unit-1109/home/113720874,MARMLS,A11442115,N,Y,26.1492936,-80.3281433
PAST SALE,July-26-2023,Condo/Co-op,2000 Metropica Way #1503,Sunrise,FL,,772135,2,2.5,One Metropica,,,2020,,,1232,Sold,,,https://www.redfin.com/FL/Sunrise/2000-Metropica-Way-33323/unit-1503/home/174071965,MARMLS,A11441331,N,Y,26.1492936,-80.3281433
PAST SALE,July-7-2023,Condo/Co-op,5170 SW 40th Ave Unit 1E,Dania Beach,FL,33314,160000,2,2.0,OAK HILLS CONDO NO IV,1060,,1973,,151,480,Sold,,,https://www.redfin.com/FL/Fort-Lauderdale/5170-SW-40th-Ave-33314/unit-1E/home/41820824,MARMLS,A11424969,N,Y,26.057124,-80.2001885
PAST SALE,June-12-2023,Condo/Co-op,3111 N Ocean Dr #906,Hollywood,FL,33019,655000,2,2.0,HOLLYWOOD TOWERS CONDO,1204,,1967,,544,918,Sold,,,https://www.redfin.com/FL/Hollywood/3111-N-Ocean-Dr-33019/unit-906/home/41930044,MARMLS,A11409058,N,Y,26.0306884,-80.1155142
