SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-26-2023,Condo/Co-op,16141 Blatt Blvd #205,Weston,FL,33326,340000,2,2.0,FAIRWAYS AT BONAVENTURE C,1292,,1981,,263,399,Sold,,,https://www.redfin.com/FL/Weston/16141-Blatt-Blvd-33326/unit-205/home/41720997,MARMLS,A11402505,N,Y,26.121694,-80.365599
PAST SALE,July-27-2023,Condo/Co-op,851 Three Islands Blvd #210,Hallandale,FL,33009,246000,2,2.0,De Soto Park Condo,1350,,1975,,182,547,Sold,,,https://www.redfin.com/FL/Hallandale-Beach/851-Three-Islands-Blvd-33009/unit-210/home/41958176,Beaches MLS,F10387715,N,Y,25.9946739,-80.1278221
PAST SALE,September-8-2023,Condo/Co-op,110 N Federal Hwy #616,Fort Lauderdale,FL,33301,527000,2,2.0,Waverly,1244,,2005,,424,1068,Sold,,,https://www.redfin.com/FL/Fort-Lauderdale/110-N-Federal-Hwy-33301/unit-616/home/42027061,Beaches MLS,F10392557,N,Y,26.1233048,-80.1369654
PAST SALE,September-15-2023,Condo/Co-op,1341 SE 3rd Ave #110,Dania Beach,FL,33004,340000,2,2.0,SHERIDAN EAST CONDO BLDG,1020,,1998,,333,553,Sold,,,https://www.redfin.com/FL/Dania/1341-SE-3rd-Ave-33004/unit-110/home/42028016,MARMLS,A11425465,N,Y,26.034706,-80.139638
PAST SALE,August-21-2023,Condo/Co-op,9450 Live Oak Pl #102,Davie,FL,33324,310000,2,2.0,LIVE OAK CONDO SEVEN,980,,1974,,316,568,Sold,,,https://www.redfin.com/FL/Davie/9450-Live-Oak-Pl-33324/unit-102/home/41767480,MARMLS,A11414137,N,Y,26.094318,-80.2786031
PAST SALE,August-3-2023,Condo/Co-op,5258 NE 6th Ave Unit E17,Oakland Park,FL,33334,190000,2,1.0,Embarcadero Condo,684,,1981,,278,378,Sold,,,https://www.redfin.com/FL/Oakland-Park/5258-NE-6th-Ave-33334/unit-E17/home/41655013,Beaches MLS,F10382301,N,Y,26.1923041,-80.1363271
PAST SALE,July-26-2023,Condo/Co-op,2000 Metropica Way #1503,Sunrise,FL,,772135,2,2.5,One Metropica,,,2020,,,1232,Sold,,,https://www.redfin.com/FL/Sunrise/2000-Metropica-Way-33323/unit-1503/home/174071965,MARMLS,A11441331,N,Y,26.1492936,-80.3281433
PAST SALE,July-7-2023,Condo/Co-op,5170 SW 40th Ave Unit 1E,Dania Beach,FL,33314,160000,2,2.0,OAK HILLS CONDO NO IV,1060,,1973,,151,480,Sold,,,https://www.redfin.com/FL/Fort-Lauderdale/5170-SW-40th-Ave-33314/unit-1E/home/41820824,MARMLS,A11424969,N,Y,26.057124,-80.2001885
PAST SALE,August-29-2023,Condo/Co-op,2401 Riverside Dr Unit 411-B,Coral Springs,FL,33065,140000,1,1.0,Tower Club,464,,1983,,302,200,Sold,,,https://www.redfin.com/FL/Coral-Springs/2401-Riverside-Dr-33065/unit-411-B/home/41430582,Beaches MLS,F10397536,N,Y,26.2602695,-80.2345275
PAST SALE,September-11-2023,Condo/Co-op,9676 W Mcnab Rd #110,Tamarac,FL,33321,190000,2,2.0,Tamarac Gardens,1170,,1988,,162,802,Sold,,,https://www.redfin.com/FL/Tamarac/9676-W-McNab-Rd-33321/unit-110/home/41556258,Beaches MLS,F10399738,N,Y,26.2068758,-80.2809884
