SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-25-2023,Condo/Co-op,9430 Poinciana Pl #408,Davie,FL,33324,165000,1,1.5,PINE ISLAND Ridge,940,,1978,,176,413,Sold,,,https://www.redfin.com/FL/Davie/9430-Poinciana-Pl-33324/unit-408/home/41767909,MARMLS,A11350770,N,Y,26.0980401,-80.2727489
PAST SALE,April-25-2023,Condo/Co-op,501 Blue Heron Dr Unit 112-A,Hallandale Beach,FL,33009,230000,2,2.0,PARADISE VILLAS CONDO,1200,,1979,,192,511,Sold,,,https://www.redfin.com/FL/Hallandale-Beach/501-Blue-Heron-Dr-33009/unit-112A/home/41967740,MARMLS,A11351864,N,Y,25.9822485,-80.1321725
PAST SALE,February-22-2023,Condo/Co-op,102 Richmond A #102,Deerfield Beach,FL,33442,262500,2,2.0,Century Village East,1000,,1977,,263,484,Sold,,,https://www.redfin.com/FL/Deerfield-Beach/102-Richmond-A-33442/unit-102/home/174163396,Beaches MLS,RX-10855841,N,Y,26.3094258,-80.1294656
PAST SALE,April-26-2023,Condo/Co-op,105 Lake Emerald Dr #216,Oakland Park,FL,33309,320000,2,2.0,LAKE EMERALD CONDOMINIUM,1300,,1982,,246,687,Sold,,,https://www.redfin.com/FL/Oakland-Park/105-Lake-Emerald-Dr-33309/unit-216/home/41663993,MARMLS,A11349982,N,Y,26.1800684,-80.1757799
PAST SALE,,Condo/Co-op,10005 Winding Lake Rd #101,Sunrise,FL,33351,225000,2,2.0,,772,,1982,,291,,,,,https://www.redfin.com/FL/Sunrise/10005-Winding-Lake-Rd-33351/unit-101/home/41582245,,,N,Y,26.1724003,-80.2856907
PAST SALE,March-27-2023,Condo/Co-op,7021 Environ Blvd #416,Lauderhill,FL,33319,205000,2,2.0,ENVIRON I CONDO 3 AND 4,1184,,1973,,173,631,Sold,,,https://www.redfin.com/FL/Lauderhill/7021-Environ-Blvd-33319/unit-416/home/41582875,MARMLS,A11316504,N,Y,26.175465,-80.2446
PAST SALE,March-10-2023,Condo/Co-op,9525 Weldon Cir Unit H306,Tamarac,FL,33321,184900,2,2.0,WELDON CONDOMINIUM H,1153,,1996,,160,321,Sold,,,https://www.redfin.com/FL/Tamarac/9525-Weldon-Cir-33321/unit-H306/home/41550807,MARMLS,A11319695,N,Y,26.2190741,-80.2801727
PAST SALE,April-24-2023,Condo/Co-op,288 NW 69th Ave #172,Plantation,FL,33317,272000,3,2.0,FRENCH QUARTER CONDOMINIU,1260,,1973,,216,437,Sold,,,https://www.redfin.com/FL/Plantation/288-NW-69th-Ave-33317/unit-172/home/41747734,MARMLS,A11338271,N,Y,26.1249254,-80.2385319
PAST SALE,April-20-2023,Condo/Co-op,4001 S Ocean Dr Unit 3A,Hollywood,FL,33019,460000,2,1.5,SIAN OCEAN RESIDENCES CON,1219,,1968,,377,1235,Sold,,,https://www.redfin.com/FL/Hollywood/4001-S-Ocean-Dr-33019/unit-3A/home/42052360,MARMLS,A11302637,N,Y,25.9874093,-80.1190313
PAST SALE,March-7-2023,Condo/Co-op,441 SE 10th St Unit D101,Dania Beach,FL,33004,270000,2,2.0,CHATEAU DE VILLE CONDO,1037,,1993,,260,418,Sold,,,https://www.redfin.com/FL/Dania/441-SE-10th-St-33004/unit-D101/home/41912938,MARMLS,A11316312,N,Y,26.0400351,-80.1366106
PAST SALE,April-21-2023,Condo/Co-op,100 Golden Isles Dr #515,Hallandale Beach,FL,33009,375500,2,2.0,LAKE POINT TOWER CONDO,1420,,1973,,264,911,Sold,,,https://www.redfin.com/FL/Hallandale-Beach/100-Golden-Isles-Dr-33009/unit-515/home/41957282,MARMLS,A11293885,N,Y,25.9841558,-80.1233833
PAST SALE,,Condo/Co-op,9539 Weldon Cir Unit F410,Tamarac,FL,33321,225000,2,2.0,,1215,,1998,,185,,,,,https://www.redfin.com/FL/Tamarac/9539-Weldon-Cir-33321/unit-F410/home/41980381,,,N,Y,26.2182758,-80.2772832
PAST SALE,March-23-2023,Condo/Co-op,7330 NW 18th St #101,Margate,FL,33063,190000,2,2.0,34 OF PALM SPRINGS 3 COND,1000,,1979,,190,358,Sold,,,https://www.redfin.com/FL/Margate/7330-NW-18th-St-33063/unit-101/home/41437281,MARMLS,A11362318,N,Y,26.2468891,-80.2234102
PAST SALE,,Condo/Co-op,3650 Inverrary Dr Unit 2R,Lauderhill,FL,33319,106000,1,1.0,,550,,1973,,193,,,,,https://www.redfin.com/FL/Lauderhill/3650-Inverrary-Dr-33319/unit-2R/home/41587750,,,N,Y,26.1704334,-80.2327161
PAST SALE,,Condo/Co-op,4451 NW 16th St Unit K305,Lauderhill,FL,33313,80000,1,1.0,,765,,1969,,105,,,,,https://www.redfin.com/FL/Lauderhill/4451-NW-16th-St-33313/unit-K305/home/41630678,,,N,Y,26.1458677,-80.2086781
PAST SALE,March-24-2023,Condo/Co-op,5021 Wiles Rd #205,Coconut Creek,FL,33073,270000,2,2.0,Evergreen Lakes,1246,,2002,,217,475,Sold,,,https://www.redfin.com/FL/Coconut-Creek/5021-Wiles-Rd-33073/unit-205/home/42046380,Beaches MLS,F10371517,N,Y,26.2883327,-80.1942192
PAST SALE,February-22-2023,Condo/Co-op,2420 Deer Creek Country Club Blvd Unit 206d,Deerfield Beach,FL,33442,190000,1,1.5,The Palms of Deer Creek,850,,1976,,224,282,Sold,,,https://www.redfin.com/FL/Deerfield-Beach/2420-Deer-Creek-Country-Club-Blvd-33442/unit-206D/home/41400221,Beaches MLS,RX-10868157,N,Y,26.3214338,-80.1359236
PAST SALE,,Condo/Co-op,5980 NW 64th Ave #306,Tamarac,FL,33319,74000,1,1.0,,660,,1973,,112,,,,,https://www.redfin.com/FL/Tamarac/5980-NW-64th-Ave-33319/unit-306/home/41563387,,,N,Y,26.198241,-80.234887
PAST SALE,,Condo/Co-op,4021 N University Dr #101,Sunrise,FL,33351,130000,1,1.0,,800,,1975,,163,,,,,https://www.redfin.com/FL/Sunrise/4021-N-University-Dr-33351/unit-101/home/42063934,,,N,Y,26.1739883,-80.255744
PAST SALE,April-5-2023,Condo/Co-op,1350 River Reach Dr #212,Fort Lauderdale,FL,33315,240000,1,1.5,River Reach,900,,1972,,267,621,Sold,,,https://www.redfin.com/FL/Fort-Lauderdale/1350-River-Reach-Dr-33315/unit-212/home/41795355,Beaches MLS,F10366235,N,Y,26.1089969,-80.1586012
