SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,January-6-2023,Condo/Co-op,9401 Sunrise Lakes Blvd #112,Sunrise,FL,33322,125000,1,1.5,SUNRISE LAKES 118 CONDO,750,,1978,,167,335,Sold,,,https://www.redfin.com/FL/Sunrise/9401-Sunrise-Lakes-Blvd-33322/unit-112/home/41612825,MARMLS,A11305513,N,Y,26.1606735,-80.2759054
PAST SALE,February-22-2023,Condo/Co-op,102 Richmond A #102,Deerfield Beach,FL,33442,262500,2,2.0,Century Village East,1000,,1977,,263,484,Sold,,,https://www.redfin.com/FL/Deerfield-Beach/102-Richmond-A-33442/unit-102/home/174163396,Beaches MLS,RX-10855841,N,Y,26.3094258,-80.1294656
PAST SALE,,Condo/Co-op,10005 Winding Lake Rd #101,Sunrise,FL,33351,225000,2,2.0,,772,,1982,,291,,,,,https://www.redfin.com/FL/Sunrise/10005-Winding-Lake-Rd-33351/unit-101/home/41582245,,,N,Y,26.1724003,-80.2856907
PAST SALE,March-27-2023,Condo/Co-op,7021 Environ Blvd #416,Lauderhill,FL,33319,205000,2,2.0,ENVIRON I CONDO 3 AND 4,1184,,1973,,173,631,Sold,,,https://www.redfin.com/FL/Lauderhill/7021-Environ-Blvd-33319/unit-416/home/41582875,MARMLS,A11316504,N,Y,26.175465,-80.2446
PAST SALE,March-10-2023,Condo/Co-op,9525 Weldon Cir Unit H306,Tamarac,FL,33321,184900,2,2.0,WELDON CONDOMINIUM H,1153,,1996,,160,321,Sold,,,https://www.redfin.com/FL/Tamarac/9525-Weldon-Cir-33321/unit-H306/home/41550807,MARMLS,A11319695,N,Y,26.2190741,-80.2801727
PAST SALE,March-7-2023,Condo/Co-op,441 SE 10th St Unit D101,Dania Beach,FL,33004,270000,2,2.0,CHATEAU DE VILLE CONDO,1037,,1993,,260,418,Sold,,,https://www.redfin.com/FL/Dania/441-SE-10th-St-33004/unit-D101/home/41912938,MARMLS,A11316312,N,Y,26.0400351,-80.1366106
PAST SALE,January-25-2023,Condo/Co-op,1391 S Ocean Blvd #1004,Pompano Beach,FL,33062,265000,1,1.5,DELPHI TOWERS CONDO,648,,1974,,409,,Sold,,,https://www.redfin.com/FL/Pompano-Beach/1391-S-Ocean-Blvd-33062/unit-1004/home/41696466,MARMLS,A11354355,N,Y,26.2172062,-80.0927105
PAST SALE,,Condo/Co-op,9539 Weldon Cir Unit F410,Tamarac,FL,33321,225000,2,2.0,,1215,,1998,,185,,,,,https://www.redfin.com/FL/Tamarac/9539-Weldon-Cir-33321/unit-F410/home/41980381,,,N,Y,26.2182758,-80.2772832
PAST SALE,March-23-2023,Condo/Co-op,7330 NW 18th St #101,Margate,FL,33063,190000,2,2.0,34 OF PALM SPRINGS 3 COND,1000,,1979,,190,358,Sold,,,https://www.redfin.com/FL/Margate/7330-NW-18th-St-33063/unit-101/home/41437281,MARMLS,A11362318,N,Y,26.2468891,-80.2234102
PAST SALE,,Condo/Co-op,103 Freedom Ct #103,Deerfield Beach,FL,33442,205000,2,2.0,,1150,,1986,,178,,,,,https://www.redfin.com/FL/Deerfield-Beach/103-Freedom-Ct-33442/unit-103/home/41473189,,,N,Y,26.3032873,-80.1562114
PAST SALE,,Condo/Co-op,3710 N Pine Island Rd #314,Sunrise,FL,33351,155000,2,1.0,,783,,1981,,198,,,,,https://www.redfin.com/FL/Sunrise/3710-N-Pine-Island-Rd-33351/unit-314/home/41582128,,,N,Y,26.1716175,-80.2669906
PAST SALE,,Condo/Co-op,8000 N Sunrise Lakes Dr #109,Sunrise,FL,33322,49000,2,2.0,,850,,1973,,58,,,,,https://www.redfin.com/FL/Sunrise/8000-N-Sunrise-Lakes-Dr-33322/unit-109/home/41604435,,,N,Y,26.162714,-80.2521265
PAST SALE,,Condo/Co-op,4021 N University Dr #101,Sunrise,FL,33351,130000,1,1.0,,800,,1975,,163,,,,,https://www.redfin.com/FL/Sunrise/4021-N-University-Dr-33351/unit-101/home/42063934,,,N,Y,26.1739883,-80.255744
PAST SALE,,Condo/Co-op,2601 NE 14th Ave #407,Wilton Manors,FL,33334,585000,2,2.0,,1527,,2005,,383,,,,,https://www.redfin.com/FL/Wilton-Manors/2601-NE-14th-Ave-33334/unit-407/home/42062926,,,N,Y,26.1604119,-80.1303399
PAST SALE,,Condo/Co-op,7110 Southgate Blvd #7110,Tamarac,FL,33321,160000,1,1.0,,550,,1985,,291,,,,,https://www.redfin.com/FL/Tamarac/7110-Southgate-Blvd-33321/unit-7110/home/42038517,,,N,Y,26.2286323,-80.2476674
PAST SALE,,Condo/Co-op,4043 Newport N,Deerfield Beach,FL,33442,153000,2,2.0,,881,,1978,,174,,,,,https://www.redfin.com/FL/Deerfield-Beach/4043-Newport-N-33442/home/41462902,,,N,Y,26.305314,-80.143608
PAST SALE,,Condo/Co-op,2829 N Course Dr #203,Pompano Beach,FL,33069,200000,2,2.0,,1120,,1987,,179,,,,,https://www.redfin.com/FL/Pompano-Beach/2829-N-Course-Dr-33069/unit-203/home/42055975,,,N,Y,26.2295079,-80.1614791
PAST SALE,,Condo/Co-op,530 S Park Rd Unit 36-11,Hollywood,FL,33021,235000,1,1.0,,841,,1991,,279,,,,,https://www.redfin.com/FL/Hollywood/530-S-Park-Rd-33021/unit-36-11/home/42041131,,,N,Y,26.006346,-80.177018
PAST SALE,,Condo/Co-op,7355 NW 18th St #104,Margate,FL,33063,80000,1,2.0,,850,,1979,,94,,,,,https://www.redfin.com/FL/Margate/7355-NW-18th-St-33063/unit-104/home/41439828,,,N,Y,26.2472778,-80.2231777
PAST SALE,February-14-2023,Condo/Co-op,1020 Country Club Dr #307,Margate,FL,33063,106000,2,2.0,ORIOLE GOLF & TENNIS CLUB,930,,1974,,114,634,Sold,,,https://www.redfin.com/FL/Margate/1020-Country-Club-Dr-33063/unit-307/home/41451200,MARMLS,A11318608,N,Y,26.24148,-80.2285317
