Jurisdiction,County,HE Compliance,HE Due Date,HE Status details,Adoption Date,COG,6th Cycle Draft,HCD Review Letter,Review Date,Population (2010),Median Income
EL CAJON,San Diego County,IN,4/15/2021,Adopted & Reviewed,10/13/2022,SANDAG,https://www.elcajon.gov/home/showpublisheddocument/25191/637619595271430000,,10/27/2022,99478,"$55,309"
OXNARD,Ventura County,IN,10/15/2021,Adopted & Reviewed,10/5/2022,SCAG,"https://www.oxnard.org/wp-content/uploads/2021/03/Oxnard-Public-Draft-Housing-Element_3-9-21.pdf, https://www.oxnard.org/wp-content/uploads/2021/05/Oxnard-Housing-Element_HCD-Draft_5-21-21.pdf",http://www.hcd.ca.gov/community-development/housing-element/docs/VenOxnardDraftIn07112022.pdf,10/25/2022,197899,"$72,843"
LAKE ELSINORE,Riverside County,IN,10/15/2021,Adopted & Reviewed,8/25/2022,SCAG,http://www.lake-elsinore.org/home/showdocument?id=27734,http://www.hcd.ca.gov/community-development/housing-element/docs/RivLakeElsinoreDraftOut061422.pdf,10/24/2022,51821,"$71,476"
LAKE FOREST,Orange County,OUT,10/15/2021,Adopted & Reviewed,8/24/2022,SCAG,https://lakeforest.generalplan.org/s/Public-Draft-Housing-Element-Lake-Forest.pdf,,10/21/2022,77264,"$109,492"
LOS ALAMITOS,Orange County,OUT,10/15/2021,Adopted & Reviewed,8/23/2022,SCAG,https://cityoflosalamitos.org/?wpfb_dl=4504,,10/21/2022,11449,"$88,729"
YUCAIPA,San Bernardino County,IN,10/15/2021,Adopted & Reviewed,10/6/2022,SCAG,,,10/21/2022,51367,"$69,104"
DANA POINT,Orange County,IN,10/15/2021,Adopted & Reviewed,9/23/2022,SCAG,https://www.danapoint.org/home/showpublisheddocument/32454/637550209511800000,,10/20/2022,33351,"$99,409"
CANYON LAKE,Riverside County,OUT,10/15/2021,Adopted & Reviewed,8/19/2022,SCAG,http://canyonlakeca.gov/vertical/sites/%7B914485A7-E93B-4BFA-A369-593050FBB784%7D/uploads/Draft_Housing_Element_6th_Cycle(1).pdf,http://www.hcd.ca.gov/community-development/housing-element/docs/RivCanyonLakeAdoptedOut041522.pdf,10/18/2022,10561,"$100,682"
BELL,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,10/13/2022,SCAG,https://www.cityofbell.org/home/showpublisheddocument/15238/637624041395270000,http://www.hcd.ca.gov/community-development/housing-element/docs/lanBellAdoptedOut041222.pdf,10/15/2022,35477,"$44,327"
DOWNEY,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,10/13/2022,SCAG,https://www.downeyca.org/home/showpublisheddocument/6093,https://r20.rs6.net/tn.jsp?f=001hsrDT-aEXs-bDMjB0i1KfKouLkDYK4qiquK1_8oLHtTOtDLJ61T-wqSNHJEYckSPGVOOMMkPESV3AWbDfkdxlrFwkdashU6kVrzo1Q6dz2FRT-g_Yw9-GiooxrO2XBwWjxA3cceijY3a6BW-EVY5KU42ZEOkej8907upgqp8Wf1wOnZpzVfVgEdqR0qd-N1y-yYmQ9n3dHXWOzsfSgBUBEspMGWJR6R_W20g7jhF2d0KEsSrzDJQdA==&c=yhDhFqz21VFwyER7amzjW_HYWw2GAdT2kjvNYFf0XYuBvDaMF39w0g==&ch=QMaEj7nSywWqOtWODZ0exmfEntisA0_hAETF19k8hymJNXgwwcPVDA==,10/14/2022,111772,"$75,878"
