,Jurisdiction,County,HE Compliance,HE Due Date,HE Status details,Adoption Date,COG,6th Cycle Draft,HCD Review Letter,Review Date,Population (2010),Median Income,geo_location,loc,point,lat,lon,altitude,display_location
0,EL CAJON,San Diego County,IN,4/15/2021,Adopted & Reviewed,10/13/2022,SANDAG,https://www.elcajon.gov/home/showpublisheddocument/25191/637619595271430000,,10/27/2022,99478.0,"$55,309",EL CAJON San Diego County CA,"El Cajon, CA, USA","(32.7947731, -116.9625269, 0.0)",32.7947731,-116.9625269,0.0,El cajon in San Diego County
1,OXNARD,Ventura County,IN,10/15/2021,Adopted & Reviewed,10/5/2022,SCAG,"https://www.oxnard.org/wp-content/uploads/2021/03/Oxnard-Public-Draft-Housing-Element_3-9-21.pdf, https://www.oxnard.org/wp-content/uploads/2021/05/Oxnard-Housing-Element_HCD-Draft_5-21-21.pdf",http://www.hcd.ca.gov/community-development/housing-element/docs/VenOxnardDraftIn07112022.pdf,10/25/2022,197899.0,"$72,843",OXNARD Ventura County CA,"Oxnard, CA, USA","(34.1975048, -119.1770516, 0.0)",34.1975048,-119.1770516,0.0,Oxnard in Ventura County
2,LAKE ELSINORE,Riverside County,IN,10/15/2021,Adopted & Reviewed,8/25/2022,SCAG,http://www.lake-elsinore.org/home/showdocument?id=27734,http://www.hcd.ca.gov/community-development/housing-element/docs/RivLakeElsinoreDraftOut061422.pdf,10/24/2022,51821.0,"$71,476",LAKE ELSINORE Riverside County CA,"Lake Elsinore, CA, USA","(33.6680772, -117.3272615, 0.0)",33.6680772,-117.3272615,0.0,Lake elsinore in Riverside County
3,LAKE FOREST,Orange County,OUT,10/15/2021,Adopted & Reviewed,8/24/2022,SCAG,https://lakeforest.generalplan.org/s/Public-Draft-Housing-Element-Lake-Forest.pdf,,10/21/2022,77264.0,"$109,492",LAKE FOREST Orange County CA,"Lake Forest, CA, USA","(33.6469437, -117.6861023, 0.0)",33.6469437,-117.6861023,0.0,Lake forest in Orange County
4,LOS ALAMITOS,Orange County,OUT,10/15/2021,Adopted & Reviewed,8/23/2022,SCAG,https://cityoflosalamitos.org/?wpfb_dl=4504,,10/21/2022,11449.0,"$88,729",LOS ALAMITOS Orange County CA,"Los Alamitos, CA, USA","(33.8032009, -118.0718894, 0.0)",33.8032009,-118.0718894,0.0,Los alamitos in Orange County
5,YUCAIPA,San Bernardino County,IN,10/15/2021,Adopted & Reviewed,10/6/2022,SCAG,,,10/21/2022,51367.0,"$69,104",YUCAIPA San Bernardino County CA,"Yucaipa, CA, USA","(34.033625, -117.0430865, 0.0)",34.033625,-117.0430865,0.0,Yucaipa in San Bernardino County
6,DANA POINT,Orange County,IN,10/15/2021,Adopted & Reviewed,9/23/2022,SCAG,https://www.danapoint.org/home/showpublisheddocument/32454/637550209511800000,,10/20/2022,33351.0,"$99,409",DANA POINT Orange County CA,"Dana Point, CA, USA","(33.4672256, -117.6981014, 0.0)",33.4672256,-117.6981014,0.0,Dana point in Orange County
7,CANYON LAKE,Riverside County,OUT,10/15/2021,Adopted & Reviewed,8/19/2022,SCAG,http://canyonlakeca.gov/vertical/sites/%7B914485A7-E93B-4BFA-A369-593050FBB784%7D/uploads/Draft_Housing_Element_6th_Cycle(1).pdf,http://www.hcd.ca.gov/community-development/housing-element/docs/RivCanyonLakeAdoptedOut041522.pdf,10/18/2022,10561.0,"$100,682",CANYON LAKE Riverside County CA,"Canyon Lake, CA 92587, USA","(33.6850215, -117.2730931, 0.0)",33.6850215,-117.2730931,0.0,Canyon lake in Riverside County
8,BELL,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,10/13/2022,SCAG,https://www.cityofbell.org/home/showpublisheddocument/15238/637624041395270000,http://www.hcd.ca.gov/community-development/housing-element/docs/lanBellAdoptedOut041222.pdf,10/15/2022,35477.0,"$44,327",BELL Los Angeles County CA,"Bell, CA, USA","(33.9775142, -118.1870156, 0.0)",33.9775142,-118.1870156,0.0,Bell in Los Angeles County
9,DOWNEY,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,10/13/2022,SCAG,https://www.downeyca.org/home/showpublisheddocument/6093,https://r20.rs6.net/tn.jsp?f=001hsrDT-aEXs-bDMjB0i1KfKouLkDYK4qiquK1_8oLHtTOtDLJ61T-wqSNHJEYckSPGVOOMMkPESV3AWbDfkdxlrFwkdashU6kVrzo1Q6dz2FRT-g_Yw9-GiooxrO2XBwWjxA3cceijY3a6BW-EVY5KU42ZEOkej8907upgqp8Wf1wOnZpzVfVgEdqR0qd-N1y-yYmQ9n3dHXWOzsfSgBUBEspMGWJR6R_W20g7jhF2d0KEsSrzDJQdA==&c=yhDhFqz21VFwyER7amzjW_HYWw2GAdT2kjvNYFf0XYuBvDaMF39w0g==&ch=QMaEj7nSywWqOtWODZ0exmfEntisA0_hAETF19k8hymJNXgwwcPVDA==,10/14/2022,111772.0,"$75,878",DOWNEY Los Angeles County CA,"Downey, CA, USA","(33.9401088, -118.1331593, 0.0)",33.9401088,-118.1331593,0.0,Downey in Los Angeles County
10,LOMITA,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,8/15/2022,SCAG,http://www.lomita.com/cityhall/housing-element/HCD/Draft-2021-2029-housing-element.pdf,,10/14/2022,20256.0,"$71,606",LOMITA Los Angeles County CA,"Lomita, CA, USA","(33.7922392, -118.3150722, 0.0)",33.7922392,-118.3150722,0.0,Lomita in Los Angeles County
11,PASADENA,Los Angeles County,OUT,10/15/2021,Adopted & Reviewed,8/15/2022,SCAG,https://www.cityofpasadena.net/planning/planning-division/community-planning/general-plan/housing-element-update/#2021-2029-housing-element,https://r20.rs6.net/tn.jsp?f=001hsrDT-aEXs-bDMjB0i1KfKouLkDYK4qiquK1_8oLHtTOtDLJ61T-wqSNHJEYckSPBsLtgm9w4WxUN1Re7h1c_UVfQRZb7nk0lvCQl8ism-7Uwr4y681q_D_52p4pPm5mZ1YBLINMA_7bOZACCa9tycUt-vztRznBECFAdlBfEX7mh5n3U0EMW31S622bb0D0cHUes2LkUpDMt1-cQJN6kRqCH55NCiw7T3sQe6jrD7qRSeFA47um_YhuSBBCoAaf&c=yhDhFqz21VFwyER7amzjW_HYWw2GAdT2kjvNYFf0XYuBvDaMF39w0g==&ch=QMaEj7nSywWqOtWODZ0exmfEntisA0_hAETF19k8hymJNXgwwcPVDA==,10/14/2022,137122.0,"$83,068",PASADENA Los Angeles County CA,"Pasadena, CA, USA","(34.1477849, -118.1445155, 0.0)",34.1477849,-118.1445155,0.0,Pasadena in Los Angeles County
12,RANCHO PALOS VERDES,Los Angeles County,OUT,10/15/2021,Adopted & Reviewed,8/15/2022,SCAG,"https://www.rpvca.gov/DocumentCenter/View/17674/Draft-6th-Cycle-Housing-Element, https://www.rpvca.gov/DocumentCenter/View/17882/HCD-Review-Draft-Draft-HE-RPV-11-19-21_opt",,10/14/2022,41643.0,"$138,557",RANCHO PALOS VERDES Los Angeles County CA,"Rancho Palos Verdes, CA, USA","(33.7444613, -118.3870173, 0.0)",33.7444613,-118.3870173,0.0,Rancho palos verdes in Los Angeles County
13,SAN DIMAS,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,9/29/2022,SCAG,https://sandimasca.gov/wp-content/uploads/2021/07/San-Dimas-Housing-Element_2021_July6.pdf,SfvSanFernandoDraftOut011122.pdf,10/14/2022,33371.0,"$86,410",SAN DIMAS Los Angeles County CA,"San Dimas, CA, USA","(34.1066756, -117.8067257, 0.0)",34.1066756,-117.8067257,0.0,San dimas in Los Angeles County
14,LAWNDALE,Los Angeles County,IN,"10/15/2021, 12/15/2023",Adopted & Reviewed,,SCAG,https://lawndale.generalplan.org/s/Lawndale-HCD-Review-Draft-2021-2029-Housing-Element.pdf,http://www.hcd.ca.gov/community-development/housing-element/docs/lanLawndaleAdoptOut041422.pdf,10/13/2022,32769.0,"$62,013",LAWNDALE Los Angeles County CA,"Lawndale, CA, USA","(33.887237, -118.3525744, 0.0)",33.887237,-118.3525744,0.0,Lawndale in Los Angeles County
15,SIGNAL HILL,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,,SCAG,"https://www.cityofsignalhill.org/98/Planning, https://ca-signalhill2.civicplus.com/DocumentCenter/View/11769/Draft-Housing-Element-Update-6th-Cycle",http://www.hcd.ca.gov/community-development/housing-element/docs/lanSignalHillDraft051122.pdf,10/13/2022,11016.0,"$75,508",SIGNAL HILL Los Angeles County CA,"Signal Hill, CA, USA","(33.8044614, -118.1678456, 0.0)",33.8044614,-118.1678456,0.0,Signal hill in Los Angeles County
16,FOUNTAIN VALLEY,Orange County,IN,10/15/2021,Adopted & Reviewed,,SCAG,"https://www.fountainvalley.org/DocumentCenter/View/14193/FV_HE_PublicReviewDraft_2021_Sept_allgraphics, https://www.fountainvalley.org/DocumentCenter/View/14193/FV_HE_PublicReviewDraft_2021_Sept_allgraphics, https://www.fountainvalley.org/DocumentCenter/View/15399/FV_HE_PublicReviewDraft_20220630-1, https://www.fountainvalley.org/DocumentCenter/View/15585/FV_HE_PublicReviewDraft_20220805_withgraphics",oraFullertonDraft012722.pdf,10/13/2022,55313.0,"$93,075",FOUNTAIN VALLEY Orange County CA,"Fountain Valley, CA 92708, USA","(33.7090212, -117.9544069, 0.0)",33.7090212,-117.9544069,0.0,Fountain valley in Orange County
17,NORCO,Riverside County,IN,10/15/2021,Adopted & Reviewed,,SCAG,http://www.norco.ca.us/civicax/filebank/blobdload.aspx?BlobID=29093,,10/13/2022,27063.0,"$102,817",NORCO Riverside County CA,"Norco, CA, USA","(33.9311257, -117.548661, 0.0)",33.9311257,-117.548661,0.0,Norco in Riverside County
18,AGOURA HILLS,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,,SCAG,"https://www.agourahillscity.org/home/showpublisheddocument/25109/637641849006700000,  https://www.agourahillscity.org/department/planning-community-development/housing-element",http://www.hcd.ca.gov/community-development/housing-element/docs/lanAgouraHillsRevisedDraftOut042022.pdf,10/12/2022,20330.0,"$122,998",AGOURA HILLS Los Angeles County CA,"Agoura Hills, CA, USA","(34.1533395, -118.7616764, 0.0)",34.1533395,-118.7616764,0.0,Agoura hills in Los Angeles County
19,AVALON,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,,SCAG,,http://www.hcd.ca.gov/community-development/housing-element/docs/lanAvalonAdopted041222.pdf,10/12/2022,3728.0,"$74,769",AVALON Los Angeles County CA,"Avalon, CA 90704, USA","(33.3428193, -118.3282279, 0.0)",33.3428193,-118.3282279,0.0,Avalon in Los Angeles County
20,HAWTHORNE,Los Angeles County,IN,10/15/2021,Adopted & Reviewed,,SCAG,https://www.cityofhawthorne.org/home/showpublisheddocument/4361/637708494368670000,http://www.hcd.ca.gov/community-development/housing-element/docs/LanHawthorneAdoptedOut052022.pdf,10/12/2022,84293.0,"$54,215",HAWTHORNE Los Angeles County CA,"Hawthorne, CA, USA","(33.9164032, -118.3525748, 0.0)",33.9164032,-118.3525748,0.0,Hawthorne in Los Angeles County
