,Property,Index,#,(PIN),Address,PropType,Unit,S,T,R,Subdiv,Lot,Block,Part,Lot.1,Bldg
0,11-30-404-031-0000,7476,N,ROGERS,AVE,S,30,14,41,SYS4371046,,,,,,
1,11-30-404-042-0000,7539,N,HERMITAGE,AVE,S,30,41,14,GATEWAYC&GCP,12,,,,,
2,11-30-411-025-0000,7507,N,CLARK,ST,S,30,41,14,GATEWAYC&GCP,1*,P,,,,
3,11-30-411-026-0000,7507,N,CLARK,ST,S,30,41,14,GATEWAYC&GCP,1A,,,,,
4,11-30-411-027-0000,7501,N,CLARK,ST,S,30,41,14,GATEWAYC&GCP,2A,P,,,,
5,11-30-411-028-0000,7501,N,CLARK,ST,S,30,41,14,GATEWAYC&GCP,2A,P,,,,
6,11-30-411-029-0000,1763,W,HOWARD,ST,S,30,41,14,GATEWAYC&GCP,2F,P,,,,
7,11-30-411-030-0000,1763,W,HOWARD,ST,S,30,41,14,GATEWAYC&GCP,2F,P,,,,
8,11-30-411-031-0000,7459,N,CLARK,ST,S,30,41,14,GATEWAYC&GCP,2G,P,,,,
9,11-30-411-032-0000,7459,N,CLARK,ST,S,30,41,14,GATEWAYC&GCP,2G,P,,,,
10,11-30-411-033-0000,7523,N,CLARK,ST,S,30,41,14,GATEWAYC&GCP,2H,,,,,
11,11-30-411-034-0000,1731,W,HOWARD,ST,S,30,41,14,GATEWAYC&GCP,2J,,,,,
12,11-30-411-035-0000,7459,N,CLARK,ST,S,30,41,14,GATEWAYC&GCP,2K,,,,,
13,11-30-411-036-0000,7507,N,CLARK,ST,S,30,41,14,GATEWAYC&GCP,4,,,,,
14,11-30-411-037-0000,7551,N,CLARK,ST,S,30,41,14,GATEWAYC&GCP,11,,,,,
15,11-30-411-041-0000,7507,N,CLARK,ST,S,30,41,14,GATEWAYC&GCP,2B,,,,,
16,11-30-411-042-0000,7507,N,CLARK,ST,S,30,41,14,GATEWAYC&GCP,2C,P,,,,
17,11-30-411-043-0000,7507,N,CLARK,ST,S,30,41,14,GATEWAYC&GCP,2C,P,,,,
18,11-30-411-047-0000,7507,N,CLARK,ST,S,30,41,14,GATEWAYC&GCP,3A,,,,,
19,11-30-411-048-0000,7507,N,CLARK,ST,S,30,41,14,GATEWAYC&GCP,3B*,P,,,,
20,11-30-411-049-0000,7507,N,CLARK,ST,S,30,41,14,GATEWAYC&GCP,3B*,P,,,,
21,11-30-411-050-0000,7507,N,CLARK,ST,S,30,14,41,SYS4371103,4A,,,,,
22,11-30-411-051-0000,7507,N,CLARK,ST,S,30,41,14,GATEWAYC&GCP,4A*,,,,,
23,11-30-411-052-0000,7507,N,CLARK,ST,S,30,41,14,GATEWAYC&GCP,4B*,P,,,,
24,11-30-411-053-0000,7507,N,CLARK,ST,S,30,41,14,GATEWAYC&GCP,4B*,P,,,,
25,11-30-411-054-0000,7507,N,CLARK,ST,S,30,41,14,GATEWAYC&GCP,5,,,,,
26,11-30-411-055-0000,7507,N,CLARK,ST,S,30,41,14,GATEWAYC&GCP,6,P,,,,
27,11-30-411-056-0000,7507,N,CLARK,ST,S,30,41,14,GATEWAYC&GCP,7,,,,,
28,11-30-411-057-0000,7507,N,CLARK,ST,S,30,41,14,GATEWAYC&GCP,8,,,,,
29,11-30-411-058-0000,7507,N,CLARK,ST,S,30,41,14,GATEWAYC&GCP,9,P,,,,
30,11-30-411-059-0000,7507,N,CLARK,ST,S,30,41,14,GATEWAYC&GCP,10,P,,,,
31,11-30-411-060-0000,7507,N,CLARK,ST,S,30,41,14,GATEWAYC&GCP,10,P,,,,
0,11-30-402-028-0000,7516,N,CLARK,ST,S,30,41,14,GATEWAYC&GCP,13,,,,,
1,11-30-402-029-0000,7550,N,CLARK,ST,S,30,41,14,GATEWAYC&GCP,14,,,,,
