ZIP OR POSTAL CODE,ZIP OR POSTAL CODE,Final Agent/Team,Final Agent/Team
60601.0,60601.0,Leila Zammatta,20
60601.0,60601.0,The Laricy Team,4
60601.0,60601.0,Grigory Pekarsky,3
60602.0,60602.0,Grigory Pekarsky,3
60602.0,60602.0,Bari & Elena Team,1
60602.0,60602.0,Kate Waddell Group,1
60603.0,60603.0,The Laricy Team,1
60603.0,60603.0,Weinberg Choi Residential,1
60605.0,60605.0,The Laricy Team,13
60605.0,60605.0,NL Ferrata Team,9
60605.0,60605.0,Grigory Pekarsky,6
60606.0,60606.0,Leigh Marcus Properties,2
60606.0,60606.0,The Laricy Team,2
60606.0,60606.0,Alexandre Stoykov,1
60607.0,60607.0,The Laricy Team,11
60607.0,60607.0,Daniel Close,5
60607.0,60607.0,MVP Team,4
60608.0,60608.0,Lawrence Dunning,12
60608.0,60608.0,Busby Group,2
60608.0,60608.0,Klopas Stratton Team,2
60609.0,60609.0,Kasper Group,2
60609.0,60609.0,Bari & Elena Team,1
60609.0,60609.0,Lawrence Dunning,1
60610.0,60610.0,Lowe Group Chicago,21
60610.0,60610.0,The Laricy Team,13
60610.0,60610.0,Alexandre Stoykov,9
60611.0,60611.0,The Laricy Team,23
60611.0,60611.0,Chezi Rafaeli,16
60611.0,60611.0,Jeanne Martini,13
60612.0,60612.0,Biazar Group,14
60612.0,60612.0,Ben Lalez Team,3
60612.0,60612.0,Lawrence Dunning,3
60613.0,60613.0,Lowe Group Chicago,9
60613.0,60613.0,Bari & Elena Team,6
60613.0,60613.0,Busby Group,6
60614.0,60614.0,Lowe Group Chicago,42
60614.0,60614.0,ESW Chicago,31
60614.0,60614.0,The Laricy Team,29
60615.0,60615.0,Biazar Group,10
60615.0,60615.0,Lawrence Dunning,6
60615.0,60615.0,Kasper Group,2
60616.0,60616.0,NL Ferrata Team,15
60616.0,60616.0,The Laricy Team,5
60616.0,60616.0,MG Group Chicago,3
60617.0,60617.0,Biazar Group,2
60617.0,60617.0,Qamar Group,1
60617.0,60617.0,Relux International,1
60618.0,60618.0,Leigh Marcus Properties,21
60618.0,60618.0,Ryan McKane,8
60618.0,60618.0,Stacey Dombar,8
60619.0,60619.0,Jason OBeirne,2
60619.0,60619.0,Grigory Pekarsky,1
60620.0,60620.0,Relux International,2
60620.0,60620.0,Ben Lalez Team,1
60620.0,60620.0,Biazar Group,1
60621.0,60621.0,Chicago Home Partners,1
60621.0,60621.0,Jason OBeirne,1
60622.0,60622.0,Leigh Marcus Properties,12
60622.0,60622.0,Biazar Group,11
60622.0,60622.0,The Laricy Team,10
60623.0,60623.0,Lawrence Dunning,1
60623.0,60623.0,Qamar Group,1
60624.0,60624.0,Biazar Group,1
60624.0,60624.0,Relux International,1
60625.0,60625.0,Ryan McKane,11
60625.0,60625.0,The Sheahan Group,4
60625.0,60625.0,Lowe Group Chicago,3
60626.0,60626.0,Ryan McKane,4
60626.0,60626.0,Alexandre Stoykov,2
60626.0,60626.0,Brad Lippitz Group,2
60628.0,60628.0,Relux International,2
60628.0,60628.0,Ben Lalez Team,1
60628.0,60628.0,Jason OBeirne,1
60629.0,60629.0,NL Ferrata Team,1
60630.0,60630.0,Keith Brand,2
60630.0,60630.0,Ben Lalez Team,1
60630.0,60630.0,Chicago Home Partners,1
60631.0,60631.0,Stacey Dombar,1
60632.0,60632.0,Ben Lalez Team,1
60632.0,60632.0,Busby Group,1
60634.0,60634.0,Relux International,2
60634.0,60634.0,Bari & Elena Team,1
60634.0,60634.0,Daniel Close,1
60636.0,60636.0,Kasper Group,1
60637.0,60637.0,Lawrence Dunning,4
60637.0,60637.0,Biazar Group,3
60637.0,60637.0,Ben Lalez Team,1
60638.0,60638.0,Alexandre Stoykov,1
60638.0,60638.0,The Laricy Team,1
60639.0,60639.0,Ben Lalez Team,1
60639.0,60639.0,Flora Blahnik Group,1
60639.0,60639.0,Keith Brand,1
60640.0,60640.0,Ryan McKane,10
60640.0,60640.0,MG Group Chicago,7
60640.0,60640.0,Relux International,6
60641.0,60641.0,MG Group Chicago,3
60641.0,60641.0,Chicago Home Partners,2
60641.0,60641.0,Ben Lalez Team,1
60642.0,60642.0,The Laricy Team,10
60642.0,60642.0,Biazar Group,6
60642.0,60642.0,Grigory Pekarsky,5
60643.0,60643.0,Biazar Group,2
60643.0,60643.0,Grigory Pekarsky,1
60643.0,60643.0,Kasper Group,1
60645.0,60645.0,Ryan McKane,5
60645.0,60645.0,Qamar Group,3
60645.0,60645.0,Grigory Pekarsky,2
60646.0,60646.0,Daniel Close,4
60646.0,60646.0,Ryan McKane,2
60646.0,60646.0,Grigory Pekarsky,1
60647.0,60647.0,Biazar Group,14
60647.0,60647.0,Keith Brand,11
60647.0,60647.0,Grigory Pekarsky,10
60649.0,60649.0,Ben Lalez Team,1
60649.0,60649.0,Jason OBeirne,1
