,MLS#,Unique,Final Agent/Team,agent_type,TRD Notes,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,SOLD DATE,PRICE,URL,full_address,geo_address,loc,point,lat,lon,altitude
0,11297905.0,11297905/Alexandre Stoykov/Buyers,Alexandre Stoykov,Buyers,Clean,Condo/Co-op,3021 N Southport Ave Unit 1B,Chicago,IL,60657.0,3/1/2022,"$765,000",https://www.redfin.com/IL/Chicago/3021-N-Southport-Ave-60657/unit-1B/home/26808916,3021 N Southport Ave Unit 1B Chicago IL,3021 N Southport Ave Unit 1B Chicago IL,"3021 N Southport Ave #1b, Chicago, IL 60657, USA","(41.9368193, -87.66330040000001, 0.0)",41.9368193,-87.66330040000001,0.0
1,11374165.0,11374165/Alexandre Stoykov/Buyers,Alexandre Stoykov,Buyers,Clean,Condo/Co-op,6439 N Rockwell St Unit G,Chicago,IL,60645.0,6/3/2022,"$300,000",https://www.redfin.com/IL/Chicago/6439-N-Rockwell-St-60645/unit-G/home/13582248,6439 N Rockwell St Unit G Chicago IL,6439 N Rockwell St Unit G Chicago IL,"6439 N Rockwell St G, Chicago, IL 60645, USA","(41.998805, -87.69443509999999, 0.0)",41.998805,-87.69443509999999,0.0
2,11249075.0,11249075/Alexandre Stoykov/Buyers,Alexandre Stoykov,Buyers,Clean,Condo/Co-op,3223 N Clifton Ave Unit 3N,Chicago,IL,60657.0,2/1/2022,"$565,000",https://www.redfin.com/IL/Chicago/3223-N-Clifton-Ave-60657/unit-3N/home/12556212,3223 N Clifton Ave Unit 3N Chicago IL,3223 N Clifton Ave Unit 3N Chicago IL,"3223 N Clifton Ave #3n, Chicago, IL 60657, USA","(41.9405925, -87.65742999999999, 0.0)",41.9405925,-87.65742999999999,0.0
3,11393006.0,11393006/Alexandre Stoykov/Buyers,Alexandre Stoykov,Buyers,Clean,Condo/Co-op,4011 N Kenmore Ave #204,Chicago,IL,60613.0,6/3/2022,"$308,000",https://www.redfin.com/IL/Chicago/4011-N-Kenmore-Ave-60613/unit-204/home/13393788,4011 N Kenmore Ave #204 Chicago IL,4011 N Kenmore Ave #204 Chicago IL,"4011 N Kenmore Ave APT 204, Chicago, IL 60613, USA","(41.9552509, -87.6564053, 0.0)",41.9552509,-87.6564053,0.0
4,11392055.0,11392055/Alexandre Stoykov/Buyers,Alexandre Stoykov,Buyers,Clean,Condo/Co-op,1929 N Howe St Unit 3E,Chicago,IL,60614.0,6/10/2022,"$255,000",https://www.redfin.com/IL/Chicago/1929-N-Howe-St-60614/unit-3E/home/13346033,1929 N Howe St Unit 3E Chicago IL,1929 N Howe St Unit 3E Chicago IL,"1929 N Howe St #3e, Chicago, IL 60614, USA","(41.9168771, -87.6445068, 0.0)",41.9168771,-87.6445068,0.0
5,11326881.0,11326881/Alexandre Stoykov/Buyers,Alexandre Stoykov,Buyers,Clean,Condo/Co-op,431 W Eugenie St Unit 1H,Chicago,IL,60614.0,5/4/2022,"$1,000,000",https://www.redfin.com/IL/Chicago/431-W-Eugenie-St-60614/unit-1H/home/105289518,431 W Eugenie St Unit 1H Chicago IL,431 W Eugenie St Unit 1H Chicago IL,"431 W Eugenie St #1h, Chicago, IL 60614, USA","(41.9122925, -87.6401745, 0.0)",41.9122925,-87.6401745,0.0
6,11141001.0,11141001/Alexandre Stoykov/Buyers,Alexandre Stoykov,Buyers,Clean,Condo/Co-op,1516 N Mohawk St Unit 2R,Chicago,IL,60610.0,9/8/2021,"$253,500",https://www.redfin.com/IL/Chicago/1516-N-Mohawk-St-60610/unit-2R/home/64225156,1516 N Mohawk St Unit 2R Chicago IL,1516 N Mohawk St Unit 2R Chicago IL,"1516 N Mohawk St #2r, Chicago, IL 60610, USA","(41.9097192, -87.6425041, 0.0)",41.9097192,-87.6425041,0.0
7,11361107.0,11361107/Alexandre Stoykov/Listing,Alexandre Stoykov,Listing,Clean,Condo/Co-op,845 N Kingsbury St #313,Chicago,IL,60610.0,6/6/2022,"$310,000",https://www.redfin.com/IL/Chicago/845-N-Kingsbury-St-60610/unit-313/home/26812064,845 N Kingsbury St #313 Chicago IL,845 N Kingsbury St #313 Chicago IL,"845 N Kingsbury St UNIT 313, Chicago, IL 60610, USA","(41.8985201, -87.6434185, 0.0)",41.8985201,-87.6434185,0.0
8,11283803.0,11283803/Alexandre Stoykov/Buyers,Alexandre Stoykov,Buyers,Clean,Condo/Co-op,1103 W Wrightwood Ave #3,Chicago,IL,60614.0,3/3/2022,"$239,000",https://www.redfin.com/IL/Chicago/1103-W-Wrightwood-Ave-60614/unit-3/home/178667852,1103 W Wrightwood Ave #3 Chicago IL,1103 W Wrightwood Ave #3 Chicago IL,"1103 W Wrightwood Ave #3, Chicago, IL 60614, USA","(41.928694, -87.65639250000001, 0.0)",41.928694,-87.65639250000001,0.0
9,11427411.0,11427411/Alexandre Stoykov/Buyers,Alexandre Stoykov,Buyers,Clean,Condo/Co-op,211 N Harbor Dr #2001,Chicago,IL,60601.0,6/9/2022,"$945,000",https://www.redfin.com/IL/Chicago/211-N-Harbor-Dr-60601/unit-2001/home/179804190,211 N Harbor Dr #2001 Chicago IL,211 N Harbor Dr #2001 Chicago IL,"211 N Harbor Dr #2001, Chicago, IL 60601, USA","(41.8864877, -87.6146074, 0.0)",41.8864877,-87.6146074,0.0
