,Zip,Number of Sales
0,60614,338
1,60657,207
2,60610,176
3,60622,175
4,60647,169
5,60618,131
6,60611,109
7,60613,106
8,60654,89
9,60640,72
10,60642,68
11,60607,66
12,60616,52
13,60605,50
14,60625,43
15,60612,42
16,60601,40
17,60608,26
18,60626,26
19,60641,25
20,60660,24
21,60615,22
22,60661,18
23,60645,16
24,60634,12
25,60651,11
26,60646,11
27,60630,11
28,60653,11
29,60637,8
30,60643,8
31,60606,7
32,60620,6
33,60609,6
34,60649,6
35,60639,6
36,60602,5
37,60628,4
38,60617,4
39,60707,3
40,60659,3
41,60619,3
42,60656,3
43,60638,2
44,60621,2
45,60623,2
46,60603,2
47,60624,2
48,60632,2
49,60629,1
50,60652,1
51,60631,1
52,60636,1
