,SOLD DATE,ADDRESS,CITY,PRICE,BEDS,BATHS,LOCATION,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,URL,LATITUDE,LONGITUDE,Unnamed: 0.2,URL,Unnamed: 0,URL.2,PRICE_AS_CURRENCY,YEAR BUILT DISPLAY,PRICE_SQUARE_FEET_AS_CURRENCY,COLOR,RANK,FULL_ADDRESS,Unnamed: 0.1,URL.1
1306,April-18-2023,172 W Laurel Ave,Lake Forest,3600000.0,6.0,8.0,Lake Forest,2007.0,,551.0,,42.2596653,-87.8510236,1306.0,,1926.0,https://www.redfin.com/IL/Lake-Forest/172-W-Laurel-Ave-60045/home/14197264,"$3,600,000",2007,$551,orange,1,172 W Laurel Ave Lake Forest,,
1307,April-18-2023,172 W Laurel Ave,Lake Forest,3600000.0,6.0,8.0,Lake Forest,2007.0,,551.0,,42.2596653,-87.8510236,4840.0,https://www.redfin.com/IL/Lake-Forest/172-W-Laurel-Ave-60045/home/14197264,,,"$3,600,000",2007,$551,orange,2,172 W Laurel Ave Lake Forest,,
7754,April-18-2023,172 W Laurel Ave,Lake Forest,3600000.0,6.0,8.0,Lake Forest,2007.0,,551.0,https://www.redfin.com/IL/Lake-Forest/172-W-Laurel-Ave-60045/home/14197264,42.2596653,-87.8510236,,,,,"$3,600,000",2007,$551,orange,3,172 W Laurel Ave Lake Forest,,
1308,April-12-2023,1N443 Indian Knoll Rd,West Chicago,3000000.0,5.0,6.0,West Chicago,2022.0,,328.0,,41.8939766,-88.1739188,1307.0,,719.0,https://www.redfin.com/IL/West-Chicago/1N443-Indian-Knoll-Rd-60185/home/160927424,"$3,000,000",2022,$328,orange,4,1N443 Indian Knoll Rd West Chicago,,
719,April-12-2023,1N443 Indian Knoll Rd,West Chicago,3000000.0,5.0,6.0,West Chicago,2022.0,,328.0,https://www.redfin.com/IL/West-Chicago/1N443-Indian-Knoll-Rd-60185/home/160927424,41.8939766,-88.1739188,,,,,"$3,000,000",2022,$328,orange,5,1N443 Indian Knoll Rd West Chicago,,
1309,April-12-2023,1N443 Indian Knoll Rd,West Chicago,3000000.0,5.0,6.0,West Chicago,2022.0,,328.0,,41.8939766,-88.1739188,719.0,https://www.redfin.com/IL/West-Chicago/1N443-Indian-Knoll-Rd-60185/home/160927424,,,"$3,000,000",2022,$328,orange,6,1N443 Indian Knoll Rd West Chicago,,
1311,April-21-2023,3516 Madison St,Oak Brook,2250000.0,5.0,7.0,Fullersburg Woods,1998.0,,232.0,,41.824684,-87.9385737,1308.0,,844.0,https://www.redfin.com/IL/Oak-Brook/3516-Madison-St-60523/home/18083001,"$2,250,000",1998,$232,orange,7,3516 Madison St Oak Brook,,
1310,April-21-2023,3516 Madison St,Oak Brook,2250000.0,5.0,7.0,Fullersburg Woods,1998.0,,232.0,,41.824684,-87.9385737,844.0,https://www.redfin.com/IL/Oak-Brook/3516-Madison-St-60523/home/18083001,,,"$2,250,000",1998,$232,orange,8,3516 Madison St Oak Brook,,
844,April-21-2023,3516 Madison St,Oak Brook,2250000.0,5.0,7.0,Fullersburg Woods,1998.0,,232.0,https://www.redfin.com/IL/Oak-Brook/3516-Madison-St-60523/home/18083001,41.824684,-87.9385737,,,,,"$2,250,000",1998,$232,orange,9,3516 Madison St Oak Brook,,
1312,April-18-2023,740 67th Pl,Willowbrook,1975000.0,6.0,6.0,Willowbrook,2018.0,,260.0,,41.7666537,-87.9422498,630.0,https://www.redfin.com/IL/Willowbrook/740-67th-Pl-60527/home/18007233,,,"$1,975,000",2018,$260,orange,10,740 67th Pl Willowbrook,,
630,April-18-2023,740 67th Pl,Willowbrook,1975000.0,6.0,6.0,Willowbrook,2018.0,,260.0,https://www.redfin.com/IL/Willowbrook/740-67th-Pl-60527/home/18007233,41.7666537,-87.9422498,,,,,"$1,975,000",2018,$260,blue,11,740 67th Pl Willowbrook,,
1313,April-18-2023,740 67th Pl,Willowbrook,1975000.0,6.0,6.0,Willowbrook,2018.0,,260.0,,41.7666537,-87.9422498,1309.0,,630.0,https://www.redfin.com/IL/Willowbrook/740-67th-Pl-60527/home/18007233,"$1,975,000",2018,$260,blue,12,740 67th Pl Willowbrook,,
7213,April-11-2023,180 S Orchard Cir,Lake Forest,1925000.0,4.0,3.5,Lake Forest,2019.0,,428.0,https://www.redfin.com/IL/Lake-Forest/180-S-Orchard-Cir-60045/home/147128879,42.236975,-87.86245,,,,,"$1,925,000",2019,$428,blue,13,180 S Orchard Cir Lake Forest,,
1315,April-11-2023,180 S Orchard Cir,Lake Forest,1925000.0,4.0,3.5,Lake Forest,2019.0,,428.0,,42.236975,-87.86245,4299.0,https://www.redfin.com/IL/Lake-Forest/180-S-Orchard-Cir-60045/home/147128879,,,"$1,925,000",2019,$428,blue,14,180 S Orchard Cir Lake Forest,,
