,SOLD DATE,ADDRESS,CITY,PRICE,BEDS,BATHS,LOCATION,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,URL,LATITUDE,LONGITUDE,Unnamed: 0,URL,PRICE_AS_CURRENCY,YEAR BUILT DISPLAY,PRICE_SQUARE_FEET_AS_CURRENCY,COLOR,RANK,FULL_ADDRESS
1354,March-22-2023,1400 N Waukegan Rd,Lake Forest,3875480.0,7.0,8.5,Lake Forest,1930.0,,354.0,https://www.redfin.com/IL/Lake-Forest/1400-N-Waukegan-Rd-60045/home/23090933,42.2651238,-87.879638,,,"$3,875,480",1930,$354,orange,1,1400 N Waukegan Rd Lake Forest
30,March-1-2023,318 S Lincoln St,Hinsdale,2899000.0,5.0,5.5,Hinsdale,2023.0,,,https://www.redfin.com/IL/Hinsdale/318-S-Lincoln-St-60521/home/18021646,41.7989838,-87.9310099,,,"$2,899,000",2023,$nan,orange,2,318 S Lincoln St Hinsdale
815,March-7-2023,704 Deer Trail Ln,Oak Brook,2800000.0,8.0,8.5,Hunter Trails,1978.0,,247.0,https://www.redfin.com/IL/Oak-Brook/704-Deer-Trail-Ln-60523/home/18083187,41.8266838,-87.9484143,,,"$2,800,000",1978,$247,orange,3,704 Deer Trail Ln Oak Brook
1874,March-29-2023,23477 N Elm Rd,Lincolnshire,2800000.0,7.0,5.5,Lincolnshire,2019.0,,280.0,https://www.redfin.com/IL/Lincolnshire/23477-N-Elm-Rd-60069/home/172495836,42.2036653,-87.9149191,,,"$2,800,000",2019,$280,orange,4,23477 N Elm Rd Lincolnshire
820,March-24-2023,425 E 4th St,Hinsdale,2690000.0,5.0,6.0,Hinsdale,1996.0,,348.0,https://www.redfin.com/IL/Hinsdale/425-E-4th-St-60521/home/14166006,41.7993383,-87.9194224,,,"$2,690,000",1996,$348,orange,5,425 E 4th St Hinsdale
642,March-31-2023,5627 Childs Ave,Hinsdale,2300000.0,5.0,6.0,Hinsdale,2022.0,,347.0,https://www.redfin.com/IL/Hinsdale/5627-Childs-Ave-60521/home/18020595,41.7858855,-87.9228702,,,"$2,300,000",2022,$347,orange,6,5627 Childs Ave Hinsdale
1469,March-23-2023,27801 Hawks Nest Cir,Lake Barrington,1950000.0,5.0,5.0,Enclave of Heritage Estates,2007.0,,305.0,https://www.redfin.com/IL/Lake-Barrington/27801-Hawks-Nest-Cir-60010/home/17592632,42.2039612,-88.1751511,,,"$1,950,000",2007,$305,orange,7,27801 Hawks Nest Cir Lake Barrington
1426,March-24-2023,321 Greenwood Ave,Lake Forest,1940000.0,5.0,4.5,Lake Forest,2006.0,,485.0,https://www.redfin.com/IL/Lake-Forest/321-Greenwood-Ave-60045/home/17630556,42.2242449,-87.8392043,,,"$1,940,000",2006,$485,orange,8,321 Greenwood Ave Lake Forest
844,March-30-2023,406 S Julian St,Naperville,1775135.0,4.0,3.5,East Highlands,2021.0,,480.0,https://www.redfin.com/IL/Naperville/406-S-Julian-St-60540/home/18049320,41.7699133,-88.1354497,,,"$1,775,135",2021,$480,orange,9,406 S Julian St Naperville
1329,March-17-2023,23669 N Matthew Ct,Long Grove,1737128.0,4.0,4.5,Long Meadow Farms,2022.0,,525.0,https://www.redfin.com/IL/Long-Grove/23669-N-Matthew-Ct-60047/home/23050493,42.2067903,-88.0259022,,,"$1,737,128",2022,$525,orange,10,23669 N Matthew Ct Long Grove
