SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-10-2023,Single Family Residential,418 Grandview Dr,Round Lake,IL,60073,250000,4,2.0,Round Lake Beach / Round Lake / Round Lake Heights / Round Lake Park,2088,6534,1987,,120,,Sold,,,https://www.redfin.com/IL/Round-Lake-Park/418-Grandview-Dr-60073/home/17727849,MRED,11729843,N,Y,42.3563685,-88.0737962
PAST SALE,April-27-2023,Single Family Residential,10 E Louis Ave,Lake Forest,IL,60045,920000,4,3.0,Whispering Oaks,4032,,1976,,228,,Sold,,,https://www.redfin.com/IL/Lake-Forest/10-E-Louis-Ave-60045/home/17478429,MRED,11738947,N,Y,42.2227911,-87.8469371
PAST SALE,March-22-2023,Single Family Residential,1 Court Of Bucks County,Lincolnshire,IL,60069,420000,3,2.5,Wood Creek Courts,2773,5253,1973,,151,300,Sold,,,https://www.redfin.com/IL/Lincolnshire/1-Court-of-Bucks-County-60069/home/17645432,MRED,11676890,N,Y,42.1995637,-87.89573
PAST SALE,May-1-2023,Single Family Residential,403 Alexandria Dr,Vernon Hills,IL,60061,447000,4,2.5,Deerpath,2170,9888,1977,,206,,Sold,,,https://www.redfin.com/IL/Vernon-Hills/403-Alexandria-Dr-60061/home/14175722,MRED,11733833,N,Y,42.2348612,-87.9651421
PAST SALE,April-21-2023,Townhouse,361 Bloomfield Ct,Vernon Hills,IL,60061,382500,3,2.5,Indian Creek / Vernon Hills,1814,,1996,,211,394,Sold,,,https://www.redfin.com/IL/Vernon-Hills/361-Bloomfield-Ct-60061/home/14194568,MRED,11727430,N,Y,42.2333147,-87.9845071
PAST SALE,April-10-2023,Townhouse,2869 N Augusta Dr,Wadsworth,IL,60083,200000,2,1.5,Old Mill Creek / Wadsworth,1428,,1999,,140,209,Sold,,,https://www.redfin.com/IL/Wadsworth/2869-N-Augusta-Dr-60083/home/17724420,MRED,11710081,N,Y,42.404817,-87.921576
PAST SALE,April-6-2023,Townhouse,71 Willow Pkwy Unit 72-2,Buffalo Grove,IL,60089,337000,3,2.0,Buffalo Grove,2099,,1989,,161,377,Sold,,,https://www.redfin.com/IL/Buffalo-Grove/71-Willow-Pkwy-60089/unit-72-2/home/184395888,MRED,11714514,N,Y,42.1952969,-87.9588979
PAST SALE,February-7-2023,Townhouse,607 N Red Deer Rd,Round Lake,IL,60073,202000,2,2.5,Fairfield Lakes,1703,,2005,,119,188,Sold,,,https://www.redfin.com/IL/Round-Lake/607-N-Red-Deer-Rd-60073/home/17589961,MRED,11700602,N,Y,42.3593328,-88.1125299
PAST SALE,April-28-2023,Single Family Residential,34145 N Partridge Ln,Gurnee,IL,60031,449900,4,3.0,Gurnee,2682,8576,2021,,168,97,Sold,,,https://www.redfin.com/IL/Gurnee/34145-N-Partridge-Ln-60031/home/145256314,MRED,11752833,N,Y,42.3588293,-87.9656014
PAST SALE,March-24-2023,Single Family Residential,4810 Providence Rd,Gurnee,IL,60031,435000,4,2.5,Providence Village,2676,12196,1993,,163,13,Sold,,,https://www.redfin.com/IL/Gurnee/4810-Providence-Rd-60031/home/17715312,MRED,11730213,N,Y,42.3514209,-87.9220083
