SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-31-2023,Single Family Residential,619 Ellington Ct,Fox River Grove,IL,60021,460000,4,3.5,Fox River Grove,3513,18338,1996,,131,,Sold,,,https://www.redfin.com/IL/Fox-River-Grove/619-Ellington-Ct-60021/home/17791037,MRED,11727166,N,Y,42.2033009,-88.2145243
PAST SALE,May-15-2023,Single Family Residential,6905 New Hampshire Trl,Crystal Lake,IL,60012,430000,4,3.0,Covered Bridge,3237,23086,1970,,133,10,Sold,,,https://www.redfin.com/IL/Crystal-Lake/6905-New-Hampshire-Trl-60012/home/17283761,MRED,11747620,N,Y,42.2658042,-88.3313515
PAST SALE,May-24-2023,Townhouse,9360 Ackman Rd,Crystal Lake,IL,60014,355000,3,3.0,Georgetown at Turnberry,3519,7020,1999,,101,288,Sold,,,https://www.redfin.com/IL/Crystal-Lake/9360-Ackman-Rd-60014/home/17788290,MRED,11761757,N,Y,42.2049025,-88.378749
PAST SALE,May-5-2023,Single Family Residential,9380 Rachel Dr,Wonder Lake,IL,60097,330000,4,3.0,Deerpath,1483,68432,2003,,223,17,Sold,,,https://www.redfin.com/IL/Wonder-Lake/9380-Rachel-Dr-60097/home/14197691,MRED,11745696,N,Y,42.3761411,-88.3820283
PAST SALE,April-3-2023,Single Family Residential,1176 Holly Ln,Algonquin,IL,60102,349900,3,2.5,Algonquin,1895,10977,1989,,185,,Sold,,,https://www.redfin.com/IL/Algonquin/1176-Holly-Ln-60102/home/17572500,MRED,11726443,N,Y,42.169334,-88.3065226
PAST SALE,May-19-2023,Single Family Residential,1083 Williamsbury Dr,Crystal Lake,IL,60012,490000,4,2.5,Woodlore Estates,2669,10018,2020,,184,42,Sold,,,https://www.redfin.com/IL/Crystal-Lake/1083-Williamsbury-Dr-60012/home/172489470,MRED,11764070,N,Y,42.264731,-88.281404
PAST SALE,May-31-2023,Single Family Residential,1184 Ridgewood Cir,Lake In The Hills,IL,60156,524999,5,5.0,Lake in the Hills,5310,9844,2003,,99,91,Sold,,,https://www.redfin.com/IL/Lake-in-the-Hills/1184-Ridgewood-Cir-60156/home/17802423,MRED,11683776,N,Y,42.1877409,-88.3538713
PAST SALE,June-20-2023,Single Family Residential,204 Hickory Ter,Island Lake,IL,60042,315000,3,3.0,Island Lake,1678,,2004,,188,,Sold,,,https://www.redfin.com/IL/Island-Lake/204-Hickory-Ter-60042/home/145268120,MRED,11783389,N,Y,42.2837337,-88.2005174
PAST SALE,April-6-2023,Townhouse,1109 Amber Dr #1109,Cary,IL,60013,260000,3,2.0,West Lake,1889,2002,2007,,138,162,Sold,,,https://www.redfin.com/IL/Cary/1109-Amber-Dr-60013/unit-1109/home/77443556,MRED,11720147,N,Y,42.2204451,-88.2590102
PAST SALE,May-1-2023,Single Family Residential,5824 Prairie Ridge Rd,Crystal Lake,IL,60014,375000,4,3.0,Prairie Ridge,1884,10890,2005,,199,350,Sold,,,https://www.redfin.com/IL/Crystal-Lake/5824-Prairie-Ridge-Rd-60014/home/17826081,MRED,11744692,N,Y,42.2445583,-88.2812033
PAST SALE,May-15-2023,Single Family Residential,1812 River Terrace Dr,Johnsburg,IL,60051,310000,2,1.0,Holiday Hills / Johnsburg / McHenry / Lakemoor / McCullom Lake / Sunnyside / Ringwood,1180,10890,1935,,263,,Sold,,,https://www.redfin.com/IL/Johnsburg/1812-River-Terrace-Dr-60051/home/17839735,MRED,11738107,N,Y,42.3785236,-88.2332058
PAST SALE,May-15-2023,Single Family Residential,840 Verdi Ct,Woodstock,IL,60098,380000,4,3.0,Bull Valley / Greenwood / Woodstock,2500,14971,2008,,152,30,Sold,,,https://www.redfin.com/IL/Woodstock/840-Verdi-Ct-60098/home/17776075,MRED,11742259,N,Y,42.3428019,-88.4292945
PAST SALE,May-1-2023,Single Family Residential,1800 Yasgur Dr,Woodstock,IL,60098,270000,3,2.0,Sweetwater,1435,,2006,,188,20,Sold,,,https://www.redfin.com/IL/Woodstock/1800-Yasgur-Dr-60098/home/17774941,MRED,11732461,N,Y,42.3371833,-88.4289158
PAST SALE,April-14-2023,Vacant Land,2418 Colby Dr,Mchenry,IL,60050,85000,,,Holiday Hills / Johnsburg / McHenry / Lakemoor / McCullom Lake / Sunnyside / Ringwood,,52272,,,,,Sold,,,https://www.redfin.com/IL/McHenry/2418-Colby-Dr-60050/home/17824451,MRED,11711647,N,Y,42.2941996,-88.2377322
PAST SALE,May-1-2023,Single Family Residential,9670 Stonecastle Ln,Lakewood,IL,60014,670000,5,5.0,Brighton Oaks,6082,17424,2007,,110,21,Sold,,,https://www.redfin.com/IL/Village-of-Lakewood/9670-Stonecastle-Ln-60014/home/21911533,MRED,11455690,N,Y,42.2379746,-88.3849662
PAST SALE,,Single Family Residential,8519 Regnier Rd,Hebron,IL,60034,375000,,,,,217800,,,,,,,,https://www.redfin.com/IL/Hebron/8519-Regnier-Rd-60034/home/17857958,,,N,Y,42.441507,-88.36452
