|building_address_city|List Date|Close Date|days_on_market|Sale Price|Sq. Ft.|price_per_sqft|Agent|Listing Broker|Buyer Agent|Buyer Broker|geo_address|building_name|address_only|loc|point|lat|lon|altitude|Sale Price int|price_per_sqft_int|year
0|Faena House 3315 Collins Ave 6a Miami Beach|1/31/2022|5/4/2022|63|$15,500,000.00|6246|$3,276.96|Toni Schrager|Brown Harris Stevens|Bryan Sereny PA|Douglas Elliman|Faena House 3315 Collins Ave 6a Miami Beach|Faena House |3315 Collins Ave 6a Miami Beach|FAENA HOUSE, 3315 Collins Ave #6a, Miami Beach, FL 33140, USA|(25.8078488, -80.1232302, 0.0)|25.8078488|-80.1232302|0.0|15500000.0|3276.96|2021
1|Santa Maria 1643 Brickell Ave PH 4902 Miami|5/10/2021|5/5/2022|309|$12,000,000.00|10000|$1,200.00|Audrey Ross|Compass Florida, LLC|Liz Hogan|Compass Florida, LLC|Santa Maria 1643 Brickell Ave PH 4902 Miami|Santa Maria |1643 Brickell Ave PH 4902 Miami|1643 Brickell Ave # 4902, Miami, FL 33129, USA|(25.755254, -80.194744, 0.0)|25.755254|-80.194744|0.0|12000000.0|1200.0|2021
2|Oceana Bal Harbour Condo 10201 Collins Ave 2103 Bal Harbour|9/22/2021|5/5/2022|201|$8,900,000.00|3264|$2,726.72|Jonathan Mann|Coldwell Banker Realty|Omer Horev|Charles Rutenberg Realty|Oceana Bal Harbour Condo 10201 Collins Ave 2103 Bal Harbour|Oceana Bal Harbour Condo |10201 Collins Ave 2103 Bal Harbour|10201 Collins Ave Unit 2103, Bal Harbour, FL 33154, USA|(25.8951782, -80.1231506, 0.0)|25.8951782|-80.1231506|0.0|8900000.0|2726.72|2021
3|Oceana Bal Harbour Condo 10203 Collins Ave 1602 Bal Harbour|5/1/2022|5/2/2022|1|$8,900,000.00|3450|$2,579.71|Comp Sale|Comp Sale|Lourdes Alatriste|Douglas Elliman|Oceana Bal Harbour Condo 10203 Collins Ave 1602 Bal Harbour|Oceana Bal Harbour Condo |10203 Collins Ave 1602 Bal Harbour|10203 Collins Ave Unit 1602, Bal Harbour, FL 33154, USA|(25.8951782, -80.1231506, 0.0)|25.8951782|-80.1231506|0.0|8900000.0|2579.71|2021
4|Continuum on South Beach 50 S Pointe Dr 3104 Miami Beach|4/6/2022|5/2/2022|2|$8,800,000.00|2173|$4,049.70|Jorge Martinez|One Sotheby's Intl Realty|Devin Kay|Douglas Elliman|Continuum on South Beach 50 S Pointe Dr 3104 Miami Beach|Continuum on South Beach |50 S Pointe Dr 3104 Miami Beach|50 South Pointe Dr APT 3104, Miami Beach, FL 33139, USA|(25.7682956, -80.1316247, 0.0)|25.7682956|-80.1316247|0.0|8800000.0|4049.7|2021
5|Oceana Key Biscayne 360 Ocean Dr 501S Key Biscayne|8/11/2021|5/5/2022|253|$8,800,000.00|3791|$2,321.29|Brigitte Nachtigall|Great Properties Intl|David Deleon|Compass Florida, LLC|Oceana Key Biscayne 360 Ocean Dr 501S Key Biscayne|Oceana Key Biscayne |360 Ocean Dr 501S Key Biscayne|360 Ocean Dr #501s, Key Biscayne, FL 33149, USA|(25.6942877, -80.1578218, 0.0)|25.6942877|-80.1578218|0.0|8800000.0|2321.29|2021
6|One Thousand Museum 1000 E Biscayne Blvd 3201 Miami|4/26/2022|5/4/2022|1|$7,300,000.00|4600|$1,586.96|Patrice Hallot|London Foster Realty|Anna Sherrill|One Sotheby's Intl Realty|One Thousand Museum 1000 E Biscayne Blvd 3201 Miami|One Thousand Museum |1000 E Biscayne Blvd 3201 Miami|1000 Biscayne Blvd #3201, Miami, FL 33132, USA|(25.784171, -80.1900783, 0.0)|25.784171|-80.1900783|0.0|7300000.0|1586.96|2021
7|Cloisters on the Bay Condo 3471 Main Hwy 727 Miami|2/28/2022|5/2/2022|7|$7,000,000.00|5739|$1,219.72|Ilana Levitt|Compass Florida, LLC|Ilana Levitt|Compass Florida, LLC|Cloisters on the Bay Condo 3471 Main Hwy 727 Miami|Cloisters on the Bay Condo |3471 Main Hwy 727 Miami|3471 Main Hwy APT 727, Miami, FL 33133, USA|(25.7260243, -80.2424968, 0.0)|25.7260243|-80.2424968|0.0|7000000.0|1219.72|2021
8|Bayview at Fisher Island 5132 Fisher Island Dr 5132 Miami Beach|11/16/2021|5/2/2022|121|$6,500,000.00|3580|$1,815.64|Riley Smith|BHHS EWM Realty|Riley Smith|BHHS EWM Realty|Bayview at Fisher Island 5132 Fisher Island Dr 5132 Miami Beach|Bayview at Fisher Island |5132 Fisher Island Dr 5132 Miami Beach|5132 Fisher Island Dr #5132, Miami Beach, FL 33109, USA|(25.7620721, -80.1477688, 0.0)|25.7620721|-80.1477688|0.0|6500000.0|1815.64|2021
9|P0orsche Design Tower 18555 Collins Ave 2501 Sunny Isles Beach|1/11/2022|5/2/2022|51|$6,050,000.00|5913|$1,340.57|Enrique Tettamanti|Dezer Platinum Realty|Melissa Barragan|Dezer Platinum Realty|P0orsche Design Tower 18555 Collins Ave 2501 Sunny Isles Beach|P|0orsche Design Tower 18555 Collins Ave 2501 Sunny Isles Beach|18555 Collins Ave, Sunny Isles Beach, FL 33160, USA|(25.9482145, -80.1197839, 0.0)|25.9482145|-80.1197839|0.0|6050000.0|1340.57|2021
10|Rise Condo 88 SW 7th St 4201 Miami|3/17/2022|5/11/2022|21|$6,300,000.00|4424|$1,424.05|Ana Maria Gomez|Fortune Intl Realty|TEMP USER|Miami Assoc of Realtors|Rise Condo 88 SW 7th St 4201 Miami|Rise Condo |88 SW 7th St 4201 Miami|88 SW 7th St #4201, Miami, FL 33130, USA|(25.7671967, -80.1945134, 0.0)|25.7671967|-80.1945134|0.0|6300000.0|1424.05|2021
11|Prive Condo 5500 Island Estates Dr PH7 Aventura|8/17/2020|5/12/2022|561|$5,800,000.00|4417|$1,313.11|Bento Queiroz|Compass Florida, LLC|Diana Shay|Miami New Home Realty|Prive Condo 5500 Island Estates Dr PH7 Aventura|Prive Condo |5500 Island Estates Dr PH7 Aventura|5500 Island Estates Dr, Aventura, FL 33160, USA|(25.946531, -80.130636, 0.0)|25.946531|-80.130636|0.0|5800000.0|1313.11|2021
12|Four Seasons Residences 1425 Brickell Ave 58E Miami|2/3/2022|5/11/2022|34|$4,061,000.00|3357|$1,209.71|Carlos Herman Morean|Compass Florida, LLC|Michael Light|Douglas Elliman|Four Seasons Residences 1425 Brickell Ave 58E Miami|Four Seasons Residences |1425 Brickell Ave 58E Miami|1425 Brickell Ave #58e, Miami, FL 33131, USA|(25.7591323, -80.1918295, 0.0)|25.7591323|-80.1918295|0.0|4061000.0|1209.71|2021
13|Bayside Village Condo 2423 Fisher Island Dr 5203 Miami Beach|2/14/2022|5/10/2022|6|$3,550,000.00|2234|$1,589.08|Karla Abaunza|Luxury Living Realty|Karla Abaunza|Luxury Living Realty|Bayside Village Condo 2423 Fisher Island Dr 5203 Miami Beach|Bayside Village Condo |2423 Fisher Island Dr 5203 Miami Beach|2423 Fisher Island Dr #5203, Miami Beach, FL 33109, USA|(25.7589251, -80.143131, 0.0)|25.7589251|-80.143131|0.0|3550000.0|1589.08|2021
14|Murano Grande 400 Alton Rd 2506 Miami Beach|1/14/2022|5/11/2022|96|$3,500,000.00|2024|$1,729.25|Jeffrey Miller|One Sotheby's Intl Realty|Jonathan Corso|Coldwell Banker|Murano Grande 400 Alton Rd 2506 Miami Beach|Murano Grande |400 Alton Rd 2506 Miami Beach|400 Alton Rd APT 2506, Miami Beach, FL 33139, USA|(25.7727159, -80.14041569999999, 0.0)|25.7727159|-80.14041569999999|0.0|3500000.0|1729.25|2021
