building_address_city,List Date,Close Date,days_on_market,Sale Price,Sq. Ft.,price_per_sqft,Agent,Listing Broker,Buyer Agent,Buyer Broker
"The Gables Club
60 Edgewater Dr TSE
Coral Gables",11/17/2021,9/21/2022,265,"$7,270,000",7980,$911,Allison Blumenthal,x,Ashley Cusack,x
"Continuum on South Beach
100 S Pointe Drive 3905
Miami Beach",5/23/2022,9/19/2022,67,"$6,500,000",1793,3625,Roland Ortiz,x,Sonia Toth,x
"W South Beach
2201 Collins Ave 726-728-730
Miami Beach",6/20/2022,9/23/2022,58,"$6,084,000",3082,2394,Angelica Garcia,x,Christopher Adeleke,x
"Bal Harbour Tower
9999 Collins Avenue PH 2H
Bal Harbour",4/19/2022,9/22/2022,106,"$6,000,000",4980,1205,Agnieska Gray,x,Stacy Robins,x
"Porsche Design Tower
18555 Collins Avenue 1701
Sunny Isles Beach",5/15/2020,9/19/2022,846,"$5,750,000",4154,1384,Heloisa Arazi,x,Allison Turk PA,x
"The Surf Club
9111 Collins Avenue, N-712
Surfside",8/18/2022,9/23/2022,6,"$3,750,000",1227,3056,Ximena Penuela,x,Ximena Penuela,x
"Casa del Mar
881 Ocean Drive 23H
Key Biscayne",8/22/2022,9/23/2022,25,"$3,475,000",3120,1114,Tina Falla Trelles,x,Maria Donnelly,x
"Turnberry Ocean Colony
16051 Collins Avenue 3301
Sunny Isles Beach",6/13/2022,9/22/2022,53,"$3,100,000",2775,1117,Christian Espinosa,x,David Koster,x
"The Gables Condo
60 Edgewater Drive 5F
Coral Gables",6/13/2022,9/22/2022,91,"$2,400,000",3165,758,Tracey Spiegelman,x,Allison Blumenthal,x
"Lake Villa Three Condo
739 Crandon Blvd PH1
Key Biscayne",11/11/2021,9/19/2022,224,"$2,200,000",2220,991,Monica Slodarz,x,Roberta Fittipaldi,x
