SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-2-2023,Single Family Residential,2616 Chapel Hill Dr,Elgin,IL,60120,520000,4,2.5,Chapel Creek,2970,40031,1989,,175,20,Sold,,,https://www.redfin.com/IL/Elgin/2616-Chapel-Hill-Dr-60120/home/13766997,MRED,11677801,N,Y,42.0341708,-88.2296679
PAST SALE,March-24-2023,Single Family Residential,7451 161st St,Tinley Park,IL,60477,300000,3,2.5,Brementowne,1696,8102,1972,,177,,Sold,,,https://www.redfin.com/IL/Tinley-Park/7451-161st-St-60477/home/13008911,MRED,11679766,N,Y,41.5981744,-87.8015399
PAST SALE,May-8-2023,Single Family Residential,3642 Westfield Ln,Glenview,IL,60026,760000,4,3.5,Glenview / Golf,2652,,1980,,287,,Sold,,,https://www.redfin.com/IL/Glenview/3642-Westfield-Ln-60026/home/13804767,MRED,11714978,N,Y,42.1028222,-87.8458243
PAST SALE,April-27-2023,Single Family Residential,1647 W Hollywood Ave,Chicago,IL,60660,615000,3,1.5,CHI - Edgewater,,,1927,,,,Sold,,,https://www.redfin.com/IL/Chicago/1647-W-Hollywood-Ave-60660/home/13405670,MRED,11718168,N,Y,41.9849123,-87.6717825
PAST SALE,,Single Family Residential,5121 S New England Ave,Chicago,IL,60638,255000,2,1.0,,1022,3750,1954,,250,,,,,https://www.redfin.com/IL/Chicago/5121-S-New-England-Ave-60638/home/14029641,,,N,Y,41.7988099,-87.793913
PAST SALE,May-15-2023,Single Family Residential,3540 Home Ave,Berwyn,IL,60402,359900,3,2.5,Berwyn,2014,6298,1941,,179,,Sold,,,https://www.redfin.com/IL/Berwyn/3540-Home-Ave-60402/home/14137173,MRED,11742045,N,Y,41.8270794,-87.7978765
PAST SALE,March-15-2023,Single Family Residential,5201 W Belle Plaine Ave,Chicago,IL,60641,610000,5,3.0,CHI - Portage Park,3200,4403,1912,,191,,Sold,,,https://www.redfin.com/IL/Chicago/5201-W-Belle-Plaine-Ave-60641/home/13479406,MRED,11694307,N,Y,41.9549048,-87.7574011
PAST SALE,May-19-2023,Single Family Residential,318 Dover Ave,La Grange Park,IL,60526,700000,4,3.0,La Grange Park,1961,6664,1927,,357,,Sold,,,https://www.redfin.com/IL/La-Grange-Park/318-Dover-Ave-60526/home/13297765,MRED,11735263,N,Y,41.8197575,-87.8826126
PAST SALE,May-25-2023,Single Family Residential,3726 W Windsor Ave,Chicago,IL,60625,735000,4,3.5,CHI - Albany Park,1662,3223,2019,,442,,Sold,,,https://www.redfin.com/IL/Chicago/3726-W-Windsor-Ave-60625/home/21992024,MRED,11744861,N,Y,41.9639311,-87.7217134
PAST SALE,March-27-2023,Single Family Residential,4341 N Oakley Ave,Chicago,IL,60618,1475000,4,3.5,CHI - North Center,3900,3101,2005,,378,,Sold,,,https://www.redfin.com/IL/Chicago/4341-N-Oakley-Ave-60618/home/13391610,MRED,11721353,N,Y,41.9607309,-87.6859448
