,SOLD DATE,ADDRESS,CITY,PRICE,BEDS,BATHS,LOCATION,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,URL,LATITUDE,LONGITUDE,PRICE_AS_CURRENCY,YEAR BUILT DISPLAY,PRICE_SQUARE_FEET_AS_CURRENCY,COLOR,RANK,FULL_ADDRESS
1300,April-18-2023,159 E Walton Pl Unit 32A,Chicago,5200000.0,3.0,3.5,CHI - Near North Side,1928.0,,965.0,https://www.redfin.com/IL/Chicago/159-E-Walton-Pl-60611/unit-32A/home/12593128,41.8997872,-87.6234987,"$5,200,000",1928,$965,orange,1,159 E Walton Pl Unit 32A Chicago
532,April-12-2023,132 E Delaware Pl #6005,Chicago,2860000.0,3.0,3.5,Bloomingdales,1989.0,,798.0,https://www.redfin.com/IL/Chicago/132-E-Delaware-Pl-60611/unit-6005/home/14120656,41.8994922,-87.6251109,"$2,860,000",1989,$798,orange,2,132 E Delaware Pl #6005 Chicago
1738,April-26-2023,363 E Wacker Dr #2403,Chicago,2840000.0,4.0,4.5,CHI - Loop,2020.0,,798.0,https://www.redfin.com/IL/Chicago/363-E-Wacker-Dr-60601/unit-2403/home/177172908,41.8874508,-87.6174598,"$2,840,000",2020,$798,orange,3,363 E Wacker Dr #2403 Chicago
73,April-6-2023,305 S Racine Ave Ph -A,Chicago,2354394.0,5.0,5.0,CHI - Near West Side,2021.0,,741.0,https://www.redfin.com/IL/Chicago/305-S-Racine-Ave-60607/unit-A/home/172525572,41.8775929,-87.6568178,"$2,354,394",2021,$741,orange,4,305 S Racine Ave Ph -A Chicago
866,April-21-2023,415 E North Water St #1305,Chicago,2100000.0,3.0,3.0,CHI - Near North Side,2005.0,,446.0,https://www.redfin.com/IL/Chicago/415-E-North-Water-St-60611/unit-1305/home/179146933,41.8893735,-87.6168504,"$2,100,000",2005,$446,orange,5,415 E North Water St #1305 Chicago
1523,April-7-2023,363 E Wacker Dr #4402,Chicago,2027116.0,3.0,2.0,CHI - Loop,2020.0,,969.0,https://www.redfin.com/IL/Chicago/363-E-Wacker-Dr-60601/unit-4402/home/177172948,41.8874508,-87.6174598,"$2,027,116",2020,$969,orange,6,363 E Wacker Dr #4402 Chicago
421,April-25-2023,840 N Lake Shore Dr #1703,Chicago,2000000.0,3.0,3.5,CHI - Near North Side,2001.0,,625.0,https://www.redfin.com/IL/Chicago/840-N-Lake-Shore-Dr-60611/unit-1703/home/12681896,41.8979713,-87.6180674,"$2,000,000",2001,$625,orange,7,840 N Lake Shore Dr #1703 Chicago
1475,April-18-2023,10 E Delaware Pl Unit 29B,Chicago,1875000.0,3.0,3.5,CHI - Near North Side,2010.0,,691.0,https://www.redfin.com/IL/Chicago/10-E-Delaware-Pl-60611/unit-29B/home/113096393,41.8993009,-87.6279319,"$1,875,000",2010,$691,orange,8,10 E Delaware Pl Unit 29B Chicago
457,April-24-2023,1719 N Burling St Unit 4N,Chicago,1850000.0,3.0,2.5,CHI - Lincoln Park,2023.0,,,https://www.redfin.com/IL/Chicago/1719-N-Burling-St-60614/unit-4N/home/182101063,41.9133356,-87.6468838,"$1,850,000",2023,$nan,orange,9,1719 N Burling St Unit 4N Chicago
65,April-18-2023,305 S Racine Ave Ph -B,Chicago,1846120.0,4.0,4.5,CHI - Near West Side,2021.0,,595.0,https://www.redfin.com/IL/Chicago/305-S-Racine-Ave-60607/unit-B/home/172525570,41.8775929,-87.6568178,"$1,846,120",2021,$595,orange,10,305 S Racine Ave Ph -B Chicago
