SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-1-2023,Condo/Co-op,561 W Briar Pl #304,Chicago,IL,60657,450000,2,2.5,CHI - Lake View,,,1915,,,421,Sold,,,https://www.redfin.com/IL/Chicago/561-W-Briar-Pl-60657/unit-304/home/12613490,MRED,11772488,N,Y,41.9386019,-87.644032
PAST SALE,March-16-2023,Condo/Co-op,1040 W Adams St #437,Chicago,IL,60607,325000,1,1.0,Number 10 Lofts,900,,1913,,361,526,Sold,,,https://www.redfin.com/IL/Chicago/1040-W-Adams-St-60607/unit-437/home/26817640,MRED,11705906,N,Y,41.87924,-87.653728
PAST SALE,April-3-2023,Condo/Co-op,1720 N Hidden Creek Cir #6,Palatine,IL,60074,220000,3,2.0,Palatine,1156,,1980,,190,368,Sold,,,https://www.redfin.com/IL/Palatine/1720-N-Hidden-Creek-Cir-60074/unit-6/home/13898817,MRED,11731291,N,Y,42.1436255,-88.0127219
PAST SALE,March-24-2023,Condo/Co-op,5275 Diamond Dr Unit A,Oak Forest,IL,60452,208000,2,1.5,Diamonds of Oak Forest,1261,,1996,,165,260,Sold,,,https://www.redfin.com/IL/Oak-Forest/5275-Diamond-Dr-60452/unit-A/home/12802150,MRED,11711911,N,Y,41.6117284,-87.74916
PAST SALE,April-3-2023,Condo/Co-op,1550 N Oakley Blvd Unit 2-3,Chicago,IL,60622,825000,3,3.0,CHI - West Town,2400,,1892,,344,435,Sold,,,https://www.redfin.com/IL/Chicago/1550-N-Oakley-Blvd-60622/unit-2-3/home/105514858,MRED,11726449,N,Y,41.9101249,-87.6849111
PAST SALE,April-12-2023,Condo/Co-op,3505 N Janssen Ave #1,Chicago,IL,60657,370000,2,2.0,CHI - Lake View,,,1921,,,158,Sold,,,https://www.redfin.com/IL/Chicago/3505-N-Janssen-Ave-60657/unit-1/home/26808534,MRED,11724384,N,Y,41.9454391,-87.6648758
PAST SALE,February-22-2023,Condo/Co-op,1414 N Wells St #212,Chicago,IL,60610,407500,1,1.0,CHI - Near North Side,,,1995,,,538,Sold,,,https://www.redfin.com/IL/Chicago/1414-N-Wells-St-60610/unit-212/home/14115603,MRED,11719516,N,Y,41.9081697,-87.6349094
PAST SALE,April-28-2023,Condo/Co-op,2451 N Clybourn Ave #12,Chicago,IL,60614,520000,3,3.0,CHI - Lincoln Park,,,2001,,,417,Sold,,,https://www.redfin.com/IL/Chicago/2451-N-Clybourn-Ave-60614/unit-12/home/12772182,MRED,11679663,N,Y,41.9266748,-87.670572
PAST SALE,April-28-2023,Condo/Co-op,5455 N Sheridan Rd #1109,Chicago,IL,60640,90000,0,1.0,CHI - Edgewater,,,1967,,,433,Sold,,,https://www.redfin.com/IL/Chicago/5455-N-Sheridan-Rd-60640/unit-1109/home/13400200,MRED,11761859,N,Y,41.9816886,-87.6547103
PAST SALE,May-11-2023,Condo/Co-op,2700 N Halsted St Ph 3,Chicago,IL,60614,365000,1,1.0,CHI - Lincoln Park,900,,2002,,406,410,Sold,,,https://www.redfin.com/IL/Chicago/2700-N-Halsted-St-60614/unit-3/home/12633994,MRED,11744004,N,Y,41.931427,-87.6493093
