,SOLD DATE,ADDRESS,CITY,PRICE,BEDS,BATHS,LOCATION,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,URL,LATITUDE,LONGITUDE,PRICE_AS_CURRENCY,YEAR BUILT DISPLAY,PRICE_SQUARE_FEET_AS_CURRENCY,COLOR,RANK,FULL_ADDRESS
1050,February-8-2023,435 N Michigan Ave #508,Chicago,3300000.0,3.0,3.5,Tribune Tower Residences,2021.0,,1060.0,https://www.redfin.com/IL/Chicago/435-N-Michigan-Ave-60611/unit-508/home/177044584,41.8903627,-87.6236499,"$3,300,000",2021,"$1,060",orange,1,435 N Michigan Ave #508 Chicago
44,February-28-2023,1109 W Washington Blvd Unit 4B,Chicago,2525000.0,3.0,3.5,CHI - Near West Side,2018.0,,,https://www.redfin.com/IL/Chicago/1109-W-Washington-Blvd-60607/unit-4B/home/143578093,41.882748,-87.654875,"$2,525,000",2018,$nan,orange,2,1109 W Washington Blvd Unit 4B Chicago
1062,February-17-2023,50 E Chestnut St #2601,Chicago,2500000.0,3.0,3.5,CHI - Near North Side,2008.0,,641.0,https://www.redfin.com/IL/Chicago/50-E-Chestnut-St-60611/unit-2601/home/26811808,41.8985897,-87.6261037,"$2,500,000",2008,$641,orange,3,50 E Chestnut St #2601 Chicago
607,February-6-2023,401 N Wabash Ave Unit 82A,Chicago,2150000.0,3.0,3.5,CHI - Near North Side,2008.0,,698.0,https://www.redfin.com/IL/Chicago/401-N-Wabash-Ave-60611/unit-82A/home/13057514,41.8888012,-87.6263094,"$2,150,000",2008,$698,orange,4,401 N Wabash Ave Unit 82A Chicago
60,February-27-2023,305 S Racine Ave Ph -C,Chicago,1833840.0,4.0,4.5,CHI - Near West Side,2021.0,,581.0,https://www.redfin.com/IL/Chicago/305-S-Racine-Ave-60607/unit-C/home/172525569,41.8775902,-87.6566972,"$1,833,840",2021,$581,orange,5,305 S Racine Ave Ph -C Chicago
378,February-21-2023,1756 N Mohawk St #3,Chicago,1775000.0,4.0,2.5,CHI - Lincoln Park,,,538.0,https://www.redfin.com/IL/Chicago/1756-N-Mohawk-St-60614/unit-3/home/183822492,41.9144814,-87.6426743,"$1,775,000",nan,$538,orange,6,1756 N Mohawk St #3 Chicago
301,February-7-2023,451 E Grand Ave #4503,Chicago,1700000.0,3.0,3.5,CHI - Near North Side,2019.0,,707.0,https://www.redfin.com/IL/Chicago/451-E-Grand-Ave-60611/unit-4503/home/180401490,41.8915284,-87.6155848,"$1,700,000",2019,$707,orange,7,451 E Grand Ave #4503 Chicago
812,February-8-2023,2344 N Lincoln Park West #4,Chicago,1670000.0,5.0,4.0,CHI - Lincoln Park,1916.0,,363.0,https://www.redfin.com/IL/Chicago/2344-N-Lincoln-Park-W-60614/unit-4/home/12562748,41.9251346,-87.6368704,"$1,670,000",1916,$363,orange,8,2344 N Lincoln Park West #4 Chicago
244,February-21-2023,500 W Superior St #2401,Chicago,1485000.0,3.0,2.5,Montgomery,1972.0,,418.0,https://www.redfin.com/IL/Chicago/500-W-Superior-St-60654/unit-2401/home/18917671,41.895951,-87.642196,"$1,485,000",1972,$418,orange,9,500 W Superior St #2401 Chicago
1008,February-16-2023,10 E Delaware Pl Unit 31E,Chicago,1400000.0,3.0,3.5,CHI - Near North Side,2010.0,,622.0,https://www.redfin.com/IL/Chicago/10-E-Delaware-Pl-60611/unit-31E/home/113096661,41.8993009,-87.6279319,"$1,400,000",2010,$622,orange,10,10 E Delaware Pl Unit 31E Chicago
121,February-24-2023,2236 N Kenmore Ave Unit 1S,Chicago,1340000.0,4.0,3.5,CHI - Lincoln Park,2022.0,,,https://www.redfin.com/IL/Chicago/2236-N-Kenmore-Ave-60614/unit-1S/home/184201449,41.922859,-87.6550335,"$1,340,000",2022,$nan,blue,11,2236 N Kenmore Ave Unit 1S Chicago
1035,February-13-2023,2640 N Bosworth Ave Unit PHN,Chicago,1335000.0,4.0,2.5,CHI - Lincoln Park,2022.0,,,https://www.redfin.com/IL/Chicago/2640-N-Bosworth-Ave-60614/unit-PHN/home/180525412,41.9300198,-87.6673286,"$1,335,000",2022,$nan,blue,12,2640 N Bosworth Ave Unit PHN Chicago
951,February-15-2023,2350 N Orchard St Unit MZ103,Chicago,1278000.0,2.0,2.5,CHI - Lincoln Park,2020.0,,776.0,https://www.redfin.com/IL/Chicago/2350-N-Orchard-St-60614/unit-MZ103/home/182110389,41.9251023,-87.6464993,"$1,278,000",2020,$776,blue,13,2350 N Orchard St Unit MZ103 Chicago
948,February-22-2023,2650 N Racine Ave #1,Chicago,1255000.0,4.0,2.5,CHI - Lincoln Park,2023.0,,,https://www.redfin.com/IL/Chicago/2650-N-Racine-Ave-60614/unit-1/home/13363461,41.9304057,-87.6589199,"$1,255,000",2023,$nan,blue,14,2650 N Racine Ave #1 Chicago
167,February-21-2023,1310 W Webster Ave Unit 1E,Chicago,1200100.0,4.0,2.5,CHI - Lincoln Park,2012.0,,462.0,https://www.redfin.com/IL/Chicago/1310-W-Webster-Ave-60614/unit-1E/home/40269556,41.9218984,-87.6612783,"$1,200,100",2012,$462,blue,15,1310 W Webster Ave Unit 1E Chicago
799,February-23-2023,2541 N Wayne Ave Unit 1N,Chicago,1200000.0,4.0,3.5,CHI - Lincoln Park,2020.0,,,https://www.redfin.com/IL/Chicago/2541-N-Wayne-Ave-60614/unit-1N/home/182302267,41.928308,-87.6618546,"$1,200,000",2020,$nan,blue,16,2541 N Wayne Ave Unit 1N Chicago
