,SOLD DATE,ADDRESS,CITY,PRICE,BEDS,BATHS,LOCATION,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,URL,LATITUDE,LONGITUDE,PRICE_AS_CURRENCY,YEAR BUILT DISPLAY,PRICE_SQUARE_FEET_AS_CURRENCY,COLOR,RANK,FULL_ADDRESS
138,March-29-2023,2550 N Lakeview Ave Unit S801,Chicago,4400000.0,3.0,3.5,Lincoln Park 2550,2012.0,,1110.0,https://www.redfin.com/IL/Chicago/2550-N-Lakeview-Ave-60614/unit-S801/home/64225747,41.9292285,-87.6395349,"$4,400,000",2012,"$1,110",orange,1,2550 N Lakeview Ave Unit S801 Chicago
78,March-10-2023,435 N Michigan Ave #902,Chicago,4350000.0,3.0,3.5,Tribune Tower Residences,2021.0,,,https://www.redfin.com/IL/Chicago/435-N-Michigan-Ave-60611/unit-902/home/180797955,41.8903627,-87.6236499,"$4,350,000",2021,$nan,orange,2,435 N Michigan Ave #902 Chicago
1767,March-10-2023,65 E Goethe St Unit 4E,Chicago,4162500.0,3.0,2.5,CHI - Near North Side,2001.0,,1056.0,https://www.redfin.com/IL/Chicago/65-E-Goethe-St-60610/unit-4E/home/12666404,41.9056992,-87.6262349,"$4,162,500",2001,"$1,056",orange,3,65 E Goethe St Unit 4E Chicago
1428,March-16-2023,363 E Wacker Dr #6201,Chicago,3902000.0,3.0,3.0,CHI - Loop,2020.0,,1110.0,https://www.redfin.com/IL/Chicago/363-E-Wacker-Dr-60601/unit-6201/home/183353648,41.8874508,-87.6174598,"$3,902,000",2020,"$1,110",orange,4,363 E Wacker Dr #6201 Chicago
1538,March-8-2023,14 W Superior St #5304,Chicago,3775000.0,3.0,3.0,CHI - Near North Side,2022.0,,1258.0,https://www.redfin.com/IL/Chicago/14-W-Superior-St-60654/unit-5304/home/176876558,41.8961803,-87.6288184,"$3,775,000",2022,"$1,258",orange,5,14 W Superior St #5304 Chicago
112,March-24-2023,435 N Michigan Ave #502,Chicago,3726000.0,3.0,3.5,Tribune Tower Residences,2021.0,,,https://www.redfin.com/IL/Chicago/435-N-Michigan-Ave-60611/unit-502/home/184624230,41.8903627,-87.6236499,"$3,726,000",2021,$nan,orange,6,435 N Michigan Ave #502 Chicago
1308,March-7-2023,363 E Wacker Dr #5201,Chicago,3600000.0,3.0,3.0,CHI - Loop,2020.0,,1088.0,https://www.redfin.com/IL/Chicago/363-E-Wacker-Dr-60601/unit-5201/home/183599932,41.8874508,-87.6174598,"$3,600,000",2020,"$1,088",orange,7,363 E Wacker Dr #5201 Chicago
1725,March-16-2023,800 N Michigan Ave #5602,Chicago,3400000.0,3.0,3.5,Park Tower,2000.0,,860.0,https://www.redfin.com/IL/Chicago/800-N-Michigan-Ave-60611/unit-5602/home/12739030,41.8971181,-87.6255019,"$3,400,000",2000,$860,orange,8,800 N Michigan Ave #5602 Chicago
1699,March-28-2023,180 E Pearson St #7203,Chicago,2850000.0,3.0,3.5,CHI - Near North Side,1974.0,,844.0,https://www.redfin.com/IL/Chicago/180-E-Pearson-St-60611/unit-7203/home/14118015,41.8976934,-87.6223109,"$2,850,000",1974,$844,orange,9,180 E Pearson St #7203 Chicago
864,March-15-2023,11 E Walton St #3102,Chicago,2775000.0,3.0,3.5,CHI - Near North Side,2009.0,,808.0,https://www.redfin.com/IL/Chicago/11-E-Walton-St-60611/unit-3102/home/40369099,41.899701,-87.6276042,"$2,775,000",2009,$808,orange,10,11 E Walton St #3102 Chicago
