SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-16-2023,Condo/Co-op,1040 W Adams St #437,Chicago,IL,60607,325000,1,1.0,Number 10 Lofts,900,,1913,,361,526,Sold,,,https://www.redfin.com/IL/Chicago/1040-W-Adams-St-60607/unit-437/home/26817640,MRED,11705906,N,Y,41.87924,-87.653728
PAST SALE,February-3-2023,Condo/Co-op,1541 W Chestnut St #1,Chicago,IL,60642,655000,3,3.0,CHI - West Town,2600,,2004,,252,194,Sold,,,https://www.redfin.com/IL/Chicago/1541-W-Chestnut-St-60642/unit-1/home/12659323,MRED,11690949,N,Y,41.8977007,-87.6664943
PAST SALE,April-12-2023,Condo/Co-op,3505 N Janssen Ave #1,Chicago,IL,60657,370000,2,2.0,CHI - Lake View,,,1921,,,158,Sold,,,https://www.redfin.com/IL/Chicago/3505-N-Janssen-Ave-60657/unit-1/home/26808534,MRED,11724384,N,Y,41.9454391,-87.6648758
PAST SALE,February-22-2023,Condo/Co-op,1414 N Wells St #212,Chicago,IL,60610,407500,1,1.0,CHI - Near North Side,,,1995,,,538,Sold,,,https://www.redfin.com/IL/Chicago/1414-N-Wells-St-60610/unit-212/home/14115603,MRED,11719516,N,Y,41.9081697,-87.6349094
PAST SALE,April-3-2023,Condo/Co-op,1550 N Oakley Blvd Unit 2-3,Chicago,IL,60622,825000,3,3.0,CHI - West Town,2400,,1892,,344,435,Sold,,,https://www.redfin.com/IL/Chicago/1550-N-Oakley-Blvd-60622/unit-2-3/home/105514858,MRED,11726449,N,Y,41.9101249,-87.6849111
PAST SALE,March-24-2023,Condo/Co-op,5275 Diamond Dr Unit A,Oak Forest,IL,60452,208000,2,1.5,Diamonds of Oak Forest,1261,,1996,,165,260,Sold,,,https://www.redfin.com/IL/Oak-Forest/5275-Diamond-Dr-60452/unit-A/home/12802150,MRED,11711911,N,Y,41.6117284,-87.74916
PAST SALE,April-3-2023,Condo/Co-op,1720 N Hidden Creek Cir #6,Palatine,IL,60074,220000,3,2.0,Palatine,1156,,1980,,190,368,Sold,,,https://www.redfin.com/IL/Palatine/1720-N-Hidden-Creek-Cir-60074/unit-6/home/13898817,MRED,11731291,N,Y,42.1436255,-88.0127219
PAST SALE,March-3-2023,Condo/Co-op,3801 Mission Hills Rd Unit E-307,Northbrook,IL,60062,240000,2,2.0,Mission Hills,1348,,1976,,178,650,Sold,,,https://www.redfin.com/IL/Northbrook/3801-Mission-Hills-Rd-60062/unit-E-307/home/182520337,MRED,11723005,N,Y,42.1225779,-87.8733107
PAST SALE,March-29-2023,Condo/Co-op,9301 Montgomery Dr #153,Orland Park,IL,60462,205000,2,1.0,Orland Park,1200,,1987,,171,305,Sold,,,https://www.redfin.com/IL/Orland-Park/9301-Montgomery-Dr-60462/unit-153/home/13022135,MRED,11739938,N,Y,41.6202122,-87.8427645
PAST SALE,March-13-2023,Condo/Co-op,3257 N Seminary Ave Unit B,Chicago,IL,60657,589000,3,2.5,CHI - Lake View,,,1988,,,135,Sold,,,https://www.redfin.com/IL/Chicago/3257-N-Seminary-Ave-60657/unit-B/home/13379762,MRED,11707781,N,Y,41.9414995,-87.656225
PAST SALE,March-17-2023,Condo/Co-op,601 E 32nd St #1111,Chicago,IL,60616,192000,2,2.0,Lake Meadows,1500,,1961,,128,1437,Sold,,,https://www.redfin.com/IL/Chicago/601-E-32nd-St-60616/unit-1111/home/12786424,MRED,11724266,N,Y,41.835716,-87.6116155
PAST SALE,March-31-2023,Condo/Co-op,2128 N Hudson Ave #402,Chicago,IL,60614,385000,2,2.0,CHI - Lincoln Park,,,1932,,,360,Sold,,,https://www.redfin.com/IL/Chicago/2128-N-Hudson-Ave-60614/unit-402/home/12636363,MRED,11737013,N,Y,41.9210306,-87.6403554
PAST SALE,January-17-2023,Condo/Co-op,515 Main St #308,Evanston,IL,60202,319999,2,2.0,Evanston,1200,,2001,,267,430,Sold,,,https://www.redfin.com/IL/Evanston/515-Main-St-60202/unit-308/home/12720979,MRED,11686860,N,Y,42.0340535,-87.6789278
PAST SALE,April-10-2023,Condo/Co-op,200 S Dee Rd Unit 2J,Park Ridge,IL,60068,216000,2,2.0,Chelsey Square,1450,,1975,,149,330,Sold,,,https://www.redfin.com/IL/Park-Ridge/200-S-Dee-Rd-60068/unit-2J/home/13641239,MRED,11737084,N,Y,42.007881,-87.8558195
PAST SALE,March-27-2023,Condo/Co-op,20 N Carpenter St Unit 3N,Chicago,IL,60607,912511,3,3.0,CHI - Near West Side,,,2011,,,536,Sold,,,https://www.redfin.com/IL/Chicago/20-N-Carpenter-St-60607/unit-3N/home/64225146,MRED,11724738,N,Y,41.8823616,-87.6534295
PAST SALE,April-13-2023,Condo/Co-op,1205 E Hintz Rd #304,Arlington Heights,IL,60004,140000,1,1.0,Arlington Heights,800,,1970,,175,353,Sold,,,https://www.redfin.com/IL/Arlington-Heights/1205-E-Hintz-Rd-60004/unit-304/home/13849409,MRED,11722752,N,Y,42.124015,-87.9674777
PAST SALE,April-5-2023,Condo/Co-op,1928 N Kedzie Ave #102,Chicago,IL,60647,340000,2,2.0,CHI - Logan Square,1200,,2004,,283,350,Sold,,,https://www.redfin.com/IL/Chicago/1928-N-Kedzie-Ave-60647/unit-102/home/12653111,MRED,11716630,N,Y,41.9164726,-87.7073212
