SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-2-2023,Single Family Residential,2616 Chapel Hill Dr,Elgin,IL,60120,520000,4,2.5,Chapel Creek,2970,40031,1989,,175,20,Sold,,,https://www.redfin.com/IL/Elgin/2616-Chapel-Hill-Dr-60120/home/13766997,MRED,11677801,N,Y,42.0341708,-88.2296679
PAST SALE,March-24-2023,Single Family Residential,7451 161st St,Tinley Park,IL,60477,300000,3,2.5,Brementowne,1696,8102,1972,,177,,Sold,,,https://www.redfin.com/IL/Tinley-Park/7451-161st-St-60477/home/13008911,MRED,11679766,N,Y,41.5981744,-87.8015399
PAST SALE,March-27-2023,Single Family Residential,4341 N Oakley Ave,Chicago,IL,60618,1475000,4,3.5,CHI - North Center,3900,3101,2005,,378,,Sold,,,https://www.redfin.com/IL/Chicago/4341-N-Oakley-Ave-60618/home/13391610,MRED,11721353,N,Y,41.9607309,-87.6859448
PAST SALE,March-23-2023,Single Family Residential,1627 Baldwin Rd,Inverness,IL,60067,650000,5,4.0,Inverness,3279,78233,1943,,198,,Sold,,,https://www.redfin.com/IL/Inverness/1627-Baldwin-Rd-60067/home/13885904,MRED,11706527,N,Y,42.121699,-88.084425
PAST SALE,February-15-2023,Single Family Residential,2343 W Dickens Ave,Chicago,IL,60647,1240000,4,3.5,CHI - Logan Square,,2382,2019,,,,Sold,,,https://www.redfin.com/IL/Chicago/2343-W-Dickens-Ave-60647/home/22693932,MRED,11690504,N,Y,41.9189388,-87.686785
PAST SALE,March-15-2023,Single Family Residential,5201 W Belle Plaine Ave,Chicago,IL,60641,610000,5,3.0,CHI - Portage Park,3200,4403,1912,,191,,Sold,,,https://www.redfin.com/IL/Chicago/5201-W-Belle-Plaine-Ave-60641/home/13479406,MRED,11694307,N,Y,41.9549048,-87.7574011
PAST SALE,March-31-2023,Single Family Residential,1172 N Beverly Ln,Arlington Heights,IL,60004,1084000,4,3.5,Arlington Greens,3451,7187,2008,,314,,Sold,,,https://www.redfin.com/IL/Arlington-Heights/1172-N-Beverly-Ln-60004/home/13845007,MRED,11722775,N,Y,42.098488,-87.97193
PAST SALE,February-15-2023,Single Family Residential,9126 Belleforte Ave,Morton Grove,IL,60053,251000,3,2.0,Morton Grove,1371,5601,1941,,183,,Sold,,,https://www.redfin.com/IL/Morton-Grove/9126-Belleforte-Ave-60053/home/13618118,MRED,11707016,N,Y,42.0471703,-87.8037469
PAST SALE,February-28-2023,Single Family Residential,124 Linden Ave,Glencoe,IL,60022,1300000,5,4.5,Glencoe,3600,10001,1920,,361,,Sold,,,https://www.redfin.com/IL/Glencoe/124-Linden-Ave-60022/home/13790013,MRED,11710795,N,Y,42.1206949,-87.7479224
PAST SALE,January-31-2023,Single Family Residential,627 N Beverly Ln,Arlington Heights,IL,60004,372500,3,2.0,Arlington Heights,1166,12850,1955,,319,,Sold,,,https://www.redfin.com/IL/Arlington-Heights/627-N-Beverly-Ln-60004/home/13831989,MRED,11683352,N,Y,42.0892083,-87.9722792
