Zip Code,No. of Vacant Parcels,Vacant Land Area (Sq.Ft.),Estimated Units  
75202,34,"1,829,250","34,473"
75241,358,"90,964,693","20,829"
75201,16,"872,420","16,441"
75217,473,"77,826,056","10,650"
75216,251,"19,948,237","5,829"
75253,330,"64,147,436","5,479"
75207,17,"2,578,329","5,026"
75236,123,"27,102,174","4,757"
75211,124,"20,675,658","4,238"
75232,73,"11,322,046","3,729"
75237,88,"12,910,814","3,404"
75227,146,"22,439,398","3,075"
75208,37,"5,301,818","3,036"
75243,72,"8,403,116","2,321"
75203,29,"4,415,603","2,010"
75220,62,"6,135,500","1,880"
75224,59,"6,488,645","1,798"
75228,61,"6,189,135","1,749"
75254,19,"3,866,788","1,741"
75235,43,"4,324,023","1,732"
75231,39,"10,694,607","1,646"
75212,72,"8,208,795","1,589"
75215,15,"7,602,483","1,518"
75248,73,"11,412,276","1,182"
75206,15,"1,711,991","1,072"
75233,40,"4,808,475",961
75223,22,"4,928,740",901
75204,13,"1,061,170",863
75234,34,"7,535,549",729
75218,35,"4,135,138",500
75230,48,"4,569,941",485
75247,20,"1,252,973",472
75214,34,"3,696,428",454
75240,23,"3,321,210",445
75229,109,"7,238,844",385
75225,30,"3,962,575",372
75210,7,"1,476,340",306
75238,26,"1,968,080",286
75251,5,"508,528",174
75249,6,"1,255,530",152
75209,24,"1,573,370",145
75205,27,"2,492,390",136
75244,9,"550,738",100
75226,2,"109,005",91
75246,5,"216,075",76
75219,3,"210,491",52
75252,1,"60,348",11
