SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,December-19-2022,Condo/Co-op,260 NW 107th Ave #209,Miami,FL,33172,235000,2,2.0,LAGUNA CLUB EAST CONDO,1114,,1973,,211,205,Sold,,,https://www.redfin.com/FL/Miami/260-NW-107th-Ave-33172/unit-209/home/43056799,MARMLS,A11274296,N,Y,25.77145,-80.3700922
PAST SALE,February-24-2023,Condo/Co-op,1627 Brickell Ave #2802,Miami,FL,33129,690000,2,2.5,IMPERIAL AT BRICKELL COND,1316,,1983,,524,1088,Sold,,,https://www.redfin.com/FL/Miami/1627-Brickell-Ave-33129/unit-2802/home/42764591,MARMLS,A11295806,N,Y,25.7559866,-80.1940884
PAST SALE,December-23-2022,Condo/Co-op,7666 SW 152nd Ave Unit 5-22,Miami,FL,33193,240000,2,2.0,ROZLAND CONDO,750,,1981,,320,173,Sold,,,https://www.redfin.com/FL/Miami/7666-SW-152nd-Ave-33193/unit-5-22/home/43140582,MARMLS,A11294406,N,Y,25.6965429,-80.439798
PAST SALE,February-15-2023,Condo/Co-op,7600 Collins Ave #1205,Miami Beach,FL,33141,450000,1,1.5,OCEANBLUE CONDO OF MIAMI,857,,2004,,525,695,Sold,,,https://www.redfin.com/FL/Miami-Beach/7600-Collins-Ave-33141/unit-1205/home/43310698,MARMLS,A11286310,N,Y,25.8617302,-80.1214511
PAST SALE,December-16-2022,Condo/Co-op,253 NE 2nd St #3107,Miami,FL,33132,455000,1,1.0,VIZCAYNE SOUTH CONDO,632,,2008,,720,567,Sold,,,https://www.redfin.com/FL/Miami/253-NE-2nd-St-33132/unit-3107/home/43413923,MARMLS,A11322918,N,Y,25.7766738,-80.1885525
PAST SALE,December-9-2022,Condo/Co-op,6990 NW 186th St Unit 4-315,Hialeah,FL,33015,232000,2,1.0,CORAL GATE WEST CONDO,1035,,1973,,224,275,Sold,,,https://www.redfin.com/FL/Hialeah/6990-NW-186th-St-33015/unit-4-315/home/43339746,MARMLS,A11301206,N,Y,25.9403749,-80.3179604
PAST SALE,,Condo/Co-op,720 Collins Ave #802,Miami Beach,FL,33139,415000,1,1.0,,732,,1972,,567,,,,,https://www.redfin.com/FL/Miami-Beach/720-Collins-Ave-33139/unit-802/home/42802414,,,N,Y,25.7774374,-80.1326959
PAST SALE,January-12-2023,Condo/Co-op,7215 NW 179th St #105,Hialeah,FL,33015,209000,1,1.0,VILLA BELLINI CONDO,678,,1988,,308,408,Sold,,,https://www.redfin.com/FL/Hialeah/7215-NW-179th-St-33015/unit-105/home/43325392,MARMLS,A11318436,N,Y,25.9374724,-80.3188507
PAST SALE,,Condo/Co-op,350 S Miami Ave #2603,Miami,FL,33130,550000,2,2.0,,1075,,2008,,512,,,,,https://www.redfin.com/FL/Miami/350-S-Miami-Ave-33130/unit-2603/home/43412663,,,N,Y,25.7704554,-80.1942628
PAST SALE,,Condo/Co-op,2669 S Bayshore Dr Unit 302N,Miami,FL,33133,2300000,3,3.0,,2025,,2016,,1136,,,,,https://www.redfin.com/FL/Miami/2669-S-Bayshore-Dr-33133/unit-302N/home/118776796,,,N,Y,25.7306572,-80.2370979
PAST SALE,,Condo/Co-op,20681 NE 4th Pl #202,Miami,FL,33179,182000,2,2.0,,917,,1989,,198,,,,,https://www.redfin.com/FL/Miami/20681-NE-4th-Pl-33179/unit-202/home/42957612,,,N,Y,25.965833,-80.192062
PAST SALE,,Condo/Co-op,6301 Collins Ave #2406,Miami Beach,FL,33141,950000,2,2.0,,1220,,1995,,779,,,,,https://www.redfin.com/FL/Miami-Beach/6301-Collins-Ave-33141/unit-2406/home/42770356,,,N,Y,25.8445198,-80.1197839
PAST SALE,December-29-2022,Condo/Co-op,6039 Collins Ave #1707,Miami Beach,FL,33140,459000,2,2.0,MAISON GRANDE CONDO,1271,,1971,,361,983,Sold,,,https://www.redfin.com/FL/Miami-Beach/6039-Collins-Ave-33140/unit-1707/home/42778500,MARMLS,A11301329,N,Y,25.8431837,-80.1203074
PAST SALE,,Condo/Co-op,2425 SW 27th Ave #1102,Miami,FL,33145,500000,2,2.0,,1241,,2007,,403,,,,,https://www.redfin.com/FL/Miami/2425-SW-27th-Ave-33145/unit-1102/home/43316364,,,N,Y,25.7467566,-80.2378119
PAST SALE,,Condo/Co-op,710 Washington Ave #201,Miami Beach,FL,33139,204000,,1.0,,460,,1976,,443,,,,,https://www.redfin.com/FL/Miami-Beach/710-Washington-Ave-33139/unit-201/home/42802679,,,N,Y,25.777647,-80.1336853
PAST SALE,,Condo/Co-op,555 NE 30th St #301,Miami,FL,33137,800000,2,2.0,,1263,,1980,,633,,,,,https://www.redfin.com/FL/Miami/555-NE-30th-St-33137/unit-301/home/42721022,,,N,Y,25.8056735,-80.1857149
PAST SALE,,Condo/Co-op,3301 NE 1st Ave Unit H2111,Miami,FL,33137,475000,1,1.0,,761,,2008,,624,,,,,https://www.redfin.com/FL/Miami/3301-NE-1st-Ave-33137/unit-H2111/home/43442834,,,N,Y,25.8077885,-80.1923013
PAST SALE,January-13-2023,Condo/Co-op,7904 West Dr #416,North Bay Village,FL,33141,258000,1,1.0,BAYSHORE YACHT & TENNIS C,639,,1963,,404,633,Sold,,,https://www.redfin.com/FL/North-Bay-Village/7904-West-Dr-33141/unit-416/home/43425990,MARMLS,A11295408,N,Y,25.8490962,-80.1597453
PAST SALE,December-20-2022,Condo/Co-op,7934 West Dr #1105,North Bay Village,FL,33141,1000000,2,2.0,SPACE 01 CONDO,1804,,2006,,554,1170,Sold,,,https://www.redfin.com/FL/North-Bay-Village/7934-West-Dr-33141/unit-1105/home/43365603,MARMLS,A11316479,N,Y,25.8526388,-80.1603842
PAST SALE,,Condo/Co-op,13685 NE 10th Ave #202,North Miami,FL,33161,114000,1,1.0,,810,,1974,,141,,,,,https://www.redfin.com/FL/North-Miami/13685-NE-10th-Ave-33161/unit-202/home/42865761,,,N,Y,25.9012915,-80.1784828
PAST SALE,,Condo/Co-op,488 NE 18th St #3509,Miami,FL,33132,650000,2,3.0,,1257,,2018,,517,,,,,https://www.redfin.com/FL/Miami/488-NE-18th-St-33132/unit-3509/home/110133411,,,N,Y,25.7935082,-80.1866881
PAST SALE,December-22-2022,Condo/Co-op,9010 SW 125th Ave Unit G305,Miami,FL,33186,240000,1,2.0,KENLAND BEND SOUTH CONDO,980,,1981,,245,283,Sold,,,https://www.redfin.com/FL/Miami/9010-SW-125th-Ave-33186/unit-G305/home/43180778,MARMLS,A11303580,N,Y,25.6823513,-80.398708
PAST SALE,,Condo/Co-op,2810 NE 201st Ter Unit G321,Aventura,FL,33180,165000,2,2.0,,1098,,1968,,150,,,,,https://www.redfin.com/FL/Aventura/2810-NE-201st-Ter-33180/unit-G321/home/42930914,,,N,Y,25.9618989,-80.1447337
PAST SALE,,Condo/Co-op,151 Crandon Blvd #134,Key Biscayne,FL,33149,1400000,2,2.0,,1584,,1980,,884,,,,,https://www.redfin.com/FL/Key-Biscayne/151-Crandon-Blvd-33149/unit-134/home/42923820,,,N,Y,25.6964727,-80.1615009
PAST SALE,January-20-2023,Condo/Co-op,2740 SW 28th Ter #401,Miami,FL,33133,375000,1,1.0,VILLAGGIO IN THE GROVE TO,613,,2006,,612,340,Sold,,,https://www.redfin.com/FL/Miami/2740-SW-28th-Ter-33133/unit-401/home/43364303,MARMLS,A11329728,N,Y,25.7384222,-80.2387993
PAST SALE,,Condo/Co-op,2627 S Bayshore Dr #1108,Miami,FL,33133,1500000,2,2.0,,1595,,2005,,940,,,,,https://www.redfin.com/FL/Miami/2627-S-Bayshore-Dr-33133/unit-1108/home/43323294,,,N,Y,25.7322116,-80.2349385
PAST SALE,,Condo/Co-op,9273 Collins Ave #409,Surfside,FL,33154,400000,2,2.0,,1024,,1974,,391,,,,,https://www.redfin.com/FL/Surfside/9273-Collins-Ave-33154/unit-409/home/42907263,,,N,Y,25.8810771,-80.1217217
PAST SALE,January-17-2023,Condo/Co-op,7601 E Treasure Dr Ph 206,North Bay Village,FL,33141,487500,2,2.0,THE GRANDVIEW PALACE COND,1030,,1987,,473,646,Sold,,,https://www.redfin.com/FL/North-Bay-Village/7601-E-Treasure-Dr-33141/unit-206/home/43440167,MARMLS,A11315830,N,Y,25.8476718,-80.1458676
PAST SALE,December-22-2022,Condo/Co-op,125 Ocean Dr Ph 3,Miami Beach,FL,33139,9200000,4,4.5,Ocean House,2303,,2009,,3995,4455,Sold,,,https://www.redfin.com/FL/Miami-Beach/125-Ocean-Dr-33139/unit-3/home/183535637,MARMLS,A11318693,N,Y,25.7700519,-80.132576
