SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,January-26-2023,Condo/Co-op,410 Evernia St #628,West Palm Beach,FL,33401,500000,2,2.0,Whitney Condo,1160,43560,2007,,431,683,Sold,,,https://www.redfin.com/FL/West-Palm-Beach/410-Evernia-St-33401/unit-628/home/42657905,Beaches MLS,RX-10855343,N,Y,26.7110036,-80.0542782
PAST SALE,December-27-2022,Condo/Co-op,21695 Tall Palm Cir Unit 4c,Boca Raton,FL,33433,272000,2,2.0,Palms OF Boca Lago,1919,43560,1980,,142,644,Sold,,,https://www.redfin.com/FL/Boca-Raton/21695-Tall-Palm-Cir-33433/unit-4c/home/179399344,Beaches MLS,RX-10848239,N,Y,26.3531941,-80.1814564
PAST SALE,,Condo/Co-op,1401 S Ocean Blvd #4020,Boca Raton,FL,33432,524900,2,2.5,,1864,,1982,,282,,,,,https://www.redfin.com/FL/Boca-Raton/1401-S-Ocean-Blvd-33432/unit-4020/home/42330764,,,N,Y,26.3307453,-80.0753624
PAST SALE,January-25-2023,Condo/Co-op,5700 NW 24th Ave #601,Boca Raton,FL,33496,550000,3,2.0,Nassau Bay Condo,2040,,1988,,270,600,Sold,,,https://www.redfin.com/FL/Boca-Raton/5700-NW-24th-Ave-33496/unit-601/home/42306437,Beaches MLS,RX-10845789,N,Y,26.399963,-80.13484
PAST SALE,,Condo/Co-op,2427 Presidential Way #702,West Palm Beach,FL,33401,826000,3,2.5,,2559,,1982,,323,,,,,https://www.redfin.com/FL/West-Palm-Beach/2427-Presidential-Way-33401/unit-702/home/42526898,,,N,Y,26.7334575,-80.0846156
PAST SALE,,Condo/Co-op,795 High Point Dr W Unit B,Delray Beach,FL,33445,70000,1,1.5,,970,,1973,,72,,,,,https://www.redfin.com/FL/Delray-Beach/795-High-Point-Dr-W-33445/unit-B/home/42366459,,,N,Y,26.466527,-80.102921
PAST SALE,,Condo/Co-op,817 Club Dr Unit D,Delray Beach,FL,33445,135000,2,2.0,,1070,,1973,,126,,,,,https://www.redfin.com/FL/Delray-Beach/817-Club-Dr-33445/unit-D/home/42641997,,,N,Y,26.466527,-80.102921
PAST SALE,,Condo/Co-op,5201 NW 2nd Ave #4090,Boca Raton,FL,33487,245000,2,2.0,,1300,,1974,,188,,,,,https://www.redfin.com/FL/Boca-Raton/5201-NW-2nd-Ave-33487/unit-4090/home/42313692,,,N,Y,26.3967121,-80.0845933
PAST SALE,,Condo/Co-op,1171 N Ocean Blvd Unit 1AS,Gulf Stream,FL,33483,2850000,2,3.5,,3076,,1982,,927,,,,,https://www.redfin.com/FL/Gulf-Stream/1171-N-Ocean-Blvd-33483/unit-1AS/home/42391230,,,N,Y,26.4773944,-80.0558988
PAST SALE,December-16-2022,Condo/Co-op,216 Canterbury J,West Palm Beach,FL,33417,82000,1,1.5,Century Village,646,43560,1973,,127,400,Sold,,,https://www.redfin.com/FL/West-Palm-Beach/216-Canterbury-J-33417/home/42140268,Beaches MLS,RX-10852497,N,Y,26.720227,-80.132277
