,ID,ADDRESS,STNDADDR,UNIT,PROCNUM,FOLIO,GEOFOLIO,ISCONDO,TYPE,CAT1,DESC1,CAT2,DESC2,CAT3,DESC3,CAT4,DESC4,CAT5,DESC5,CAT6,DESC6,CAT7,DESC7,CAT8,DESC8,CAT9,DESC9,CAT10,DESC10,ISSUDATE,LSTINSDT,RENDATE,CCDATE,BLDCMPDT,RESCOMM,BPSTATUS,PROPUSE,APPTYPE,CLUC,FFRMLINE,LGLDESC1,LGLDESC2,ESTVALUE,PTSOURCE,MPRMTNUM,LSTAPPRDT,CONTRNUM,CONTRNAME,GlobalID,geometry,index_right,Name,Description
118,2021061456.0,700 NW 1 AVE                 ,700 NW 1ST AVE,    ,C2021131480,0141370720120,0141370720120,N,ELEC,0032,DATA COMMUNICATION CABLES                                   ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2021-06-28 00:00:00+00:00,20210722,00000000,00000000,00000000,C,F,1421,22,0013,INT BUILD OUT/9TH  ,FLAGLER GRAN CENTRAL STATION     ,PB 170-041   T 23364             ,00000000000,P,2021043235.0,20210722,04E000978       ,SKYLIGHT TECHNOLOGIES INC.                                  ,{54037A72-8BBF-4EBB-9539-601FE42668D4},POINT (-80.19591344899999 25.780609127000048),0,Greater Downtown Miami,
1300,2020025710.0,550 NW 1 AVE                 ,550 NW 1ST AVE,240C,C2020049865,0141370720100,0141370720100,N,ELEC,0004,FIRE ALARM SPECLT                                           ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2020-01-28 00:00:00+00:00,20210514,00000000,00000000,00000000,C,F,1822,22,0081,BUILT OUT KUENKO   ,FLAGLER GRAN CENTRAL STATION     ,PB  170-041     T  23364         ,00000000000,P,2019076919.0,20210514,EC13005913      ,ROAD RUNNER ELECTRIC INC                                    ,{41B18D16-F16F-4B90-899D-8DA317E1DCEA},POINT (-80.19568075599994 25.779395916000055),0,Greater Downtown Miami,
2493,2019075284.0,550 NW 1 AVE                 ,550 NW 1ST AVE,200 ,C2019215926,0141370720100,0141370720100,N,MECH,0003,A/C - UNLTD                                                 ,0010,HEATING                                                     ,0011,INSULATION                                                  ,0023,SHEET METAL                                                 ,0041,MECHANICAL VENTILATION                                      ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2019-08-21 00:00:00+00:00,20200213,00000000,00000000,00000000,C,E,1822,22,0047,AIR CONDITIONING   ,FLAGLER GRAN CENTRAL STATION     ,PB  170-041     T  23364         ,00000000000,P,2019068877.0,20200213,CAC1818211      ,ALL IN ONE TEAM LLC DBA:ALL IN ONE                          ,{0B12F902-4A61-4D80-BEFA-1157F4971907},POINT (-80.19568075599994 25.779395916000055),0,Greater Downtown Miami,
3810,2020065579.0,700 NW 1 AVE                 ,700 NW 1ST AVE,    ,C2020111618,0141370720120,0141370720120,N,BLDG,0001,GENERAL (COUNTY)                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2020-08-13 00:00:00+00:00,20210217,00000000,20210225,20210225,C,F,1421,22,0013,STRUC SUPPORT ONLY ,FLAGLER GRAN CENTRAL STATION     ,PB 170-041   T 23364             ,00000050000,P,0.0,20210217,CGC1525128      ,ORIGIN CONSTRUCTION LLC                                     ,{0AA75602-1B1F-4804-A2F7-21365A248363},POINT (-80.19591344899999 25.780609127000048),0,Greater Downtown Miami,
4126,2021016166.0,700 NW 1 AVE                 ,700 NW 1ST AVE,1600,C2021032589,0141370720120,0141370720120,N,MECH,0003,A/C - UNLTD                                                 ,0010,HEATING                                                     ,0011,INSULATION                                                  ,0023,SHEET METAL                                                 ,0041,MECHANICAL VENTILATION                                      ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2020-12-14 00:00:00+00:00,20210119,00000000,00000000,00000000,C,F,1421,22,0081,PERMIT BY AFFIDAVIT,FLAGLER GRAN CENTRAL STATION     ,PB 170-041                       ,00000000000,P,2017057048.0,20210119,CAC1816938      ,RCI AIR CONDITIONING COMPANY                                ,{25FA4A92-3109-48AA-B6F1-F03588D4DE4F},POINT (-80.19591344899999 25.780609127000048),0,Greater Downtown Miami,
4277,2023018234.0,111 NW 1 ST                  ,111 NW 1ST ST,    ,C2023040372,0141370230020,0141370230020,N,ELEC,0032,DATA COMMUNICATION CABLES                                   ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2022-12-28 00:00:00+00:00,20221230,00000000,00000000,00000000,C,F,1822,03,0047,INTER RENOV/25TH FL,DOWNTOWN GOVERNMENT CENTER       ,PB 117-83                        ,00000000000,P,2022055085.0,20221230,08E000144       ,MIAMI DADE COUNTY GENERAL SERVICES ADMINISTRATION           ,{9C1D05AB-3F25-4C6D-9586-082EE6D6B6D3},POINT (-80.19667055499997 25.775604522000037),0,Greater Downtown Miami,
4293,1995014679.0,2336 NE 2 CT                 ,2336 NE 2ND CT,    ,S1995021397,,0132300261000,,PLUM,0001,PLUMBING                                                    ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,1994-11-08 00:00:00+00:00,00000000,00000000,00000000,00000000,C,E,0420,08,0003,SEWER CAP          ,EDGEWATER             PB 2-31    ,LOT 5                 BLK 13     ,00000000100,S,0.0,00000000,CFC027514       ,MY PLUMBER OF SOUTH FLORIDA INC                             ,{1F141F06-F981-45FE-BBF0-345CC880BA1B},POINT (-80.19008862599998 25.799522108000076),0,Greater Downtown Miami,
5771,2020038746.0,111 NW 1 ST                  ,111 NW 1ST ST,    ,C2020083103,0141370230020,0141370230020,N,ELEC,0004,FIRE ALARM SPECLT                                           ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2020-03-23 00:00:00+00:00,20201222,00000000,00000000,00000000,C,F,1822,04,0047,SECURE ACC/ PARKING,DOWNTOWN GOVERNMENT CENTER       ,PB 117-83                        ,00000000000,P,2020016265.0,20201222,EF20001045      ,METRO DADE SECURITY SYSTEM INC                              ,{1106B6B5-CC35-4A67-8822-F7215BB5DCAE},POINT (-80.19667055499997 25.775604522000037),0,Greater Downtown Miami,
6101,2022048403.0,101 NW 1 ST                  ,88 SE 4TH ST,    ,C2022107436,0101000000292,0101000000292,N,ELEC,0007,SOUND & INTERCOM                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2022-05-04 00:00:00+00:00,20220511,00000000,00000000,00000000,C,F,1822,04,0017,ELEC SIGN          ,DOWNTOWN COMPONENT OF METRORAIL  ,PEOPLE MOVER RIGHT OF WAY &      ,00000000000,P,2018073947.0,20220511,EC13010676      ,HORTON/JONES ELECTRICAL CONTRACTORS INC                     ,{433ACCEC-8B8A-4C1C-BADC-A67D3FC1E9C7},POINT (-80.19261232299993 25.77097851700006),0,Greater Downtown Miami,
6389,2020049837.0,701 NW 1 CT                  ,601 NW 1ST CT,    ,C2020108602,0131370340010,0131370340010,N,MECH,0023,SHEET METAL                                                 ,0048,SMOKE CONTROL                                               ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2020-06-05 00:00:00+00:00,20200817,00000000,00000000,00000000,C,F,1822,03,0047,INT ALT (8TH FLR)  ,OVERTOWN STATION                 ,PB 160-93   T13914               ,00000000000,P,2020028660.0,20200817,CAC1818510      ,BLIZZARD AIR CONDITIONING LLC                               ,{2C2F08EE-03E2-4058-A570-D482067AB976},POINT (-80.19656938699995 25.780247517000078),0,Greater Downtown Miami,
6657,2020030798.0,400 NW 1 AVE                 ,450 NW 1ST AVE,    ,C2020069005,0141370720080,0141370720080,N,ELEC,0028,LIGHTING POLE (STANDARD)                                    ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,0000,                                                            ,2020-02-18 00:00:00+00:00,20200925,00000000,00000000,00000000,C,F,1822,22,0081,OB3 FOU-SHELL 500FT,FLAGLER GRAN CENTRAL STATION     ,PB 170-041                       ,00000000000,P,2016004790.0,20200925,EC0000841       ,POWER DESIGN INC                                            ,{23F16F1C-3953-4E82-99B3-9478F2B2C675},POINT (-80.19570721699995 25.778338390000044),0,Greater Downtown Miami,
