2022 rank,Municipality,Designation[8],Primary county,Secondary county(ies),Population,,,
,,,,,2022 estimate[8],2020 census[1],2010 census[9],2010-2020 change
1,Houston,City,Harris,"Fort Bend, Montgomery","2,302,878","2,304,580","2,099,451",+9.77%
2,San Antonio,City,Bexar,"Medina, Comal","1,472,909","1,434,625","1,327,407",+8.08%
3,Dallas,City,Dallas,"Rockwall, Kaufman, Denton, Collin","1,299,544","1,304,379","1,197,816",+8.90%
4,Austin,City,Travis,"Williamson, Hays","974,447","961,855","790,390",+21.69%
5,Fort Worth,City,Tarrant,"Denton, Parker, Wise","956,709","918,915","741,206",+23.98%
6,El Paso,City,El Paso,,"677,456","678,815","649,121",+4.57%
7,Arlington,City,Tarrant,,"394,602","392,786","365,438",+7.48%
8,Corpus Christi,City,Nueces,"San Patricio, Aransas, Kleberg","316,239","317,863","305,215",+4.14%
9,Plano,City,Collin,Denton,"289,547","285,494","259,841",+9.87%
10,Lubbock,City,Lubbock,,"263,930","257,141","229,573",+12.01%
11,Laredo,City,Webb,,"256,187","255,205","236,091",+8.10%
12,Irving,City,Dallas,,"254,715","256,684","216,290",+18.68%
13,Garland,City,Dallas,Collin,"240,854","246,018","226,876",+8.44%
14,Frisco,City,Collin,Denton,"219,587","200,509","116,989",+71.39%
15,McKinney,City,Collin,,"207,507","195,308","131,117",+48.96%
16,Grand Prairie,City,Dallas,"Ellis, Tarrant","201,843","196,100","175,396",+11.80%
17,Amarillo,City,Potter,Randall,"201,291","200,393","190,695",+5.09%
18,Brownsville,City,Cameron,,"189,382","186,738","175,023",+6.69%
19,Killeen,City,Bell,,"159,172","153,095","127,921",+19.68%
20,Denton,City,Denton,,"150,353","139,869","113,383",+23.36%
21,Mesquite,City,Dallas,Kaufman,"147,899","150,108","139,824",+7.35%
22,Pasadena,City,Harris,,"147,662","151,950","149,043",+1.95%
23,McAllen,City,Hidalgo,,"144,579","142,210","129,877",+9.50%
24,Waco,City,McLennan,,"143,984","138,486","124,805",+10.96%
25,Midland,City,Midland,Martin,"134,444","132,524","111,147",+19.23%
26,Carrollton,City,Dallas,"Denton, Collin","133,820","133,434","119,097",+12.04%
27,Lewisville,City,Denton,,"131,215","111,822","95,290",+17.35%
28,Abilene,City,Taylor,Jones,"127,385","125,182","117,063",+6.94%
29,Pearland,City,Brazoria,"Fort Bend, Harris","126,949","125,828","91,252",+37.89%
30,Round Rock,City,Williamson,,"126,697","119,468","99,887",+19.60%
31,College Station,City,Brazos,,"124,319","120,511","93,857",+28.40%
32,Richardson,City,Dallas,Collin,"118,802","119,469","99,223",+20.40%
33,League City,City,Galveston,Harris,"115,418","114,392","83,560",+36.90%
34,Odessa,City,Ector,Midland,"112,906","114,428","99,940",+14.50%
35,Beaumont,City,Jefferson,,"112,089","115,282","118,296",-2.55%
36,Allen,City,Collin,,"111,551","104,627","84,246",+24.19%
37,Sugar Land,City,Fort Bend,,"109,414","111,026","78,817",+40.87%
38,Tyler,City,Smith,,"109,286","105,995","96,900",+9.39%
39,New Braunfels,City,Comal,Guadalupe,"104,707","90,403","57,740",+56.57%
40,Edinburg,City,Hidalgo,,"104,294","100,243","77,100",+30.02%
41,Wichita Falls,City,Wichita,,"102,664","102,316","104,553",-2.14%
42,Conroe,City,Montgomery,,"101,405","89,956","56,207",+60.04%
43,San Angelo,City,Tom Green,,"99,112","99,893","93,200",+7.18%
44,Temple,City,Bell,,"89,458","82,073","66,102",+24.16%
45,Bryan,City,Brazos,,"87,792","83,980","76,201",+10.21%
46,Mission,City,Hidalgo,,"86,635","85,778","77,058",+11.32%
47,Georgetown,City,Williamson,,"86,507","67,176","47,400",+41.72%
48,Baytown,City,Harris,Chambers,"84,324","83,701","71,802",+16.57%
49,Longview,City,Gregg,Harrison,"82,531","81,638","80,455",+1.47%
50,Pharr,City,Hidalgo,,"80,179","79,715","70,400",+13.23%
51,Flower Mound,Town,Denton,Tarrant,"78,486","75,956","64,669",+17.45%
