SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,February-9-2023,Condo/Co-op,19316 NE 26th Ave Unit 184C,Miami,FL,33180,385000,2,2.0,Riverwood Sec 3,1579,,1973,,244,714,Sold,,,https://www.redfin.com/FL/Miami/19316-Ne-26th-Ave-33180/unit-184C/home/43007516,Beaches MLS,F10356567,N,Y,25.954511,-80.151217
PAST SALE,February-9-2023,Condo/Co-op,1000 Quayside Ter #912,Miami,FL,33138,382000,2,2.0,TOWERS OF QUAYSIDE CONDO,1538,,1981,,248,1851,Sold,,,https://www.redfin.com/FL/Miami/1000-Quayside-Ter-33138/unit-912/home/43018175,MARMLS,A11231127,N,Y,25.8737145,-80.1683801
PAST SALE,February-9-2023,Condo/Co-op,465 Brickell Ave #3104,Miami,FL,33131,460000,1,1.0,ICONBRICKELL CONDO NO 1,597,,2008,,771,756,Sold,,,https://www.redfin.com/FL/Miami/465-Brickell-Ave-33131/unit-3104/home/43449538,MARMLS,A11311107,N,Y,25.7688518,-80.1885381
PAST SALE,February-8-2023,Condo/Co-op,10790 N Kendall Dr Unit C16,Miami,FL,33176,200000,1,1.0,SPANISH TRACE CONDO,630,,1968,,317,238,Sold,,,https://www.redfin.com/FL/Miami/10790-N-Kendall-Dr-33176/unit-C16/home/43145131,MARMLS,A11308504,N,Y,25.6852539,-80.3675678
PAST SALE,February-8-2023,Condo/Co-op,888 S Douglas Rd #1101,Coral Gables,FL,33134,545000,2,2.0,PUERTA DE PALMAS CONDO,1072,,2007,,508,1032,Sold,,,https://www.redfin.com/FL/Coral-Gables/888-S-Douglas-Rd-33134/unit-1101/home/43378704,MARMLS,A11302343,N,Y,25.7632573,-80.2557039
PAST SALE,February-8-2023,Condo/Co-op,155 Ocean Lane Dr #415,Key Biscayne,FL,33149,960000,2,2.0,COMMODORE CLUB WEST CONDO,1350,,1973,,711,1271,Sold,,,https://www.redfin.com/FL/Key-Biscayne/155-Ocean-Lane-Dr-33149/unit-415/home/42918435,MARMLS,A11283616,N,Y,25.7000999,-80.1586448
PAST SALE,February-8-2023,Condo/Co-op,20379 W Country Club Dr #836,Aventura,FL,33180,377000,2,2.0,CORONADO CONDO - TOWER II,1313,,1975,,287,843,Sold,,,https://www.redfin.com/FL/Aventura/20379-W-Country-Club-Dr-33180/unit-836/home/42935314,MARMLS,A11296045,N,Y,25.964125,-80.1379516
PAST SALE,February-8-2023,Condo/Co-op,1270 SE 26th St #105,Homestead,FL,33035,236500,2,2.0,VENETIA GARDENS CONDO,822,,2003,,288,229,Sold,,,https://www.redfin.com/FL/Homestead/1270-SE-26th-St-33035/unit-105/home/43288852,MARMLS,A11301101,N,Y,25.4454444,-80.4586751
PAST SALE,February-8-2023,Condo/Co-op,4705 NW 7th St Unit 203-7,Miami,FL,33126,218000,2,1.0,SUNSET VILLAS NO 3 CONDO-,728,,1974,,299,305,Sold,,,https://www.redfin.com/FL/Miami/4705-NW-7th-St-33126/unit-203-7/home/42706819,MARMLS,A11320547,N,Y,25.7795321,-80.2718506
PAST SALE,February-7-2023,Condo/Co-op,5255 Collins Ave Unit 6F,Miami Beach,FL,33140,909000,2,2.5,IMPERIAL HOUSE CONDO,1475,,1963,,616,1789,Sold,,,https://www.redfin.com/FL/Miami-Beach/5255-Collins-Ave-33140/unit-6F/home/43450418,MARMLS,A11302716,N,Y,25.8305155,-80.1210179
PAST SALE,February-7-2023,Condo/Co-op,6580 Indian Creek Dr #502,Miami Beach,FL,33141,310000,0,1.0,REGATTA AT INDIAN CREEK C,541,,2006,,573,390,Sold,,,https://www.redfin.com/FL/Miami-Beach/6580-Indian-Creek-Dr-33141/unit-502/home/43355924,MARMLS,A11316004,N,Y,25.8494701,-80.1218215
PAST SALE,February-7-2023,Condo/Co-op,1900 W 54th St #406,Hialeah,FL,33012,262500,2,2.0,WESTLAND EDEN CONDO II,1006,,1975,,261,285,Sold,,,https://www.redfin.com/FL/Hialeah/1900-W-54th-St-33012/unit-406/home/42826208,MARMLS,A11290552,N,Y,25.8708236,-80.3206578
