SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,December-7-2022,Condo/Co-op,238 SW 1st St Unit F-1,Pompano Beach,FL,33060,157000,2,2.0,Parkway Gardens,855,,1978,,184,346,Sold,,,https://www.redfin.com/FL/Pompano-Beach/238-SW-1st-St-33060/unit-F-1/home/41633972,Beaches MLS,RX-10846065,N,Y,26.2308661,-80.1281595
PAST SALE,January-6-2023,Condo/Co-op,9401 Sunrise Lakes Blvd #112,Sunrise,FL,33322,125000,1,1.5,SUNRISE LAKES 118 CONDO,750,,1978,,167,335,Sold,,,https://www.redfin.com/FL/Sunrise/9401-Sunrise-Lakes-Blvd-33322/unit-112/home/41612825,MARMLS,A11305513,N,Y,26.1606735,-80.2759054
PAST SALE,December-28-2022,Condo/Co-op,1600 S Ocean Dr Unit 17C,Hollywood,FL,33019,365000,1,1.5,ALLINGTON TOWERS CONDO,832,,1971,,439,513,Sold,,,https://www.redfin.com/FL/Hollywood/1600-S-Ocean-Dr-33019/unit-17C/home/41963248,MARMLS,A11305051,N,Y,25.999969,-80.1186497
PAST SALE,November-18-2022,Condo/Co-op,10005 Winding Lake Rd #101,Sunrise,FL,33351,225000,2,2.0,WINDING LAKE AT WELLEBY,772,,1982,,291,231,Sold,,,https://www.redfin.com/FL/Sunrise/10005-Winding-Lake-Rd-33351/unit-101/home/41582245,MARMLS,A11274395,N,Y,26.1724003,-80.2856907
PAST SALE,December-7-2022,Condo/Co-op,412 Tilford S #412,Deerfield Beach,FL,33442,103000,1,1.5,Tilford S Condo,700,,1979,,147,425,Sold,,,https://www.redfin.com/FL/Deerfield-Beach/412-Tilford-S-33442/unit-412/home/104357764,Beaches MLS,RX-10835412,N,Y,26.310483,-80.150792
PAST SALE,November-28-2022,Condo/Co-op,1809 Middle River Dr Unit 1809A,Fort Lauderdale,FL,33305,325000,2,2.0,Orchid Condo,1260,,1969,,258,775,Sold,,,https://www.redfin.com/FL/Fort-Lauderdale/1809-Middle-River-Dr-33305/unit-1809A/home/183341404,Beaches MLS,F10360049,N,Y,26.150268,-80.115008
PAST SALE,,Condo/Co-op,2900 NE 30th St Unit 3D,Fort Lauderdale,FL,33306,160000,1,1.0,,440,,1964,,364,,,,,https://www.redfin.com/FL/Fort-Lauderdale/2900-NE-30th-St-33306/unit-3D/home/42042936,,,N,Y,26.1660403,-80.1049288
PAST SALE,December-8-2022,Condo/Co-op,4174 Inverrary Dr #111,Lauderhill,FL,33319,88000,1,1.5,Manors Of Inverrary,783,,1974,,112,579,Sold,,,https://www.redfin.com/FL/Lauderhill/4174-Inverrary-Dr-33319/unit-111/home/41591010,Beaches MLS,F10359533,N,Y,26.175417,-80.226241
PAST SALE,,Condo/Co-op,4255 N University Dr #301,Sunrise,FL,33351,187000,2,2.0,,944,,1981,,198,,,,,https://www.redfin.com/FL/Sunrise/4255-N-University-Dr-33351/unit-301/home/41585242,,,N,Y,26.1767531,-80.2529976
PAST SALE,December-21-2022,Condo/Co-op,2000 Metropica Way #1510,Sunrise,FL,33323,618000,2,2.0,METROPICA NORTH TOWER ONE,1003,,2020,,616,844,Sold,,,https://www.redfin.com/FL/Sunrise/2000-Metropica-Way-33323/unit-1510/home/174071970,MARMLS,A11304278,N,Y,26.149294,-80.3281433
PAST SALE,,Condo/Co-op,3851 NE 21st Ave #31,Lighthouse Point,FL,33064,142500,2,2.0,,780,,1965,,183,,,,,https://www.redfin.com/FL/Lighthouse-Point/3851-NE-21st-Ave-33064/unit-31/home/41519943,,,N,Y,26.2784577,-80.0942983
PAST SALE,,Condo/Co-op,4164 Inverrary Dr #710,Lauderhill,FL,33319,65000,1,1.0,,729,,1975,,89,,,,,https://www.redfin.com/FL/Lauderhill/4164-Inverrary-Dr-33319/unit-710/home/41589378,,,N,Y,26.1760005,-80.2245067
PAST SALE,,Condo/Co-op,101 N Ocean Dr #305,Hollywood,FL,33019,216000,1,1.0,,360,,1925,,600,,,,,https://www.redfin.com/FL/Hollywood/101-N-Ocean-Dr-33019/unit-305/home/41930941,,,N,Y,26.0124577,-80.116163
PAST SALE,February-14-2023,Condo/Co-op,6855 W Broward Blvd #111,Plantation,FL,33317,215000,2,2.0,PLANTATION CLUB B CONDO,1120,,1975,,192,650,Sold,,,https://www.redfin.com/FL/Plantation/6855-W-Broward-Blvd-33317/unit-111/home/41748121,MARMLS,A11336791,N,Y,26.121871,-80.2374028
PAST SALE,December-14-2022,Condo/Co-op,4020 Galt Ocean Dr #405,Fort Lauderdale,FL,33308,555000,2,2.0,Ocean Club,1514,,1971,,367,982,Sold,,,https://www.redfin.com/FL/Fort-Lauderdale/4020-Galt-Ocean-Dr-33308/unit-405/home/41710586,Beaches MLS,F10359881,N,Y,26.1773419,-80.0970766
PAST SALE,November-29-2022,Condo/Co-op,551 N Fort Lauderdale Beach Blvd Unit H1111,Fort Lauderdale,FL,33304,552900,1,1.0,551 FLB CONDOMINIUM HOTEL,577,,2009,,958,1610,Sold,,,https://www.redfin.com/FL/Fort-Lauderdale/551-N-Fort-Lauderdale-Beach-Blvd-33304/unit-H1111/home/63058499,MARMLS,A11308531,N,Y,26.1308727,-80.1040339
PAST SALE,,Condo/Co-op,1050 Seminole Dr Unit 2A,Fort Lauderdale,FL,33304,1136300,3,3.0,,2940,,1994,,386,,,,,https://www.redfin.com/FL/Fort-Lauderdale/1050-Seminole-Dr-33304/unit-2A/home/41692713,,,N,Y,26.1394914,-80.1104477
PAST SALE,,Condo/Co-op,3700 Galt Ocean Dr #1509,Fort Lauderdale,FL,33308,300000,1,1.0,,600,,1967,,500,,,,,https://www.redfin.com/FL/Fort-Lauderdale/3700-Galt-Ocean-Dr-33308/unit-1509/home/41711650,,,N,Y,26.1734275,-80.0978815
PAST SALE,,Condo/Co-op,3310 Pinewalk Dr N #1815,Margate,FL,33063,200000,1,1.0,,712,,1990,,281,,,,,https://www.redfin.com/FL/Margate/3310-Pinewalk-Dr-N-33063/unit-1815/home/42051626,,,N,Y,26.2657637,-80.2293865
PAST SALE,,Condo/Co-op,12701 SW 14th St Unit 304J,Pembroke Pines,FL,33027,207000,2,2.0,,1100,,1990,,188,,,,,https://www.redfin.com/FL/Pembroke-Pines/12701-SW-14th-St-33027/unit-304J/home/41847719,,,N,Y,25.9955851,-80.3165667
PAST SALE,,Condo/Co-op,2500 Parkview Dr #809,Hallandale Beach,FL,33009,255000,1,2.0,,950,,1980,,268,,,,,https://www.redfin.com/FL/Hallandale-Beach/2500-Parkview-Dr-33009/unit-809/home/42046990,,,N,Y,25.9930327,-80.1248006
PAST SALE,December-1-2022,Condo/Co-op,333 Sunset Dr #1103,Fort Lauderdale,FL,33301,763000,2,2.0,Four Seasons,1867,,1958,,409,1284,Sold,,,https://www.redfin.com/FL/Fort-Lauderdale/333-Sunset-Dr-33301/unit-1103/home/41800087,Beaches MLS,F10358573,N,Y,26.1186379,-80.1141346
PAST SALE,,Condo/Co-op,3011 Harwood C,Deerfield Beach,FL,33442,119000,1,1.0,,600,,1975,,198,,,,,https://www.redfin.com/FL/Deerfield-Beach/3011-Harwood-C-33442/home/41461204,,,N,Y,26.3057797,-80.1351701
PAST SALE,January-27-2023,Condo/Co-op,551 N Fort Lauderdale Beach Blvd Unit R1912,Fort Lauderdale,FL,33304,575000,0,1.0,Conrad Fort Lauderdale Bea,648,,2017,,887,1616,Sold,,,https://www.redfin.com/FL/Fort-Lauderdale/551-N-Fort-Lauderdale-Beach-Blvd-33304/unit-R1912/home/82729169,MARMLS,A11334277,N,Y,26.1308727,-80.1040339
PAST SALE,,Condo/Co-op,82 Tilford D,Deerfield Beach,FL,33442,84000,1,2.0,,708,,1978,,119,,,,,https://www.redfin.com/FL/Deerfield-Beach/82-Tilford-D-33442/home/41465624,,,N,Y,26.3110417,-80.1447869
PAST SALE,,Condo/Co-op,6800 Royal Palm Blvd Unit 301F,Margate,FL,33063,85000,2,2.0,,1100,,1981,,77,,,,,https://www.redfin.com/FL/Margate/6800-Royal-Palm-Blvd-33063/unit-301F/home/41435414,,,N,Y,26.2523275,-80.2158791
