SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,January-26-2023,Condo/Co-op,410 Evernia St #628,West Palm Beach,FL,33401,500000,2,2.0,Whitney Condo,1160,43560,2007,,431,683,Sold,,,https://www.redfin.com/FL/West-Palm-Beach/410-Evernia-St-33401/unit-628/home/42657905,Beaches MLS,RX-10855343,N,Y,26.7110036,-80.0542782
PAST SALE,December-27-2022,Condo/Co-op,21695 Tall Palm Cir Unit 4c,Boca Raton,FL,33433,272000,2,2.0,Palms OF Boca Lago,1919,43560,1980,,142,644,Sold,,,https://www.redfin.com/FL/Boca-Raton/21695-Tall-Palm-Cir-33433/unit-4c/home/179399344,Beaches MLS,RX-10848239,N,Y,26.3531941,-80.1814564
PAST SALE,November-18-2022,Condo/Co-op,147 Lake Anne Dr,West Palm Beach,FL,33411,231000,2,2.0,Golden Lakes Village Condo 1 Thru 13-a,1197,,1974,,193,394,Sold,,,https://www.redfin.com/FL/Royal-Palm-Beach/147-Lake-Anne-Dr-33411/home/42165758,Beaches MLS,RX-10822464,N,Y,26.706611,-80.1673969
PAST SALE,,Condo/Co-op,1089 N Benoist Farms Rd #203,West Palm Beach,FL,33411,35900,2,1.0,,708,,1991,,51,,,,,https://www.redfin.com/FL/West-Palm-Beach/1089-N-Benoist-Farms-Rd-33411/unit-203/home/42603913,,,N,Y,26.6936219,-80.1738617
PAST SALE,,Condo/Co-op,4349 Quail Ridge Dr N Unit B,Boynton Beach,FL,33436,365000,2,2.0,,1325,,1983,,275,,,,,https://www.redfin.com/FL/Boynton-Beach/4349-Quail-Ridge-Dr-N-33436/unit-B/home/42215866,,,N,Y,26.512021,-80.11116
PAST SALE,January-6-2023,Condo/Co-op,4056 Lake Osborne Dr #14,Lake Worth,FL,33461,65000,1,1.0,Park Towers Apartments Condo,644,,1962,,101,158,Sold,,,https://www.redfin.com/FL/Lake-Worth/4056-Lake-Osborne-Dr-33461/unit-14/home/42575327,Beaches MLS,RX-10856066,N,Y,26.6161222,-80.0741974
PAST SALE,,Condo/Co-op,1801 S Flagler Dr #1208,West Palm Beach,FL,33401,480000,1,1.5,,950,,1973,,505,,,,,https://www.redfin.com/FL/West-Palm-Beach/1801-S-Flagler-Dr-33401/unit-1208/home/42521691,,,N,Y,26.6974042,-80.0507418
PAST SALE,,Condo/Co-op,51 Sheffield C,West Palm Beach,FL,33417,150000,2,1.5,,814,,1971,,184,,,,,https://www.redfin.com/FL/West-Palm-Beach/51-Sheffield-C-33417/home/42142543,,,N,Y,26.7200182,-80.1266586
PAST SALE,February-1-2023,Condo/Co-op,11 Canterbury A,West Palm Beach,FL,33417,65000,1,1.5,Century Village,646,43560,1972,,101,380,Sold,,,https://www.redfin.com/FL/West-Palm-Beach/11-Canterbury-a-33417/home/42666361,Beaches MLS,RX-10862726,N,Y,26.720227,-80.132277
PAST SALE,,Condo/Co-op,739 Monaco P,Delray Beach,FL,33446,75000,1,1.5,,726,,1974,,103,,,,,https://www.redfin.com/FL/Delray-Beach/739-Monaco-P-33446/home/42223175,,,N,Y,26.4424063,-80.149171
