,lat,lon,work_desc,name,review_type,full_address,app_year_start
0,41.8805916,-87.6521977,"ERECT NEW 8 STORY HIGH-RISE, 12 UNIT RESIDENTIAL BUILDING WITH GROUND FLOOR PARKING AS PER PLANS.",DEWALT MARK D,TRADITIONAL DEVELOPER SERVICES,1000 W MONROE ST,2018.0
1,41.8970694,-87.63155909999999,***DIRECT DEVELOPER SERVICES*** FULL BUILDING PERMIT FOR A PROPOSED SIXTEEN (16) STORY 129 DWELLING UNIT RESIDENTIAL BUILDING WITH THIRTEEN (13) PARKING SPACES AND RETAIL ON THE GROUND FLOOR AS PER PLANS,HARTSHORNE RAY,DIRECT DEVELOPER SERVICES,810 N CLARK ST,2018.0
2,41.8850049,-87.6547992,"DDS 2019 CBC: CAISSONS ONLY PERMIT FOR THE NEW CONSTRUCTION OF A 21 STORY RESIDENTIAL BUILDING WITH 224 DWELLING UNITS AND 70 CAR PARKING SPACES. (OCC GROUPS R-2, M, B, S-2, A; CONST TYPE 1A) CONSULTANT REVIEWER: GLOBETROTTERS ENGINEERING",WINEBERG CLARA INES,DIRECT DEVELOPER SERVICES,166 N ABERDEEN ST,2021.0
3,41.7941921,-87.6228129,**DIRECT DEVELOPER SERVICES PROJECT** ERECT NEW 4 STORY TYPE 1C CONSTRUCTION  MIXED USE BUILDING WITH 58 DWELLING UNITS AND 33 PARKING SPACES PER PLANS AT 5504 S. MICHIGAN AVE/ 65 E. GARFIELD,NUTTELMAN JASON P,DIRECT DEVELOPER SERVICES,5504 S MICHIGAN AVE,2017.0
4,41.804736,-87.742685,**DIRECT DEVELOPER SERVICES** NEW CONSTRUCTION OF 4 STORY 62 UNIT TYPE 1A BUILDING AS PER PLANS. WRECKING PERMIT TO BE OBTAINED WITHIN 90 DAYS OF THIS PERMIT,"PAISLEY, KIRK",DIRECT DEVELOPER SERVICES,4835 S CICERO AVE,2019.0
5,41.9025066,-87.64299369999999,**DIRECT DEVELOPER SERVICES PROJECT**  NEW 7 STORY 69 RESIDENTIAL UNIT BUILDING (TYPE 1B PRECAST CONSTRUCTION) WITH ACCESSORY OFFICE AND COMMUNITY SPACES AS PER PLANS.,LANDON PETER,DIRECT DEVELOPER SERVICES,551 W ELM ST,2019.0
6,41.894252,-87.633109,DIR. DEV. SERV. - NEW CONSTRUCTION : PERMIT APPLICATION FOR FOURTH FLOOR THROUGH FOURTEENTH LEVEL (PHASE II). A FOURTEEN STORY RESIDENTIAL BUILDING WITH 31 RESI. UNITS (4TH - 14TH FLOOR) WITH ENCLOSED PARKING FOR 46 SPACES (47 REQUIRED @ 1.5/D.U.) AT 1ST-3RD FLOOR AND A RETAIL SPACE OF 2556 SF AT 1ST FLOOR LEVEL.THE FOUNDATION THROUGH LEVEL 3 IS ALREADY APPROVED (AS PHASE I) UNDER SEPARATE PERMIT  APPLICATION #100688266. CONSULTANT REVIEWER: PRIMERA ENGINEERING,MC KINNEY MARK D,DIRECT DEVELOPER SERVICES,146 W ERIE ST,2020.0
7,41.8241157,-87.61376949999999,*DIRECT DEV SERVICES* NEW CONSTRUCTION OF A 4-STORY TYPE I-C AFFORDABLE HOUSING BUILDING UTILIZING COLD-FORMED METAL FRAMING ON SHALLOW FOUNDATIONS.,AKINDELE ANTHONY,DIRECT DEVELOPER SERVICES,508 E PERSHING RD,2020.0
8,41.7241667,-87.5834903,"**DIRECT DEVELOPER SERVICES** NEW CONSTRUCTION OF 7-STORY INDEPENDENT SENIORS RESIDENTIAL APARTMENT BUILDING WITH (134) DWELLING UNITS AND ON-SITE PARKING, FENCING, LANDSCAPING, AND TRASH ENCLOSURE - DIRECT DEVELOPER SERVICES PROGRAM.",JERABEK MICHAEL,DIRECT DEVELOPER SERVICES,9401 S STONY ISLAND AVE,2018.0
9,41.89649989999999,-87.6284977,***DIRECT DEVELOPER SERVICES*** FIRST TIME INTERIOR BUILDOUT OF AN OFFICE SPACE ON THE 6TH AND 7TH FLOORS OF AN EXISTING MIXED USE HIGH RISE BUILDING AS PER PLANS. CONSULTANT REVIEWER: GLOBETROTTERS ENGINEERING,FAUTSCH STEPHEN J,DIRECT DEVELOPER SERVICES,750 N STATE ST,2021.0
