SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-20-2023,Condo/Co-op,2030 S Douglas Rd #707,Coral Gables,FL,33134,530000,2,2.0,THE MINORCA CONDO,1114,,2005,,476,690,Sold,,,https://www.redfin.com/FL/Coral-Gables/2030-S-Douglas-Rd-33134/unit-707/home/43347455,MARMLS,A11343234,N,Y,25.753657,-80.255219
PAST SALE,April-18-2023,Condo/Co-op,333 NE 24th St #609,Miami,FL,33137,572500,2,2.0,GALLERY ART CONDO,1048,,2008,,546,809,Sold,,,https://www.redfin.com/FL/Miami/333-NE-24th-St-33137/unit-609/home/43401361,MARMLS,A11340532,N,Y,25.800735,-80.1881168
PAST SALE,April-28-2023,Condo/Co-op,801 Brickell Key Blvd #607,Miami,FL,33131,530000,1,1.5,COURTS BRICKELL KEY CONDO,878,,2002,,604,743,Sold,,,https://www.redfin.com/FL/Miami/801-Brickell-Key-Blvd-33131/unit-607/home/43280313,MARMLS,A11354741,N,Y,25.7686611,-80.1866783
PAST SALE,February-24-2023,Condo/Co-op,1627 Brickell Ave #2802,Miami,FL,33129,690000,2,2.5,IMPERIAL AT BRICKELL COND,1316,,1983,,524,1088,Sold,,,https://www.redfin.com/FL/Miami/1627-Brickell-Ave-33129/unit-2802/home/42764591,MARMLS,A11295806,N,Y,25.7559866,-80.1940884
PAST SALE,March-28-2023,Condo/Co-op,520 Brickell Key Dr Unit A1716,Miami,FL,33131,1200000,3,3.0,BRICKELL KEY ONE CONDO,1890,,1982,,635,1943,Sold,,,https://www.redfin.com/FL/Miami/520-Brickell-Key-Dr-33131/unit-A1716/home/42769095,MARMLS,A11296884,N,Y,25.7671903,-80.1849333
PAST SALE,February-15-2023,Condo/Co-op,7600 Collins Ave #1205,Miami Beach,FL,33141,450000,1,1.5,OCEANBLUE CONDO OF MIAMI,857,,2004,,525,695,Sold,,,https://www.redfin.com/FL/Miami-Beach/7600-Collins-Ave-33141/unit-1205/home/43310698,MARMLS,A11286310,N,Y,25.8617302,-80.1214511
PAST SALE,April-17-2023,Condo/Co-op,475 Brickell Ave #5708,Miami,FL,33131,700000,1,1.0,ICONBRICKELL CONDO NO 1,986,,2008,,710,1107,Sold,,,https://www.redfin.com/FL/Miami/475-Brickell-Ave-33131/unit-5708/home/42678707,MARMLS,A11281455,N,Y,25.7688518,-80.1885381
PAST SALE,April-21-2023,Condo/Co-op,1791 NE Miami Gardens Dr Unit E202,Miami,FL,33179,300000,2,2.0,SKYLOFTS CONDO,1234,,2007,,243,,Sold,,,https://www.redfin.com/FL/Miami/1791-NE-Miami-Gardens-Dr-33179/unit-E202/home/43385958,MARMLS,A11376185,N,Y,25.9462545,-80.1654813
PAST SALE,,Condo/Co-op,130 NW 87th Ave Unit H201,Miami,FL,33172,247000,1,1.0,,922,,1981,,268,,,,,https://www.redfin.com/FL/Miami/130-NW-87th-Ave-33172/unit-H201/home/43054742,,,N,Y,25.7712493,-80.3374883
PAST SALE,,Condo/Co-op,4800 NW 79th Ave #302,Doral,FL,33166,215000,1,1.0,,810,,1972,,265,,,,,https://www.redfin.com/FL/Doral/4800-NW-79th-Ave-33166/unit-302/home/43438755,,,N,Y,25.8174242,-80.3265005
PAST SALE,,Condo/Co-op,9310 W Flagler St Unit 103A,Miami,FL,33174,187000,1,1.0,,614,,1973,,305,,,,,https://www.redfin.com/FL/Miami/9310-W-Flagler-St-33174/unit-103A/home/43050212,,,N,Y,25.767332,-80.347119
PAST SALE,,Condo/Co-op,1717 N Bayshore Dr Unit A-1834,Miami,FL,33132,582667,2,2.0,,1717,,1986,,339,,,,,https://www.redfin.com/FL/Miami/1717-N-Bayshore-Dr-33132/unit-A-1834/home/42727472,,,N,Y,25.791316,-80.1861552
PAST SALE,,Condo/Co-op,2960 NE 207th St #1203,Aventura,FL,33180,705000,2,2.0,,1099,,2018,,641,,,,,https://www.redfin.com/FL/Aventura/2960-NE-207th-St-33180/unit-1203/home/147302424,,,N,Y,25.9663031,-80.1422914
PAST SALE,,Condo/Co-op,7270 SW 89th St Unit C206,Miami,FL,33156,180000,1,1.0,,770,,2007,,234,,,,,https://www.redfin.com/FL/Miami/7270-SW-89th-St-33156/unit-C206/home/42674200,,,N,Y,25.6872504,-80.3125628
