SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-14-2023,Condo/Co-op,1900 N Bayshore Dr #4012,Miami,FL,33132,860000,3,3.0,QUANTUM ON THE BAY CONDO,1494,,2008,,576,1326,Sold,,,https://www.redfin.com/FL/Miami/1900-N-Bayshore-Dr-33132/unit-4012/home/43406119,MARMLS,A11384624,N,Y,25.7950425,-80.1871288
PAST SALE,August-10-2023,Condo/Co-op,1345 Lincoln Rd #1101,Miami Beach,FL,33139,420000,1,1.5,BAYVIEW CONDO,718,,1972,,585,460,Sold,,,https://www.redfin.com/FL/Miami-Beach/1345-Lincoln-Rd-33139/unit-1101/home/42792879,MARMLS,A11413335,N,Y,25.7905592,-80.1432008
PAST SALE,June-15-2023,Condo/Co-op,3025 Indian Creek Dr #108,Miami Beach,FL,33140,375000,1,1.0,SOUTH BEACH BAYSIDE CONDO,590,,1935,,636,980,Sold,,,https://www.redfin.com/FL/Miami-Beach/3025-Indian-Creek-Dr-33140/unit-108/home/42790800,MARMLS,A11384998,N,Y,25.8066956,-80.1254332
PAST SALE,July-11-2023,Condo/Co-op,18111 NW 68th Ave Unit H103,Hialeah,FL,33015,212000,1,1.0,VENETIAN GARDENS AT COUNT,883,,1970,,240,408,Sold,,,https://www.redfin.com/FL/Hialeah/18111-NW-68th-Ave-33015/unit-H103/home/43388701,MARMLS,A11398556,N,Y,25.9368038,-80.3101248
PAST SALE,August-9-2023,Condo/Co-op,60 SW 13th St #1814,Miami,FL,33130,465000,1,1.5,INFINITY AT BRICKELL COND,785,,2008,,592,823,Sold,,,https://www.redfin.com/FL/Miami/60-SW-13th-St-33130/unit-1814/home/43458912,MARMLS,A11411330,N,Y,25.7609697,-80.1943717
PAST SALE,August-25-2023,Condo/Co-op,2655 Collins Ave #1103,Miami Beach,FL,33140,550000,1,1.5,MIRASOL OCEAN TOWERS COND,1190,,1975,,462,808,Sold,,,https://www.redfin.com/FL/Miami-Beach/2655-Collins-Ave-33140/unit-1103/home/42785204,MARMLS,A11414908,N,Y,25.8031919,-80.1250925
PAST SALE,July-3-2023,Condo/Co-op,6820 Indian Creek Dr Unit 9A,Miami Beach,FL,33141,410000,1,2.0,INDIAN CREEK CL MARINA CO,1311,,1981,,313,440,Sold,,,https://www.redfin.com/FL/Miami-Beach/6820-Indian-Creek-Dr-33141/unit-9A/home/42775684,MARMLS,A11379320,N,Y,25.8527158,-80.1231723
PAST SALE,August-25-2023,Condo/Co-op,665 NE 25th St #1604,Miami,FL,33137,839000,2,2.5,ONYX ON THE BAY CONDO,1237,,2007,,678,1408,Sold,,,https://www.redfin.com/FL/Miami/665-NE-25th-St-33137/unit-1604/home/43394419,MARMLS,A11411818,N,Y,25.8012645,-80.1858065
PAST SALE,,Condo/Co-op,4101 Pine Tree Dr #1220,Miami Beach,FL,33140,525200,1,1.0,,835,,1974,,629,,,,,https://www.redfin.com/FL/Miami-Beach/4101-Pine-Tree-Dr-33140/unit-1220/home/42783383,,,N,Y,25.8140407,-80.1254986
PAST SALE,July-10-2023,Condo/Co-op,10 Venetian Way #1103,Miami Beach,FL,33139,2200000,2,2.5,THE GRAND VENETIAN CONDO,1463,,2001,,1504,1794,Sold,,,https://www.redfin.com/FL/Miami-Beach/10-Venetian-Way-33139/unit-1103/home/43275846,MARMLS,A11360679,N,Y,25.791132,-80.1466395
