SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-14-2023,Condo/Co-op,1900 N Bayshore Dr #4012,Miami,FL,33132,860000,3,3.0,QUANTUM ON THE BAY CONDO,1494,,2008,,576,1326,Sold,,,https://www.redfin.com/FL/Miami/1900-N-Bayshore-Dr-33132/unit-4012/home/43406119,MARMLS,A11384624,N,Y,25.7950425,-80.1871288
PAST SALE,May-18-2023,Condo/Co-op,1139 W 39th Ter #11,Hialeah,FL,33012,350000,3,2.0,MANGO HILL CONDO,1528,,1979,,229,269,Sold,,,https://www.redfin.com/FL/Hialeah/1139-W-39th-Ter-33012/unit-11/home/42835076,MARMLS,A11371870,N,Y,25.8571798,-80.3056252
PAST SALE,June-15-2023,Condo/Co-op,3025 Indian Creek Dr #108,Miami Beach,FL,33140,375000,1,1.0,SOUTH BEACH BAYSIDE CONDO,590,,1935,,636,980,Sold,,,https://www.redfin.com/FL/Miami-Beach/3025-Indian-Creek-Dr-33140/unit-108/home/42790800,MARMLS,A11384998,N,Y,25.8066956,-80.1254332
PAST SALE,June-2-2023,Condo/Co-op,6495 W 27th Ave Unit 41-101,Hialeah,FL,33016,270000,2,2.0,LAGO GRANDE CONDO THREE C,770,,1983,,351,286,Sold,,,https://www.redfin.com/FL/Hialeah/6495-W-27th-Ave-33016/unit-41-101/home/42827134,MARMLS,A11376197,N,Y,25.8812957,-80.3366187
PAST SALE,May-17-2023,Condo/Co-op,133 NE 2nd Ave #2506,Miami,FL,33132,455000,2,2.0,THE LOFT DOWNTOWN II COND,1010,,2007,,450,827,Sold,,,https://www.redfin.com/FL/Miami/133-NE-2nd-Ave-33132/unit-2506/home/43445680,MARMLS,A11362960,N,Y,25.7759537,-80.1901927
PAST SALE,July-11-2023,Condo/Co-op,18111 NW 68th Ave Unit H103,Hialeah,FL,33015,212000,1,1.0,VENETIAN GARDENS AT COUNT,883,,1970,,240,408,Sold,,,https://www.redfin.com/FL/Hialeah/18111-NW-68th-Ave-33015/unit-H103/home/43388701,MARMLS,A11398556,N,Y,25.9368038,-80.3101248
PAST SALE,July-3-2023,Condo/Co-op,6820 Indian Creek Dr Unit 9A,Miami Beach,FL,33141,410000,1,2.0,INDIAN CREEK CL MARINA CO,1311,,1981,,313,440,Sold,,,https://www.redfin.com/FL/Miami-Beach/6820-Indian-Creek-Dr-33141/unit-9A/home/42775684,MARMLS,A11379320,N,Y,25.8527158,-80.1231723
PAST SALE,May-30-2023,Condo/Co-op,3530 Mystic Pointe Dr #406,Aventura,FL,33180,498500,2,2.0,MYSTIC POINTE TOWER 500 C,1361,,1991,,366,896,Sold,,,https://www.redfin.com/FL/Aventura/3530-Mystic-Pointe-Dr-33180/unit-406/home/42942800,MARMLS,A11352286,N,Y,25.9529117,-80.130938
PAST SALE,July-10-2023,Condo/Co-op,10 Venetian Way #1103,Miami Beach,FL,33139,2200000,2,2.5,THE GRAND VENETIAN CONDO,1463,,2001,,1504,1794,Sold,,,https://www.redfin.com/FL/Miami-Beach/10-Venetian-Way-33139/unit-1103/home/43275846,MARMLS,A11360679,N,Y,25.791132,-80.1466395
PAST SALE,June-27-2023,Condo/Co-op,21205 Yacht Club Dr #701,Aventura,FL,33180,520000,2,2.0,NORTH TOWER AT THE POINT,1700,,1997,,306,1773,Sold,,,https://www.redfin.com/FL/Aventura/21205-NE-37th-Ave-33180/unit-701/home/42932372,MARMLS,A11334490,N,Y,25.9728961,-80.1263475
PAST SALE,June-21-2023,Condo/Co-op,900 Bay Dr #808,Miami Beach,FL,33141,478000,1,1.5,KING COLE CONDO,1145,,1963,,417,2562,Sold,,,https://www.redfin.com/FL/Miami/900-Bay-Dr-33141/unit-808/home/42776272,MARMLS,A11422301,N,Y,25.8533642,-80.1263279
PAST SALE,June-14-2023,Condo/Co-op,185 SE 14th Ter #1607,Miami,FL,33131,470000,2,2.0,FORTUNE HOUSE CONDO,930,,1998,,505,963,Sold,,,https://www.redfin.com/FL/Miami/185-SE-14th-Ter-33131/unit-1607/home/42765639,MARMLS,A11223680,N,Y,25.7593856,-80.1909065
PAST SALE,May-25-2023,Condo/Co-op,3330 NE 190th St #2414,Aventura,FL,33180,950000,3,2.5,AVENTURA MARINA CONDO NUM,2289,,2007,,415,1400,Sold,,,https://www.redfin.com/FL/Aventura/3332-NE-190th-St-33180/unit-2414/home/43366914,MARMLS,A11394003,N,Y,25.9508899,-80.1355861
PAST SALE,July-31-2023,Condo/Co-op,435 NE 121st St #207,North Miami,FL,33161,200000,2,2.0,WINDSOR ESTATES NO 3 COND,1037,,1973,,193,300,Sold,,,https://www.redfin.com/FL/North-Miami/435-NE-121st-St-33161/unit-207/home/42876163,MARMLS,A11428589,N,Y,25.8869427,-80.1896553
PAST SALE,,Condo/Co-op,14901 SW 80th St #211,Miami,FL,33193,180000,1,1.0,,700,,1994,,257,,,,,https://www.redfin.com/FL/Miami/14901-SW-80th-St-33193/unit-211/home/43138254,,,N,Y,25.6922718,-80.4350643
PAST SALE,,Condo/Co-op,401 69th St #1611,Miami Beach,FL,33141,315000,1,1.0,,905,,1970,,348,,,,,https://www.redfin.com/FL/Miami-Beach/401-69th-St-33141/unit-1611/home/43350424,,,N,Y,25.8546914,-80.1227504
PAST SALE,July-13-2023,Condo/Co-op,5225 Collins Ave,Miami Beach,FL,33140,920000,2,2.5,THE ALEXANDER CONDO,1490,,1962,,617,2255,Sold,,,https://www.redfin.com/FL/Miami/5225-Collins-Ave-33140/home/144412555,Stellar MLS,J963946,N,Y,25.8299932,-80.1213544
PAST SALE,,Condo/Co-op,5313 Collins Ave #305,Miami Beach,FL,33140,375000,1,1.0,,740,,1964,,507,,,,,https://www.redfin.com/FL/Miami-Beach/5313-Collins-Ave-33140/unit-305/home/42783223,,,N,Y,25.831677,-80.120971
PAST SALE,,Condo/Co-op,1500 Bay Rd Unit 964S,Miami Beach,FL,33139,415000,1,1.0,,731,,1960,,568,,,,,https://www.redfin.com/FL/Miami-Beach/1500-Bay-Rd-33139/unit-964S/home/43356449,,,N,Y,25.7864019,-80.1443552
