SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-14-2023,Condo/Co-op,1900 N Bayshore Dr #4012,Miami,FL,33132,860000,3,3.0,QUANTUM ON THE BAY CONDO,1494,,2008,,576,1326,Sold,,,https://www.redfin.com/FL/Miami/1900-N-Bayshore-Dr-33132/unit-4012/home/43406119,MARMLS,A11384624,N,Y,25.7950425,-80.1871288
PAST SALE,April-20-2023,Condo/Co-op,2030 S Douglas Rd #707,Coral Gables,FL,33134,530000,2,2.0,THE MINORCA CONDO,1114,,2005,,476,690,Sold,,,https://www.redfin.com/FL/Coral-Gables/2030-S-Douglas-Rd-33134/unit-707/home/43347455,MARMLS,A11343234,N,Y,25.753657,-80.255219
PAST SALE,June-15-2023,Condo/Co-op,3025 Indian Creek Dr #108,Miami Beach,FL,33140,375000,1,1.0,SOUTH BEACH BAYSIDE CONDO,590,,1935,,636,980,Sold,,,https://www.redfin.com/FL/Miami-Beach/3025-Indian-Creek-Dr-33140/unit-108/home/42790800,MARMLS,A11384998,N,Y,25.8066956,-80.1254332
PAST SALE,June-2-2023,Condo/Co-op,6495 W 27th Ave Unit 41-101,Hialeah,FL,33016,270000,2,2.0,LAGO GRANDE CONDO THREE C,770,,1983,,351,286,Sold,,,https://www.redfin.com/FL/Hialeah/6495-W-27th-Ave-33016/unit-41-101/home/42827134,MARMLS,A11376197,N,Y,25.8812957,-80.3366187
PAST SALE,May-18-2023,Condo/Co-op,1139 W 39th Ter #11,Hialeah,FL,33012,350000,3,2.0,MANGO HILL CONDO,1528,,1979,,229,269,Sold,,,https://www.redfin.com/FL/Hialeah/1139-W-39th-Ter-33012/unit-11/home/42835076,MARMLS,A11371870,N,Y,25.8571798,-80.3056252
PAST SALE,May-17-2023,Condo/Co-op,133 NE 2nd Ave #2506,Miami,FL,33132,455000,2,2.0,THE LOFT DOWNTOWN II COND,1010,,2007,,450,827,Sold,,,https://www.redfin.com/FL/Miami/133-NE-2nd-Ave-33132/unit-2506/home/43445680,MARMLS,A11362960,N,Y,25.7759537,-80.1901927
PAST SALE,July-3-2023,Condo/Co-op,6820 Indian Creek Dr Unit 9A,Miami Beach,FL,33141,410000,1,2.0,INDIAN CREEK CL MARINA CO,1311,,1981,,313,440,Sold,,,https://www.redfin.com/FL/Miami-Beach/6820-Indian-Creek-Dr-33141/unit-9A/home/42775684,MARMLS,A11379320,N,Y,25.8527158,-80.1231723
PAST SALE,April-18-2023,Condo/Co-op,333 NE 24th St #609,Miami,FL,33137,572500,2,2.0,GALLERY ART CONDO,1048,,2008,,546,809,Sold,,,https://www.redfin.com/FL/Miami/333-NE-24th-St-33137/unit-609/home/43401361,MARMLS,A11340532,N,Y,25.800735,-80.1881168
PAST SALE,April-28-2023,Condo/Co-op,801 Brickell Key Blvd #607,Miami,FL,33131,530000,1,1.5,COURTS BRICKELL KEY CONDO,878,,2002,,604,743,Sold,,,https://www.redfin.com/FL/Miami/801-Brickell-Key-Blvd-33131/unit-607/home/43280313,MARMLS,A11354741,N,Y,25.7686611,-80.1866783
PAST SALE,May-30-2023,Condo/Co-op,3530 Mystic Pointe Dr #406,Aventura,FL,33180,498500,2,2.0,MYSTIC POINTE TOWER 500 C,1361,,1991,,366,896,Sold,,,https://www.redfin.com/FL/Aventura/3530-Mystic-Pointe-Dr-33180/unit-406/home/42942800,MARMLS,A11352286,N,Y,25.9529117,-80.130938
