SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-20-2023,Condo/Co-op,2030 S Douglas Rd #707,Coral Gables,FL,33134,530000,2,2.0,THE MINORCA CONDO,1114,,2005,,476,690,Sold,,,https://www.redfin.com/FL/Coral-Gables/2030-S-Douglas-Rd-33134/unit-707/home/43347455,MARMLS,A11343234,N,Y,25.753657,-80.255219
PAST SALE,May-18-2023,Condo/Co-op,1139 W 39th Ter #11,Hialeah,FL,33012,350000,3,2.0,MANGO HILL CONDO,1528,,1979,,229,269,Sold,,,https://www.redfin.com/FL/Hialeah/1139-W-39th-Ter-33012/unit-11/home/42835076,MARMLS,A11371870,N,Y,25.8571798,-80.3056252
PAST SALE,May-17-2023,Condo/Co-op,133 NE 2nd Ave #2506,Miami,FL,33132,455000,2,2.0,THE LOFT DOWNTOWN II COND,1010,,2007,,450,827,Sold,,,https://www.redfin.com/FL/Miami/133-NE-2nd-Ave-33132/unit-2506/home/43445680,MARMLS,A11362960,N,Y,25.7759537,-80.1901927
PAST SALE,April-18-2023,Condo/Co-op,333 NE 24th St #609,Miami,FL,33137,572500,2,2.0,GALLERY ART CONDO,1048,,2008,,546,809,Sold,,,https://www.redfin.com/FL/Miami/333-NE-24th-St-33137/unit-609/home/43401361,MARMLS,A11340532,N,Y,25.800735,-80.1881168
PAST SALE,April-28-2023,Condo/Co-op,801 Brickell Key Blvd #607,Miami,FL,33131,530000,1,1.5,COURTS BRICKELL KEY CONDO,878,,2002,,604,743,Sold,,,https://www.redfin.com/FL/Miami/801-Brickell-Key-Blvd-33131/unit-607/home/43280313,MARMLS,A11354741,N,Y,25.7686611,-80.1866783
PAST SALE,May-30-2023,Condo/Co-op,3530 Mystic Pointe Dr #406,Aventura,FL,33180,498500,2,2.0,MYSTIC POINTE TOWER 500 C,1361,,1991,,366,896,Sold,,,https://www.redfin.com/FL/Aventura/3530-Mystic-Pointe-Dr-33180/unit-406/home/42942800,MARMLS,A11352286,N,Y,25.9529117,-80.130938
PAST SALE,March-28-2023,Condo/Co-op,520 Brickell Key Dr Unit A1716,Miami,FL,33131,1200000,3,3.0,BRICKELL KEY ONE CONDO,1890,,1982,,635,1943,Sold,,,https://www.redfin.com/FL/Miami/520-Brickell-Key-Dr-33131/unit-A1716/home/42769095,MARMLS,A11296884,N,Y,25.7671903,-80.1849333
PAST SALE,April-17-2023,Condo/Co-op,475 Brickell Ave #5708,Miami,FL,33131,700000,1,1.0,ICONBRICKELL CONDO NO 1,986,,2008,,710,1107,Sold,,,https://www.redfin.com/FL/Miami/475-Brickell-Ave-33131/unit-5708/home/42678707,MARMLS,A11281455,N,Y,25.7688518,-80.1885381
PAST SALE,April-21-2023,Condo/Co-op,1791 NE Miami Gardens Dr Unit E202,Miami,FL,33179,300000,2,2.0,SKYLOFTS CONDO,1234,,2007,,243,,Sold,,,https://www.redfin.com/FL/Miami/1791-NE-Miami-Gardens-Dr-33179/unit-E202/home/43385958,MARMLS,A11376185,N,Y,25.9462545,-80.1654813
PAST SALE,May-5-2023,Condo/Co-op,6045 NW 186th St #322,Hialeah,FL,33015,260000,2,2.5,MIRASSOU CONDO,1095,,1991,,237,413,Sold,,,https://www.redfin.com/FL/Hialeah/6045-NW-186th-St-33015/unit-322/home/43341564,MARMLS,A11383417,N,Y,25.9432595,-80.296979
