SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,October-31-2023,Condo/Co-op,15330 SW 106th Ter #920,Miami,FL,33196,267267,1,1.0,HAMMOCKS TRAILS CONDO,808,,1987,,331,363,Sold,,,https://www.redfin.com/FL/Miami/15330-SW-106th-Ter-33196/unit-920/home/43350555,MARMLS,A11459605,N,Y,25.667029,-80.4449178
PAST SALE,August-10-2023,Condo/Co-op,1345 Lincoln Rd #1101,Miami Beach,FL,33139,420000,1,1.5,BAYVIEW CONDO,718,,1972,,585,460,Sold,,,https://www.redfin.com/FL/Miami-Beach/1345-Lincoln-Rd-33139/unit-1101/home/42792879,MARMLS,A11413335,N,Y,25.7905592,-80.1432008
PAST SALE,August-9-2023,Condo/Co-op,60 SW 13th St #1814,Miami,FL,33130,465000,1,1.5,INFINITY AT BRICKELL COND,785,,2008,,592,823,Sold,,,https://www.redfin.com/FL/Miami/60-SW-13th-St-33130/unit-1814/home/43458912,MARMLS,A11411330,N,Y,25.7609697,-80.1943717
PAST SALE,October-17-2023,Condo/Co-op,1450 Brickell Bay Dr #709,Miami,FL,33131,545000,2,2.0,COSTA BELLA CONDO,1030,,1977,,529,962,Sold,,,https://www.redfin.com/FL/Miami/1450-Brickell-Bay-Dr-33131/unit-709/home/42758563,MARMLS,A11440901,N,Y,25.757545,-80.1912161
PAST SALE,September-18-2023,Condo/Co-op,725 NE 22nd St Unit 17A,Miami,FL,33137,940000,2,2.0,NEW WAVE CONDO,1400,,2006,,671,1314,Sold,,,https://www.redfin.com/FL/Miami/725-NE-22nd-St-33137/unit-17A/home/43359223,MARMLS,A11413594,N,Y,25.7985325,-80.1856539
PAST SALE,October-24-2023,Condo/Co-op,18800 NE 29th Ave #324,Aventura,FL,33180,425000,2,2.0,VENTURE AT AVENTURA EAST,1086,,2005,,391,696,Sold,,,https://www.redfin.com/FL/Aventura/18800-NE-29th-Ave-33180/unit-324/home/43375990,MARMLS,A11417110,N,Y,25.9493447,-80.1436434
PAST SALE,August-25-2023,Condo/Co-op,665 NE 25th St #1604,Miami,FL,33137,839000,2,2.5,ONYX ON THE BAY CONDO,1237,,2007,,678,1408,Sold,,,https://www.redfin.com/FL/Miami/665-NE-25th-St-33137/unit-1604/home/43394419,MARMLS,A11411818,N,Y,25.8012645,-80.1858065
PAST SALE,August-31-2023,Condo/Co-op,350 S Miami Ave #3009,Miami,FL,33130,395000,1,1.0,WIND CONDO,740,,2008,,534,700,Sold,,,https://www.redfin.com/FL/Miami/350-S-Miami-Ave-33130/unit-3009/home/43412421,MARMLS,A11355203,N,Y,25.7704554,-80.1942628
PAST SALE,September-26-2023,Condo/Co-op,7751 NW 107th Ave #204,Doral,FL,33178,588000,3,3.0,MIDTOWN DORAL CONDO 2,1684,,2016,,349,960,Sold,,,https://www.redfin.com/FL/Doral/7751-NW-107th-Ave-33178/unit-204/home/118784126,MARMLS,A11475044,N,Y,25.8439407,-80.3699544
PAST SALE,September-19-2023,Condo/Co-op,5236 Fisher Island Dr #5236,Miami Beach,FL,33109,5500000,3,3.5,BAYVIEW FISHER ISL CONDO,2740,,1992,,2007,3501,Sold,,,https://www.redfin.com/FL/Miami-Beach/5236-Fisher-Island-Dr-33109/unit-5236/home/43102418,MARMLS,A11457493,N,Y,25.7626891,-80.1484152
PAST SALE,October-17-2023,Condo/Co-op,500 Bayview Dr Unit 1922 CORNER,Sunny Isles Beach,FL,33160,605500,2,2.0,ARLEN HOUSE WEST CONDO,1295,,1969,,468,2354,Sold,,,https://www.redfin.com/FL/Sunny-Isles-Beach/500-Bayview-Dr-33160/unit-1922/home/43238433,MARMLS,A11471933,N,Y,25.9223758,-80.1271899
PAST SALE,August-8-2023,Condo/Co-op,3131 NE 7th Ave #4304,Miami,FL,33137,1600000,3,3.5,ONE PARAISO CONDO,1526,,2018,,1048,1890,Sold,,,https://www.redfin.com/FL/Miami/3131-NE-7th-Ave-33137/unit-4304/home/79137179,MARMLS,A11433274,N,Y,25.8070469,-80.1855776
PAST SALE,,Condo/Co-op,16001 Collins Ave #1605,Sunny Isles Beach,FL,33160,680000,2,2.0,,1435,,2008,,474,,,,,https://www.redfin.com/FL/Sunny-Isles-Beach/16001-Collins-Ave-33160/unit-1605/home/43380035,,,N,Y,25.9240688,-80.1216598
PAST SALE,August-4-2023,Condo/Co-op,1508 Pennsylvania Ave Unit 6B,Miami Beach,FL,33139,325000,1,1.0,HARRIET COURT CONDO,642,,1935,,506,721,Sold,,,https://www.redfin.com/FL/Miami-Beach/1508-Pennsylvania-Ave-33139/unit-6B/home/43349689,MARMLS,A11428856,N,Y,25.7878783,-80.1345497
PAST SALE,,Condo/Co-op,20281 E Country Club Dr #307,Aventura,FL,33180,462000,3,2.0,,2080,,1984,,222,,,,,https://www.redfin.com/FL/Aventura/20281-E-Country-Club-Dr-33180/unit-307/home/42937089,,,N,Y,25.9655056,-80.1258549
PAST SALE,,Condo/Co-op,3200 Collins Ave #26,Miami Beach,FL,33140,450000,1,2.0,,1085,,1982,,415,,,,,https://www.redfin.com/FL/Miami-Beach/3200-Collins-Ave-33140/unit-26/home/42786368,,,N,Y,25.807614,-80.1244123
PAST SALE,,Condo/Co-op,1805 W 56th St #402,Hialeah,FL,33012,230000,2,1.0,,765,,1972,,301,,,,,https://www.redfin.com/FL/Hialeah/1805-W-56th-St-33012/unit-402/home/43378884,,,N,Y,25.873665,-80.3200507
PAST SALE,September-22-2023,Condo/Co-op,4050 NW 135th St Unit 6-11,Opa-locka,FL,33054,170000,1,1.0,VILLA BISCAYA JARDINES CO,608,,1974,,280,190,Sold,,,https://www.redfin.com/FL/Opa-Locka/4050-NW-135th-St-33054/unit-1-1/home/42882884,MARMLS,A11457030,N,Y,25.8962322,-80.2644958
PAST SALE,,Condo/Co-op,6223 W 24th Ave Unit 205-5,Hialeah,FL,33016,110000,2,2.0,,926,,1986,,119,,,,,https://www.redfin.com/FL/Hialeah/6223-W-24th-Ave-33016/unit-205-5/home/43428817,,,N,Y,25.8790697,-80.3303469
PAST SALE,,Condo/Co-op,10275 Collins Ave #910,Bal Harbour,FL,33154,2575000,2,2.0,,1407,,1964,,1830,,,,,https://www.redfin.com/FL/Bal-Harbour/10275-Collins-Ave-33154/unit-910/home/43398943,,,N,Y,25.8979135,-80.1234506
PAST SALE,,Condo/Co-op,7946 East Dr #201,North Bay Village,FL,33141,500000,2,2.0,,1217,,1960,,411,,,,,https://www.redfin.com/FL/North-Bay-Village/7946-East-Dr-33141/unit-201/home/42918154,,,N,Y,25.853792,-80.157862
PAST SALE,,Condo/Co-op,4747 Collins Ave #1514,Miami Beach,FL,33140,295000,,,,790,,1962,,373,,,,,https://www.redfin.com/FL/Miami-Beach/4747-Collins-Ave-33140/unit-1514/home/42779045,,,N,Y,25.8217974,-80.1217461
PAST SALE,,Condo/Co-op,1101 98th St #1,Bay Harbor Islands,FL,33154,651900,,,,2020,,1956,,323,,,,,https://www.redfin.com/FL/Bay-Harbor-Islands/1101-98th-St-33154/unit-1/home/42904626,,,N,Y,25.8889476,-80.1315618
PAST SALE,,Condo/Co-op,18041 Biscayne Blvd Unit 1201-4,Aventura,FL,33160,310000,2,2.0,,1565,,1971,,198,,,,,https://www.redfin.com/FL/Aventura/18041-Biscayne-Blvd-33160/unit-1201-4/home/42937718,,,N,Y,25.9425843,-80.148246
PAST SALE,,Condo/Co-op,9195 Collins Ave #911,Surfside,FL,33154,450000,1,1.0,,905,,1965,,497,,,,,https://www.redfin.com/FL/Surfside/9195-Collins-Ave-33154/unit-911/home/43284047,,,N,Y,25.8796776,-80.1217034
PAST SALE,,Condo/Co-op,3245 Virginia St #25,Miami,FL,33133,360000,2,1.0,,664,,1966,,542,,,,,https://www.redfin.com/FL/Miami/3245-Virginia-St-33133/unit-25/home/43356007,,,N,Y,25.7309431,-80.2407671
