SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-10-2023,Condo/Co-op,1345 Lincoln Rd #1101,Miami Beach,FL,33139,420000,1,1.5,BAYVIEW CONDO,718,,1972,,585,460,Sold,,,https://www.redfin.com/FL/Miami-Beach/1345-Lincoln-Rd-33139/unit-1101/home/42792879,MARMLS,A11413335,N,Y,25.7905592,-80.1432008
PAST SALE,July-11-2023,Condo/Co-op,18111 NW 68th Ave Unit H103,Hialeah,FL,33015,212000,1,1.0,VENETIAN GARDENS AT COUNT,883,,1970,,240,408,Sold,,,https://www.redfin.com/FL/Hialeah/18111-NW-68th-Ave-33015/unit-H103/home/43388701,MARMLS,A11398556,N,Y,25.9368038,-80.3101248
PAST SALE,August-9-2023,Condo/Co-op,60 SW 13th St #1814,Miami,FL,33130,465000,1,1.5,INFINITY AT BRICKELL COND,785,,2008,,592,823,Sold,,,https://www.redfin.com/FL/Miami/60-SW-13th-St-33130/unit-1814/home/43458912,MARMLS,A11411330,N,Y,25.7609697,-80.1943717
PAST SALE,September-18-2023,Condo/Co-op,725 NE 22nd St Unit 17A,Miami,FL,33137,940000,2,2.0,NEW WAVE CONDO,1400,,2006,,671,1314,Sold,,,https://www.redfin.com/FL/Miami/725-NE-22nd-St-33137/unit-17A/home/43359223,MARMLS,A11413594,N,Y,25.7985325,-80.1856539
PAST SALE,August-25-2023,Condo/Co-op,665 NE 25th St #1604,Miami,FL,33137,839000,2,2.5,ONYX ON THE BAY CONDO,1237,,2007,,678,1408,Sold,,,https://www.redfin.com/FL/Miami/665-NE-25th-St-33137/unit-1604/home/43394419,MARMLS,A11411818,N,Y,25.8012645,-80.1858065
PAST SALE,,Condo/Co-op,4101 Pine Tree Dr #1220,Miami Beach,FL,33140,525200,1,1.0,,835,,1974,,629,,,,,https://www.redfin.com/FL/Miami-Beach/4101-Pine-Tree-Dr-33140/unit-1220/home/42783383,,,N,Y,25.8140407,-80.1254986
PAST SALE,July-10-2023,Condo/Co-op,10 Venetian Way #1103,Miami Beach,FL,33139,2200000,2,2.5,THE GRAND VENETIAN CONDO,1463,,2001,,1504,1794,Sold,,,https://www.redfin.com/FL/Miami-Beach/10-Venetian-Way-33139/unit-1103/home/43275846,MARMLS,A11360679,N,Y,25.791132,-80.1466395
PAST SALE,August-31-2023,Condo/Co-op,350 S Miami Ave #3009,Miami,FL,33130,395000,1,1.0,WIND CONDO,740,,2008,,534,700,Sold,,,https://www.redfin.com/FL/Miami/350-S-Miami-Ave-33130/unit-3009/home/43412421,MARMLS,A11355203,N,Y,25.7704554,-80.1942628
PAST SALE,August-31-2023,Condo/Co-op,1000 Brickell Plz #4904,Miami,FL,33131,800000,1,1.0,BRICKELL FLATIRON CONDO,665,,2019,,1203,805,Sold,,,https://www.redfin.com/FL/Miami/1000-Brickell-Plz-33131/unit-4904/home/79135985,MARMLS,A11382874,N,Y,25.7642644,-80.192725
PAST SALE,September-19-2023,Condo/Co-op,5236 Fisher Island Dr #5236,Miami Beach,FL,33109,5500000,3,3.5,BAYVIEW FISHER ISL CONDO,2740,,1992,,2007,3501,Sold,,,https://www.redfin.com/FL/Miami-Beach/5236-Fisher-Island-Dr-33109/unit-5236/home/43102418,MARMLS,A11457493,N,Y,25.7626891,-80.1484152
