,TAXING AUTHORITY,2023 PRELIMINARY TAXABLE VALUE,2023 PRELIMINARY TAXABLE VALUE
0,KEY BISCAYNE,"$9,978,517,232","$9,978,517,232"
1,BAL HARBOUR,"$6,280,833,356","$6,280,833,356"
2,SOUTH MIAMI,"$2,616,274,873","$2,616,274,873"
4,MEDLEY,"$5,192,600,352","$5,192,600,352"
6,UNINCORPORATED MIAMI-DADE,"$112,682,352,503","$112,682,352,503"
11,NORTH BAY VILLAGE,"$1,469,291,321","$1,469,291,321"
12,WEST MIAMI,"$895,159,489","$895,159,489"
15,MIAMI GARDENS,"$7,890,732,663","$7,890,732,663"
19,HIALEAH GARDENS,"$2,096,680,545","$2,096,680,545"
20,MIAMI SPRINGS,"$1,605,558,349","$1,605,558,349"
24,BISCAYNE PARK,"$368,562,796","$368,562,796"
28,EL PORTAL,"$268,803,095","$268,803,095"
29,OPA-LOCKA,"$1,718,241,394","$1,718,241,394"
31,SURFSIDE,"$4,103,801,217","$4,103,801,217"
33,CORAL GABLES,"$22,642,968,475","$22,642,968,475"
36,SWEETWATER,"$3,825,557,441","$3,825,557,441"
39,MIAMI BEACH,"$51,560,772,230","$51,560,772,230"
41,SUNNY ISLES BEACH,"$15,968,407,601","$15,968,407,601"
42,PALMETTO BAY,"$4,172,017,316","$4,172,017,316"
44,PINECREST,"$6,821,658,384","$6,821,658,384"
46,MIAMI SHORES,"$1,756,307,731","$1,756,307,731"
47,NORTH MIAMI BEACH,"$4,750,543,371","$4,750,543,371"
48,MIAMI LAKES,"$4,515,345,099","$4,515,345,099"
49,VIRGINIA GARDENS,"$366,592,136","$366,592,136"
51,NORTH MIAMI,"$5,260,090,594","$5,260,090,594"
57,GOLDEN BEACH,"$1,656,778,376","$1,656,778,376"
60,CUTLER BAY,"$3,668,107,009","$3,668,107,009"
63,MIAMI,"$27,699,801,239","$27,699,801,239"
64,FLORIDA CITY,"$1,117,791,729","$1,117,791,729"
67,AVENTURA,"$12,506,035,242","$12,506,035,242"
69,HOMESTEAD,"$5,063,134,921","$5,063,134,921"
72,HIALEAH,"$17,549,966,595","$17,549,966,595"
74,DORAL,"$18,353,405,009","$18,353,405,009"
