SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,LIST AGENTS,LIST COMPANIES,BOUGHT AGENTS,BOUGHT COMPANIES
PAST SALE,August-4-2023,Condo/Co-op,9001 Collins Ave Unit S-207,Surfside,FL,33154,18500000,3,4.0,SURF CLUB CONDO,4375.0,,2017,,4229.0,22108.0,Sold,,,https://www.redfin.com/FL/Surfside/9001-Collins-Ave-33154/unit-S-207/home/79133343,MARMLS,A11364056,N,Y,25.8768475,-80.1214662," Ximena Penuela,  Kimberlyn Montilva","Fort Realty, LLC, Fort Realty, LLC", Dustin Nero,Douglas Elliman
PAST SALE,July-31-2023,Condo/Co-op,19575 Collins Ave #6,Sunny Isles Beach,FL,33160,7750000,4,5.5,REGALIA CONDO,4992.0,,2014,,1552.0,16530.0,Sold,,,https://www.redfin.com/FL/Sunny-Isles-Beach/19575-Collins-Ave-33160/unit-6/home/79136528,MARMLS,A11325069,N,Y,25.9569672,-80.1194349, Chad Carroll,"Compass Florida, LLC", Chad Carroll,"Compass Florida, LLC"
PAST SALE,August-3-2023,Condo/Co-op,4701 N Meridian Ave #302,Miami Beach,FL,33140,5025000,3,3.5,THE RITZ-CARLTON RESIDENCE,2912.0,,2019,,1726.0,4379.0,Sold,,,https://www.redfin.com/FL/Miami-Beach/4701-N-Meridian-Ave-33140/unit-302/home/79136271,MARMLS,A11366323,N,Y,25.8227618,-80.1321616," Darin Tansey,  Philip Freedman","Douglas Elliman, Douglas Elliman", Matthew Lill,The Corcoran Group
PAST SALE,August-2-2023,Condo/Co-op,2412 Fisher Island Dr #5102,Miami Beach,FL,33109,4400000,3,3.0,BAYSIDE VILLAGE CONDO,2234.0,,1986,,1970.0,7135.0,Sold,,,https://www.redfin.com/FL/Miami/2412-Fisher-Island-Dr-33109/unit-5102/home/43105280,MARMLS,A11296194,N,Y,25.75892,-80.143128," Jill Eber,  Judith Zeder","Coldwell Banker Realty, Coldwell Banker Realty", Liz Hogan,"Compass Florida, LLC"
PAST SALE,August-3-2023,Condo/Co-op,10101 Collins Ave Unit 7A,Bal Harbour,FL,33154,3900000,3,3.5,THE PALACE AT BAL HARBOUR,3110.0,,1994,,1254.0,3503.0,Sold,,,https://www.redfin.com/FL/Bal-Harbour/10101-Collins-Ave-33154/unit-7A/home/42900725,MARMLS,A11351185,N,Y,25.8926977,-80.1228812," Nicole Bouhadana,  Eva Bouhadana","Beachfront Realty Inc, Beachfront Realty Inc", Nacim Montanez,Miami Residence Inc.
PAST SALE,July-31-2023,Condo/Co-op,8701 Collins Ave #905,Miami Beach,FL,33154,3500000,2,2.5,8701 COLLINS AVE CONDO,1522.0,,2019,,2300.0,4538.0,Sold,,,https://www.redfin.com/FL/Surfside/8701-Collins-Ave-33154/unit-905/home/171967024,MARMLS,A11233645,N,Y,25.8720993,-80.1218779," Liz Hogan,  Karen Krotov","Compass Florida, LLC, Compass Florida, LLC", Carolina Arenas,Brown Harris Stevens
PAST SALE,August-1-2023,Condo/Co-op,2534 Fisher Island Dr #6304,Miami Beach,FL,33109,3500000,3,3.5,BAYSIDE VILLAGE CONDO,2744.0,,1986,,1276.0,7807.0,Sold,,,https://www.redfin.com/FL/Miami/2534-Fisher-Island-Dr-33109/unit-6304/home/43463020,MARMLS,A11283212,N,Y,25.75892,-80.143128, Karla Abaunza,Luxury Living Realty, Darin Feldman,Insignia International Properties
PAST SALE,August-2-2023,Condo/Co-op,5775 Collins Ave #504,Miami Beach,FL,33140,2250000,2,2.5,57 Ocean,1262.0,,2021,,1783.0,3200.0,Sold,,,https://www.redfin.com/FL/Miami-Beach/5775-Collins-Ave-33140/unit-504/home/42774516,MARMLS,A11373211,N,Y,25.8392568,-80.1203947, Mayan Van Der Miller,"Compass Florida, LLC"," Stephanie Dubugras,  Rejane Gomes de Paula","Fortune Christie's International Real Estate, Fortune Christie's International Real Estate"
PAST SALE,August-1-2023,Condo/Co-op,9100 W Bay Harbor Dr Unit 10D,Bay Harbor Islands,FL,33154,1900000,3,3.5,BLAIR HOUSE CONDO - WEST,2970.0,,1970,,640.0,3185.0,Sold,,,https://www.redfin.com/FL/Bay-Harbor-Islands/9100-W-Bay-Harbor-Dr-33154/unit-10D/home/43417410,MARMLS,A11366077,N,Y,25.8811835,-80.1300762, Cory Waldman,Coldwell Banker Realty, Cory Waldman,Coldwell Banker Realty
PAST SALE,August-2-2023,Condo/Co-op,4100 Island Blvd #1604,Aventura,FL,33160,1900000,3,3.5,BELLINI AT WILLIAMS ISLAN,2608.0,,2013,,729.0,3669.0,Sold,,,https://www.redfin.com/FL/Aventura/4100-Island-Blvd-33160/unit-1604/home/56742362,MARMLS,A11346076,N,Y,25.9411398,-80.1359672, Paulo Bomfim,BHHS EWM Realty, Natalie Sofi,"Compass Florida, LLC"
