,X,Y,ID,AdditionSQFT,ApplicationNumber,BuildingFinalLastInspDate,BuildingFinalLastInspResult,BuildingPermitStatusDescription,BuildingPermitStatusReasonDescr,Certificatecode,Certificatedate,CompanyAddress,CompanyCity,CompanyName,CompanyZip,DaysInCity,DaysInCityNumeric,DeliveryAddress,FirstSubmissionDate,FolioNumber,IsPermitFinal,IsPrivateProvider,IssuedDate,Latitude,Longitude,Miami21Zone,NewAdditionCost,PermitNumber,PlanAcceptedDate,PlanCreatedDate,ProcessNumber,PropertyType,RemodelingCost,RemSQFT,RequiredCertificate,ScopeofWork,Statusdate,TotalCost,TotalDaysInPlanReview,TotalDaysInPlanReviewNumeric,TotalSQFT,WorkItems,ObjectId
39112,-80.22309597,25.83189259,39704,91353.0,BD19001768,2023/01/05 12:00:00+00,,Final,All Inspections are finalized.,CO,2023/01/05 12:00:00,2950 SW 27 AV STE 200 ,MIAMI,ATLANTIC PACIFIC COMMUNITY BUILDERS LLC,33133.0,,,1501 NW 62 ST,,131140271250,YES,True,2020/10/21 09:42:00+00,25.83189259,-80.22309597,T4-L|T6-8-O,15986776.0,BD19001768001B001,2019-02-07 14:02:00+00:00,2019/01/31 10:07:00+00,BD19001768001,Commercial,0.0,0.0,CO,NEW CONSTRUCTION,2023/01/05 12:00:00+00,15986776.0,621 Day(s) 19 Hour(s) 40 Minute(s) ,621.0,91353.0,MULTI-FAMILY (RENTAL),39113
39116,-80.22309597,25.83189259,39708,91353.0,BD19001768,,,Final,All Inspections are finalized.,,,2950 SW 27 AV STE 200 ,MIAMI,ATLANTIC PACIFIC COMMUNITY BUILDERS LLC,33133.0,,,1501 NW 62 ST,,131140271250,YES,True,2020/12/23 12:23:00+00,25.83189259,-80.22309597,T4-L|T6-8-O,,BD19001768001PW001,2019-02-07 14:02:00+00:00,2019/01/31 10:07:00+00,BD19001768001,Commercial,,0.0,CO,NEW CONSTRUCTION,2022/09/26 07:52:00+00,,684 Day(s) 22 Hour(s) 21 Minute(s) ,684.0,91353.0,BUILDING LINE AND GRADE SURVEY|PAVING OR RESURFACING,39117
39121,-80.22309597,25.83189259,39711,0.0,BD19001768,2021/10/29 07:24:00+00,,Final,All Inspections are finalized.,,,2950 SW 27 AV STE 200 ,MIAMI,ATLANTIC PACIFIC COMMUNITY BUILDERS LLC,33133.0,,,1501 NW 62 ST,,131140271250,YES,True,2021/01/08 11:23:00+00,25.83189259,-80.22309597,T4-L|T6-8-O,,BD19001768006B001,2020-12-16 12:44:00+00:00,2020/12/03 14:52:00+00,BD19001768006,Commercial,,0.0,CO,NEW CONSTRUCTION,2021/10/29 07:24:00+00,15000.0,22 Day(s) 22 Hour(s) 39 Minute(s) ,22.0,0.0,SHORING / RE-SHORING,39122
39140,-80.22309597,25.83189259,39729,0.0,BD19001768,2022/10/03 14:34:00+00,,Final,All Inspections are finalized.,,,2950 SW 27 AV STE 200 ,MIAMI,ATLANTIC PACIFIC COMMUNITY BUILDERS LLC,33133.0,,,1501 NW 62 ST,,131140271250,YES,True,2021/11/03 12:25:00+00,25.83189259,-80.22309597,T4-L|T6-8-O,,BD19001768023B001,2021-09-10 10:05:00+00:00,2021/09/03 13:22:00+00,BD19001768023,Commercial,,0.0,CO,NEW CONSTRUCTION,2022/10/03 14:34:00+00,2000.0,54 Day(s) 2 Hour(s) 20 Minute(s) ,54.0,0.0,RAILINGS - METAL,39141
39142,-80.22309597,25.83189259,39731,0.0,BD19001768,2022/09/30 07:03:00+00,,Final,All Inspections are finalized.,,,2950 SW 27 AV STE 200 ,MIAMI,ATLANTIC PACIFIC COMMUNITY BUILDERS LLC,33133.0,,,1501 NW 62 ST,,131140271250,YES,True,2021/11/22 11:55:00+00,25.83189259,-80.22309597,T4-L|T6-8-O,3000.0,BD19001768025B001,2021-10-27 16:15:00+00:00,2021/10/15 15:45:00+00,BD19001768025,Commercial,,0.0,CO,NEW CONSTRUCTION,2022/09/30 07:03:00+00,3000.0,25 Day(s) 19 Hour(s) 40 Minute(s) ,25.0,0.0,GATE MANUAL,39143
39143,-80.22309597,25.83189259,39732,0.0,BD19001768,2022/09/26 06:59:00+00,,Final,All Inspections are finalized.,,,2950 SW 27 AV STE 200 ,MIAMI,ATLANTIC PACIFIC COMMUNITY BUILDERS LLC,33133.0,,,1501 NW 62 ST,,131140271250,YES,True,2022/03/22 15:55:00+00,25.83189259,-80.22309597,T4-L|T6-8-O,,BD19001768026B001,2022-02-22 16:35:00+00:00,2021/10/25 10:38:00+00,BD19001768026,Commercial,,0.0,CO,NEW CONSTRUCTION,2022/09/26 06:59:00+00,134000.0,27 Day(s) 23 Hour(s) 20 Minute(s) ,27.0,0.0,POST TENSION,39144
39167,-80.22307075,25.83167027,39756,53043.0,BD19001787,2022/10/28 16:24:00+00,,Final,All Inspections are finalized.,CO,2022/10/28 16:24:00,2950 SW 27 AV STE 200 ,MIAMI,ATLANTIC PACIFIC COMMUNITY BUILDERS LLC,33133.0,,,1500 NW 62 ST,,131140352030,YES,True,2020/10/21 09:36:00+00,25.83167027,-80.22307075,T6-8-O,9282526.0,BD19001787001B001,2019-02-07 14:36:00+00:00,2019/01/31 12:27:00+00,BD19001787001,Commercial,0.0,0.0,CO,NEW CONSTRUCTION,2022/10/28 16:24:00+00,9282526.0,621 Day(s) 19 Hour(s) 0 Minute(s) ,621.0,53043.0,RETAIL OF GOODS:SUPERMARKET/CLOTHING/FURNITURE/BOOK STORE/ART PRODUCTS|MULTI-FAMILY (RENTAL)|WATERPROOFING,39168
39171,-80.22307075,25.83167027,39760,53043.0,BD19001787,,,Final,All Inspections are finalized.,,,2950 SW 27 AV STE 200 ,MIAMI,ATLANTIC PACIFIC COMMUNITY BUILDERS LLC,33133.0,,,1500 NW 62 ST,,131140352030,YES,True,2020/12/23 12:25:00+00,25.83167027,-80.22307075,T6-8-O,,BD19001787001PW001,2019-02-07 14:36:00+00:00,2019/01/31 12:27:00+00,BD19001787001,Commercial,,0.0,CO,NEW CONSTRUCTION,2022/10/21 15:48:00+00,,684 Day(s) 21 Hour(s) 49 Minute(s) ,684.0,53043.0,BUILDING LINE AND GRADE SURVEY|PAVING OR RESURFACING,39172
39174,-80.22307075,25.83167027,39763,0.0,BD19001787,2021/09/03 07:54:00+00,,Final,All Inspections are finalized.,,,2950 SW 27 AV STE 200 ,MIAMI,ATLANTIC PACIFIC COMMUNITY BUILDERS LLC,33133.0,,,1500 NW 62 ST,,131140352030,YES,True,2021/01/07 14:17:00+00,25.83167027,-80.22307075,T6-8-O,,BD19001787004B001,2020-12-16 13:22:00+00:00,2020/12/14 11:42:00+00,BD19001787004,Commercial,,0.0,CO,NEW CONSTRUCTION,2021/09/03 07:54:00+00,10000.0,22 Day(s) 0 Hour(s) 55 Minute(s) ,22.0,0.0,SHORING / RE-SHORING,39175
39198,-80.22307075,25.83167027,39787,0.0,BD19001787,2022/03/07 08:04:00+00,,Final,All Inspections are finalized.,,,2950 SW 27 AV STE 200 ,MIAMI,ATLANTIC PACIFIC COMMUNITY BUILDERS LLC,33133.0,,,1500 NW 62 ST,,131140352030,YES,True,2021/11/03 12:28:00+00,25.83167027,-80.22307075,T6-8-O,,BD19001787029B001,2021-09-10 10:03:00+00:00,2021/09/03 12:37:00+00,BD19001787029,Commercial,,0.0,CO,NEW CONSTRUCTION,2022/03/07 08:04:00+00,2000.0,54 Day(s) 2 Hour(s) 25 Minute(s) ,54.0,0.0,RAILINGS - METAL,39199
