,X,Y,ID,AdditionSQFT,ApplicationNumber,BuildingFinalLastInspDate,BuildingFinalLastInspResult,BuildingPermitStatusDescription,BuildingPermitStatusReasonDescr,Certificatecode,Certificatedate,CompanyAddress,CompanyCity,CompanyName,CompanyZip,DaysInCity,DaysInCityNumeric,DeliveryAddress,FirstSubmissionDate,FolioNumber,IsPermitFinal,IsPrivateProvider,IssuedDate,Latitude,Longitude,Miami21Zone,NewAdditionCost,PermitNumber,PlanAcceptedDate,PlanCreatedDate,ProcessNumber,PropertyType,RemodelingCost,RemSQFT,RequiredCertificate,ScopeofWork,Statusdate,TotalCost,TotalDaysInPlanReview,TotalDaysInPlanReviewNumeric,TotalSQFT,WorkItems,ObjectId
4140,-80.2196126170483,25.7857001191282,4106,0.0,BD15008466,2020/02/24 09:12:00+00,,Final,All Inspections are finalized.,,,7901 SW 6 Ct ,PLANTATION,BALFOUR BEATTY CONSTRUCTION LLC,33324.0,8 Day(s) 19 Hour(s) 42 Minute(s) ,8.0,1500 NW NORTH RIVER DR,2019/08/19 14:23:00+00,131350110050,YES,True,2019/08/30 15:38:00+00,25.7857001191282,-80.2196126170483,T6-24-O,,BD15008466028B001,2019-08-19 14:22:00+00:00,2019/08/16 11:54:00+00,BD15008466028,Commercial,,0.0,CO,NEW CONSTRUCTION,2020/02/24 09:12:00+00,1500.0,11 Day(s) 1 Hour(s) 16 Minute(s) ,11.0,0.0,STRUCTURAL SUPPORT FOR EQUIPMENT,4141
4141,-80.2196126170483,25.7857001191282,4107,0.0,BD15008466,2020/07/16 12:09:00+00,,Final,All Inspections are finalized.,,,7901 SW 6 Ct ,PLANTATION,BALFOUR BEATTY CONSTRUCTION LLC,33324.0,12 Day(s) 17 Hour(s) 24 Minute(s) ,12.0,1500 NW NORTH RIVER DR,2019/08/19 14:21:00+00,131350110050,YES,True,2019/09/25 10:53:00+00,25.7857001191282,-80.2196126170483,T6-24-O,,BD15008466029B001,2019-08-19 14:20:00+00:00,2019/08/16 12:21:00+00,BD15008466029,Commercial,,0.0,CO,NEW CONSTRUCTION,2020/07/16 12:09:00+00,3000.0,36 Day(s) 20 Hour(s) 33 Minute(s) ,36.0,0.0,DECK WATERPROOFING,4142
4146,-80.2196126170483,25.7857001191282,4204,0.0,BD15008466,,,Final,All Inspections are finalized.,,,7901 SW 6 Ct ,PLANTATION,BALFOUR BEATTY CONSTRUCTION LLC,33324.0,26 Day(s) 23 Hour(s) 32 Minute(s) ,26.0,1500 NW NORTH RIVER DR,2019/12/20 11:10:00+00,131350110050,YES,True,2020/02/03 11:16:00+00,25.7857001191282,-80.2196126170483,T6-24-O,,BD15008466124B001,2019-12-20 11:10:00+00:00,2019/11/26 20:20:00+00,BD15008466124,Commercial,,0.0,CO,NEW CONSTRUCTION,2020/05/04 08:58:00+00,5000.0,45 Day(s) 0 Hour(s) 6 Minute(s) ,45.0,0.0,GARAGE OR ROLL-UP DOOR,4147
4163,-80.2196126170483,25.7857001191282,4207,0.0,BD15008466,2020/07/17 13:03:00+00,,Final,All Inspections are finalized.,,,7901 SW 6 Ct ,PLANTATION,BALFOUR BEATTY CONSTRUCTION LLC,33324.0,139 Day(s) 21 Hour(s) 44 Minute(s) ,139.0,1500 NW NORTH RIVER DR,2019/12/19 13:50:00+00,131350110050,YES,True,2020/07/16 14:56:00+00,25.7857001191282,-80.2196126170483,T6-24-O,,BD15008466128B001,2019-12-19 13:48:00+00:00,2019/12/18 09:42:00+00,BD15008466128,Commercial,,0.0,CO,NEW CONSTRUCTION,2020/07/17 13:03:00+00,1000.0,210 Day(s) 1 Hour(s) 8 Minute(s) ,210.0,0.0,FLOOD BARRIERS,4164
4234,-80.2196126170483,25.7857001191282,4149,0.0,BD15008466,2021/04/12 07:26:00+00,,Final,All Inspections are finalized.,,,7901 SW 6 Ct ,PLANTATION,BALFOUR BEATTY CONSTRUCTION LLC,33324.0,24 Day(s) 18 Hour(s) 13 Minute(s) ,24.0,1500 NW NORTH RIVER DR,2019/09/13 09:07:00+00,131350110050,YES,True,2019/12/16 10:57:00+00,25.7857001191282,-80.2196126170483,T6-24-O,,BD15008466069P001,2019-09-13 09:07:00+00:00,2019/09/12 14:20:00+00,BD15008466069,Commercial,,0.0,CO,NEW CONSTRUCTION,2021/04/12 07:26:00+00,25000.0,94 Day(s) 1 Hour(s) 50 Minute(s) ,94.0,0.0,PAVING AND DRAINAGE,4235
4245,-80.2196126170483,25.7857001191282,4160,0.0,BD15008466,2020/04/08 09:36:00+00,,Final,All Inspections are finalized.,,,7901 SW 6 Ct ,PLANTATION,BALFOUR BEATTY CONSTRUCTION LLC,33324.0,7 Day(s) 17 Hour(s) 54 Minute(s) ,7.0,1500 NW NORTH RIVER DR,2019/11/05 14:53:00+00,131350110050,YES,True,2020/02/12 16:43:00+00,25.7857001191282,-80.2196126170483,T6-24-O,,BD15008466081B001,2019-11-05 14:53:00+00:00,2019/10/30 09:46:00+00,BD15008466081,Commercial,,0.0,CO,NEW CONSTRUCTION,2020/04/08 09:36:00+00,10000.0,99 Day(s) 1 Hour(s) 50 Minute(s) ,99.0,0.0,PRE-CAST / STRUCTURAL,4246
4266,-80.2196126170483,25.7857001191282,4181,0.0,BD15008466,2020/07/23 08:03:00+00,,Final,All Inspections are finalized.,,,7901 SW 6 Ct ,PLANTATION,BALFOUR BEATTY CONSTRUCTION LLC,33324.0,145 Day(s) 15 Hour(s) 35 Minute(s) ,145.0,1500 NW NORTH RIVER DR,2020/02/11 16:02:00+00,131350110050,YES,True,2020/07/17 16:17:00+00,25.7857001191282,-80.2196126170483,T6-24-O,2000000.0,BD15008466101B001,2020-02-11 16:02:00+00:00,2019/11/26 17:03:00+00,BD15008466101,Commercial,0.0,0.0,CO,NEW CONSTRUCTION,2020/07/23 08:03:00+00,2000000.0,157 Day(s) 0 Hour(s) 15 Minute(s) ,157.0,0.0,STEEL/GLASS CLAD CANOPY,4267
4271,-80.2196126170483,25.7857001191282,4186,0.0,BD15008466,,,Final,All Inspections are finalized.,,,7901 SW 6 Ct ,PLANTATION,BALFOUR BEATTY CONSTRUCTION LLC,33324.0,32 Day(s) 4 Hour(s) 24 Minute(s) ,32.0,1500 NW NORTH RIVER DR,2019/12/23 11:52:00+00,131350110050,YES,True,2020/02/03 14:58:00+00,25.7857001191282,-80.2196126170483,T6-24-O,,BD15008466106B001,2019-12-23 11:52:00+00:00,2019/11/26 18:16:00+00,BD15008466106,Commercial,,0.0,CO,NEW CONSTRUCTION,2020/07/17 13:04:00+00,10000.0,42 Day(s) 3 Hour(s) 6 Minute(s) ,42.0,0.0,REGULAR EXTERIOR:DOORS,4272
4953,-80.2196126170483,25.7857001191282,4089,0.0,BD15008466,2019/11/15 09:08:00+00,,Final,All Inspections are finalized.,,,7901 SW 6 Ct ,PLANTATION,BALFOUR BEATTY CONSTRUCTION LLC,33324.0,5 Day(s) 16 Hour(s) 11 Minute(s) ,5.0,1500 NW NORTH RIVER DR,2019/06/26 17:15:00+00,131350110050,YES,True,2019/07/16 14:10:00+00,25.7857001191282,-80.2196126170483,T6-24-O,50000.0,BD15008466012B001,2019-06-26 17:14:00+00:00,2019/06/25 09:42:00+00,BD15008466012,Commercial,0.0,0.0,CO,NEW CONSTRUCTION,2019/11/15 09:08:00+00,50000.0,19 Day(s) 20 Hour(s) 56 Minute(s) ,19.0,0.0,SHORING / RE-SHORING,4954
4962,-80.2196126170483,25.7857001191282,4091,0.0,BD15008466,2020/07/16 12:09:00+00,,Final,All Inspections are finalized.,,,7901 SW 6 Ct ,PLANTATION,BALFOUR BEATTY CONSTRUCTION LLC,33324.0,3 Day(s) 18 Hour(s) 50 Minute(s) ,3.0,1500 NW NORTH RIVER DR,2019/07/01 15:31:00+00,131350110050,YES,True,2019/07/16 14:15:00+00,25.7857001191282,-80.2196126170483,T6-24-O,,BD15008466015B001,2019-07-01 15:31:00+00:00,2019/06/28 12:19:00+00,BD15008466015,Commercial,,0.0,CO,NEW CONSTRUCTION,2020/07/16 12:09:00+00,35000.0,14 Day(s) 22 Hour(s) 44 Minute(s) ,14.0,0.0,JOISTS/STRUCTURAL STEEL,4963
