,X,Y,ID,AdditionSQFT,ApplicationNumber,BuildingFinalLastInspDate,BuildingFinalLastInspResult,BuildingPermitStatusDescription,BuildingPermitStatusReasonDescr,Certificatecode,Certificatedate,CompanyAddress,CompanyCity,CompanyName,CompanyZip,DaysInCity,DaysInCityNumeric,DeliveryAddress,FirstSubmissionDate,FolioNumber,IsPermitFinal,IsPrivateProvider,IssuedDate,Latitude,Longitude,Miami21Zone,NewAdditionCost,PermitNumber,PlanAcceptedDate,PlanCreatedDate,ProcessNumber,PropertyType,RemodelingCost,RemSQFT,RequiredCertificate,ScopeofWork,Statusdate,TotalCost,TotalDaysInPlanReview,TotalDaysInPlanReviewNumeric,TotalSQFT,WorkItems,ObjectId
8784,-80.1962066875941,25.801605748158,8554,0.0,BD16009637,2019/04/18 09:39:00+00,,Final,All Inspections are finalized.,,,2100 PONCE DE LEON BLVD. SUITE 825,CORAL GABLES,BEAUCHAMP CONSTRUCTION CO.  INC. ,33134.0,7 Day(s) 1 Hour(s) 4 Minute(s) ,7.0,51 NW 26 ST,2019/03/18 07:37:00+00,131250290151,YES,True,2019/03/27 08:54:00+00,25.801605748158,-80.1962066875941,T5-L,,BD16009637003B001,2019-03-18 07:35:00+00:00,2019/03/15 09:24:00+00,BD16009637003,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/04/18 09:39:00+00,2000.0,9 Day(s) 1 Hour(s) 19 Minute(s) ,9.0,0.0,SHORING / RE-SHORING,8785
8799,-80.1962066875941,25.801605748158,8557,0.0,BD16009637,,,Final,All Inspections are finalized.,,,2100 PONCE DE LEON BLVD. SUITE 825,CORAL GABLES,BEAUCHAMP CONSTRUCTION CO.  INC. ,33134.0,6 Day(s) 17 Hour(s) 5 Minute(s) ,6.0,51 NW 26 ST,2019/03/20 17:11:00+00,131250290151,YES,True,2019/04/17 15:44:00+00,25.801605748158,-80.1962066875941,T5-L,,BD16009637006B001,2019-03-20 17:11:00+00:00,2019/03/20 10:40:00+00,BD16009637006,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/10/11 08:19:00+00,2000.0,27 Day(s) 22 Hour(s) 33 Minute(s) ,27.0,0.0,REGULAR EXTERIOR:DOORS,8800
8803,-80.1997794409381,25.8006540613015,8374,0.0,BD16009247,2019/02/06 09:13:00+00,,Final,All Inspections are finalized.,,,2100 PONCE DE LEON BLVD. SUITE 825,CORAL GABLES,BEAUCHAMP CONSTRUCTION CO.  INC. ,33134.0,2 Day(s) 21 Hour(s) 41 Minute(s) ,2.0,240 NW 25 ST,2018/07/24 18:27:00+00,131250330360,YES,True,2018/09/25 12:13:00+00,25.8006540613015,-80.1997794409381,T5-O,,BD16009247020B001,2018-07-24 18:25:00+00:00,2018/07/24 10:10:00+00,BD16009247020,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/02/06 09:13:00+00,125000.0,62 Day(s) 17 Hour(s) 48 Minute(s) ,62.0,0.0,LIGHT GAUGE STEEL FRAMING,8804
8821,-80.1962066875941,25.801605748158,8560,0.0,BD16009637,2019/11/26 09:00:00+00,,Final,All Inspections are finalized.,,,2100 PONCE DE LEON BLVD. SUITE 825,CORAL GABLES,BEAUCHAMP CONSTRUCTION CO.  INC. ,33134.0,5 Day(s) 21 Hour(s) 24 Minute(s) ,5.0,51 NW 26 ST,2019/04/10 16:33:00+00,131250290151,YES,True,2019/04/18 14:24:00+00,25.801605748158,-80.1962066875941,T5-L,,BD16009637008B001,2019-04-10 16:32:00+00:00,2019/04/03 10:38:00+00,BD16009637008,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/11/26 09:00:00+00,2000.0,7 Day(s) 21 Hour(s) 52 Minute(s) ,7.0,0.0,DECK WATERPROOFING,8822
8823,-80.1997794409381,25.8006540613015,8377,0.0,BD16009247,2019/05/17 09:38:00+00,,Final,All Inspections are finalized.,,,2100 PONCE DE LEON BLVD. SUITE 825,CORAL GABLES,BEAUCHAMP CONSTRUCTION CO.  INC. ,33134.0,4 Day(s) 1 Hour(s) 31 Minute(s) ,4.0,240 NW 25 ST,2018/08/02 10:57:00+00,131250330360,YES,True,2018/08/08 15:30:00+00,25.8006540613015,-80.1997794409381,T5-O,,BD16009247023B001,2018-08-02 10:57:00+00:00,2018/08/02 10:19:00+00,BD16009247023,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/05/17 09:38:00+00,55000.0,6 Day(s) 4 Hour(s) 33 Minute(s) ,6.0,0.0,RAILINGS - METAL,8824
8828,-80.1962066875941,25.801605748158,8561,0.0,BD16009637,,,Final,All Inspections are finalized.,,,2100 PONCE DE LEON BLVD. SUITE 825,CORAL GABLES,BEAUCHAMP CONSTRUCTION CO.  INC. ,33134.0,5 Day(s) 23 Hour(s) 24 Minute(s) ,5.0,51 NW 26 ST,2019/04/10 15:40:00+00,131250290151,YES,True,2019/04/17 15:41:00+00,25.801605748158,-80.1962066875941,T5-L,0.0,BD16009637009BR001,2019-04-10 15:39:00+00:00,2019/04/09 11:13:00+00,BD16009637009,Commercial,0.0,0.0,CO,NEW CONSTRUCTION,2019/10/11 08:24:00+00,300000.0,7 Day(s) 0 Hour(s) 2 Minute(s) ,7.0,0.0,FLAT ROOF,8829
8837,-80.1997794409381,25.8006540613015,8379,0.0,BD16009247,2019/08/05 09:39:00+00,,Final,All Inspections are finalized.,,,2100 PONCE DE LEON BLVD. SUITE 825,CORAL GABLES,BEAUCHAMP CONSTRUCTION CO.  INC. ,33134.0,19 Day(s) 5 Hour(s) 51 Minute(s) ,19.0,240 NW 25 ST,2018/09/20 08:08:00+00,131250330360,YES,True,2018/10/10 13:51:00+00,25.8006540613015,-80.1997794409381,T5-O,,BD16009247026B001,2018-09-20 08:08:00+00:00,2018/09/18 16:30:00+00,BD16009247026,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/08/05 09:39:00+00,39000.0,20 Day(s) 5 Hour(s) 43 Minute(s) ,20.0,0.0,LIGHT GAUGE STEEL FRAMING,8838
8852,-80.1997794409381,25.8006540613015,8381,0.0,BD16009247,2019/06/03 10:20:00+00,,Final,All Inspections are finalized.,,,2100 PONCE DE LEON BLVD. SUITE 825,CORAL GABLES,BEAUCHAMP CONSTRUCTION CO.  INC. ,33134.0,39 Day(s) 10 Hour(s) 6 Minute(s) ,39.0,240 NW 25 ST,2018/11/15 19:05:00+00,131250330360,YES,True,2019/03/07 11:25:00+00,25.8006540613015,-80.1997794409381,T5-O,,BD16009247028B001,2018-11-15 19:05:00+00:00,2018/11/14 10:17:00+00,BD16009247028,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/06/03 10:20:00+00,12000.0,111 Day(s) 16 Hour(s) 20 Minute(s) ,111.0,0.0,RAILINGS - METAL,8853
8870,-80.1962066875941,25.801605748158,8567,0.0,BD16009637,,,Final,All Inspections are finalized.,,,2100 PONCE DE LEON BLVD. SUITE 825,CORAL GABLES,BEAUCHAMP CONSTRUCTION CO.  INC. ,33134.0,11 Day(s) 20 Hour(s) 20 Minute(s) ,11.0,51 NW 26 ST,2019/06/20 13:35:00+00,131250290151,YES,True,2019/07/08 10:25:00+00,25.801605748158,-80.1962066875941,T5-L,,BD16009637015B001,2019-06-20 13:34:00+00:00,2019/06/20 08:19:00+00,BD16009637015,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/09/18 10:49:00+00,15000.0,17 Day(s) 20 Hour(s) 51 Minute(s) ,17.0,0.0,LOUVRES,8871
8871,-80.1997794409381,25.8006540613015,8384,0.0,BD16009247,,,Final,All Inspections are finalized.,,,2100 PONCE DE LEON BLVD. SUITE 825,CORAL GABLES,BEAUCHAMP CONSTRUCTION CO.  INC. ,33134.0,21 Day(s) 10 Hour(s) 35 Minute(s) ,21.0,240 NW 25 ST,2018/11/20 15:29:00+00,131250330360,YES,True,2019/02/07 09:56:00+00,25.8006540613015,-80.1997794409381,T5-O,,BD16009247030B001,2018-11-20 15:28:00+00:00,2018/11/20 15:05:00+00,BD16009247030,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/05/07 09:26:00+00,7000.0,78 Day(s) 18 Hour(s) 28 Minute(s) ,78.0,0.0,LOUVRES,8872
