,X,Y,ID,AdditionSQFT,ApplicationNumber,BuildingFinalLastInspDate,BuildingFinalLastInspResult,BuildingPermitStatusDescription,BuildingPermitStatusReasonDescr,Certificatecode,Certificatedate,CompanyAddress,CompanyCity,CompanyName,CompanyZip,DaysInCity,DaysInCityNumeric,DeliveryAddress,FirstSubmissionDate,FolioNumber,IsPermitFinal,IsPrivateProvider,IssuedDate,Latitude,Longitude,Miami21Zone,NewAdditionCost,PermitNumber,PlanAcceptedDate,PlanCreatedDate,ProcessNumber,PropertyType,RemodelingCost,RemSQFT,RequiredCertificate,ScopeofWork,Statusdate,TotalCost,TotalDaysInPlanReview,TotalDaysInPlanReviewNumeric,TotalSQFT,WorkItems,ObjectId
8969,-80.2329997806005,25.7325346024864,8096,0.0,BD16008430,2019/01/11 10:44:00+00,,Final,All Inspections are finalized.,,,2727 SW 26 AVE ,MIAMI,CITY CONSTRUCTION GROUP INC,33133.0,24 Day(s) 17 Hour(s) 41 Minute(s) ,24.0,2550 S BAYSHORE DR,2018/06/29 11:23:00+00,141220011630,YES,False,2018/11/09 15:09:00+00,25.7325346024864,-80.2329997806005,CS,,BD16008430010B001,2018-06-29 11:23:00+00:00,2018/06/29 11:02:00+00,BD16008430010,Commercial,,0.0,CO,REMODELING/REPAIRS,2019/01/11 10:44:00+00,2500.0,133 Day(s) 3 Hour(s) 46 Minute(s) ,133.0,0.0,ALUMINIUM CLAD CANOPY,8970
8972,-80.2329997806005,25.7325346024864,8097,0.0,BD16008430,,,Final,All Inspections are finalized.,,,2727 SW 26 AVE ,MIAMI,CITY CONSTRUCTION GROUP INC,33133.0,29 Day(s) 22 Hour(s) 56 Minute(s) ,29.0,2550 S BAYSHORE DR,2018/06/29 11:22:00+00,141220011630,YES,False,2018/12/26 10:04:00+00,25.7325346024864,-80.2329997806005,CS,,BD16008430012B001,2018-06-29 11:22:00+00:00,2018/06/29 11:11:00+00,BD16008430012,Commercial,,0.0,CO,REMODELING/REPAIRS,2019/01/08 10:36:00+00,8000.0,179 Day(s) 22 Hour(s) 42 Minute(s) ,179.0,0.0,REGULAR EXTERIOR:DOORS|STOREFRONT,8973
20733,-80.2392177144664,25.729653552992,20057,0.0,BD17018577,2019/01/28 12:29:00+00,,Final,All Inspections are finalized.,,,2727 SW 26 AVE ,MIAMI,CITY CONSTRUCTION GROUP INC,33133.0,9 Day(s) 2 Hour(s) 8 Minute(s) ,9.0,3321 MARY ST,2018/12/24 08:54:00+00,141213840040,YES,False,2019/01/04 10:55:00+00,25.729653552992,-80.2392177144664,T6-12-O,,BD17018577010B001,2018-12-24 08:53:00+00:00,2018/12/20 09:46:00+00,BD17018577010,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/01/28 12:29:00+00,12000.0,11 Day(s) 2 Hour(s) 2 Minute(s) ,11.0,0.0,LIGHT GAUGE STEEL FRAMING,20734
26781,-80.17278081,25.85473482,26367,50.0,BD18009453,2021/01/28 14:29:00+00,,Final,All Inspections are finalized.,,,2727 SW 26 AVE ,MIAMI,CITY CONSTRUCTION GROUP INC,33133.0,60 Day(s) 11 Hour(s) 24 Minute(s) ,60.0,1181 NE 86 ST,2018/06/29 14:32:00+00,132080050230,YES,False,2019/02/20 11:42:00+00,25.85473482,-80.17278081,T3-R,6250.0,BD18009453001B001,2018-06-29 14:31:00+00:00,2018/06/18 08:52:00+00,BD18009453001,Residential,625.0,10.0,CO,ADDITION AND REMODELING,2021/01/28 14:29:00+00,6875.0,235 Day(s) 21 Hour(s) 11 Minute(s) ,235.0,60.0,SINGLE FAMILY RESIDENCE,26782
26823,-80.17278081,25.85473482,26372,0.0,BD18009453,,,Final,All Inspections are finalized.,,,2727 SW 26 AVE ,MIAMI,CITY CONSTRUCTION GROUP INC,33133.0,233 Day(s) 8 Hour(s) 47 Minute(s) ,233.0,1181 NE 86 ST,2019/12/02 17:18:00+00,132080050230,YES,False,2020/10/23 08:55:00+00,25.85473482,-80.17278081,T3-R,,BD18009453004B001,2019-12-02 17:17:00+00:00,2019/11/26 13:39:00+00,BD18009453004,Residential,,0.0,CO,ADDITION AND REMODELING,2021/01/28 14:29:00+00,22000.0,325 Day(s) 15 Hour(s) 38 Minute(s) ,325.0,0.0,WINDOWS|REGULAR EXTERIOR:DOORS,26824
27802,-80.19283677,25.75863421,27070,0.0,BD18010294,2019/01/14 15:51:00+00,,Final,All Inspections are finalized.,CC,2019/03/06 15:06:00,2727 SW 26 AVE ,MIAMI,CITY CONSTRUCTION GROUP INC,33133.0,10 Day(s) 22 Hour(s) 23 Minute(s) ,10.0,1450 BRICKELL AV 2530,2018/07/03 13:43:00+00,141391170010,YES,False,2018/07/20 09:55:00+00,25.75863421,-80.19283677,T6-48A-O,,BD18010294001B001,2018-07-03 13:42:00+00:00,2018/06/29 12:14:00+00,BD18010294001,Commercial,184975.0,2114.0,CC,REMODELING/REPAIRS,2019/01/14 15:51:00+00,184975.0,16 Day(s) 20 Hour(s) 13 Minute(s) ,16.0,2114.0,PROFESSIONAL OFFICE / BANK / FINANCIAL INSTITUTION,27803
28677,-80.1898943196517,25.7711292719694,28155,0.0,BD18011584,2022/05/02 11:11:00+00,,Final,All Inspections are finalized.,CC,2022/05/04 11:45:00,2727 SW 26 AVE ,MIAMI,CITY CONSTRUCTION GROUP INC,33133.0,91 Day(s) 5 Hour(s) 37 Minute(s) ,91.0,333 SE 2 AV 1950,2018/08/20 12:07:00+00,101140301051,YES,False,2020/04/17 09:46:00+00,25.7711292719694,-80.1898943196517,T6-80-O,0.0,BD18011584001B001,2018-08-20 12:06:00+00:00,2018/07/24 13:36:00+00,BD18011584001,Commercial,91875.0,1787.0,CC,REMODELING/REPAIRS,2022/05/02 11:11:00+00,91875.0,605 Day(s) 21 Hour(s) 40 Minute(s) ,605.0,1787.0,PROFESSIONAL OFFICE / BANK / FINANCIAL INSTITUTION,28678
29254,-80.19283678,25.75863421,29020,0.0,BD18012462,2019/04/10 09:48:00+00,,Final,All Inspections are finalized.,CC,2019/04/11 10:10:00,2727 SW 26 AVE ,MIAMI,CITY CONSTRUCTION GROUP INC,33133.0,48 Day(s) 21 Hour(s) 5 Minute(s) ,48.0,1450 BRICKELL AV 1400,2018/08/23 11:42:00+00,141391170010,YES,False,2018/10/18 14:53:00+00,25.75863421,-80.19283678,T6-48A-O,,BD18012462001B001,2018-08-23 11:41:00+00:00,2018/08/07 14:18:00+00,BD18012462001,Commercial,187700.0,2145.0,CC,REMODELING/REPAIRS,2019/04/10 09:48:00+00,187700.0,56 Day(s) 3 Hour(s) 12 Minute(s) ,56.0,2145.0,PROFESSIONAL OFFICE / BANK / FINANCIAL INSTITUTION,29255
31077,-80.19284517,25.75860193,31168,0.0,BD18014353,2019/03/08 15:03:00+00,,Final,All Inspections are finalized.,CC,2019/03/11 15:45:00,2727 SW 26 AVE ,MIAMI,CITY CONSTRUCTION GROUP INC,33133.0,5 Day(s) 16 Hour(s) 46 Minute(s) ,5.0,1450 BRICKELL AV 1560,2018/09/17 10:36:00+00,141391170010,YES,False,2018/10/24 13:26:00+00,25.75860193,-80.19284517,T6-48A-O,,BD18014353001B001,2018-09-17 10:35:00+00:00,2018/09/13 19:16:00+00,BD18014353001,Commercial,96250.0,1100.0,CC,REMODELING/REPAIRS,2019/03/08 15:03:00+00,96250.0,37 Day(s) 2 Hour(s) 51 Minute(s) ,37.0,1100.0,PROFESSIONAL OFFICE / BANK / FINANCIAL INSTITUTION,31078
33165,-80.18585835,25.76692166,33422,0.0,BD18016422,2019/02/22 12:58:00+00,,Final,All Inspections are finalized.,CC,2019/02/22 14:18:00,2727 SW 26 AVE ,MIAMI,CITY CONSTRUCTION GROUP INC,33133.0,59 Day(s) 2 Hour(s) 23 Minute(s) ,59.0,601 BRICKELL KEY DR 401,2018/10/22 08:01:00+00,142060510030,YES,False,2018/12/20 16:03:00+00,25.76692166,-80.18585835,T6-36A-O,,BD18016422001B001,2018-10-22 08:01:00+00:00,2018/10/19 13:54:00+00,BD18016422001,Commercial,410288.0,4689.0,CC,REMODELING/REPAIRS,2019/02/22 12:58:00+00,410288.0,59 Day(s) 8 Hour(s) 2 Minute(s) ,59.0,4689.0,PROFESSIONAL OFFICE / BANK / FINANCIAL INSTITUTION,33166
