,X,Y,ID,AdditionSQFT,ApplicationNumber,BuildingFinalLastInspDate,BuildingFinalLastInspResult,BuildingPermitStatusDescription,BuildingPermitStatusReasonDescr,Certificatecode,Certificatedate,CompanyAddress,CompanyCity,CompanyName,CompanyZip,DaysInCity,DaysInCityNumeric,DeliveryAddress,FirstSubmissionDate,FolioNumber,IsPermitFinal,IsPrivateProvider,IssuedDate,Latitude,Longitude,Miami21Zone,NewAdditionCost,PermitNumber,PlanAcceptedDate,PlanCreatedDate,ProcessNumber,PropertyType,RemodelingCost,RemSQFT,RequiredCertificate,ScopeofWork,Statusdate,TotalCost,TotalDaysInPlanReview,TotalDaysInPlanReviewNumeric,TotalSQFT,WorkItems,ObjectId
4067,-80.185923510091,25.8022797130935,4301,0.0,BD15008595,2023/01/11 14:29:00+00,,Final,All Inspections are finalized.,,,4691 SW 71 Ave ,MIAMI,CIVIC CONSTRUCTION COMPANY INC,33155.0,173 Day(s) 21 Hour(s) 12 Minute(s) ,173.0,700 NE 26 TER,2021/05/11 13:59:00+00,132300530010,YES,True,2022/01/17 11:06:00+00,25.8022797130935,-80.185923510091,T6-36A-L,,BD15008595012B001,2021-05-11 13:57:00+00:00,2021/05/11 13:27:00+00,BD15008595012,Commercial,,0.0,CO,NEW CONSTRUCTION,2023/01/11 14:29:00+00,800000.0,250 Day(s) 21 Hour(s) 9 Minute(s) ,250.0,0.0,POST TENSION,4068
4133,-80.185923510091,25.8022797130935,4305,0.0,BD15008595,2023/04/07 09:12:00+00,,Final,All Inspections are finalized.,,,4691 SW 71 Ave ,MIAMI,CIVIC CONSTRUCTION COMPANY INC,33155.0,621 Day(s) 3 Hour(s) 40 Minute(s) ,621.0,700 NE 26 TER,2021/06/03 15:20:00+00,132300530010,YES,True,2023/04/03 09:29:00+00,25.8022797130935,-80.185923510091,T6-36A-L,,BD15008595018B001,2021-06-03 15:19:00+00:00,2021/06/03 15:00:00+00,BD15008595018,Commercial,,0.0,CO,NEW CONSTRUCTION,2023/04/07 09:12:00+00,2100000.0,668 Day(s) 18 Hour(s) 10 Minute(s) ,668.0,0.0,SHORING / RE-SHORING,4134
4192,-80.185923510091,25.8022797130935,4316,0.0,BD15008595,2023/05/05 16:31:00+00,,Final,All Inspections are finalized.,,,4691 SW 71 Ave ,MIAMI,CIVIC CONSTRUCTION COMPANY INC,33155.0,527 Day(s) 3 Hour(s) 29 Minute(s) ,527.0,700 NE 26 TER,2021/10/19 15:20:00+00,132300530010,YES,True,2023/05/01 14:23:00+00,25.8022797130935,-80.185923510091,T6-36A-L,,BD15008595036B001,2021-10-19 15:19:00+00:00,2021/10/19 10:27:00+00,BD15008595036,Commercial,,0.0,CO,NEW CONSTRUCTION,2023/05/05 16:31:00+00,175000.0,558 Day(s) 23 Hour(s) 4 Minute(s) ,558.0,0.0,STEEL/GLASS CLAD CANOPY,4193
4201,-80.185923510091,25.8022797130935,4318,0.0,BD15008595,2023/03/10 09:39:00+00,,Final,All Inspections are finalized.,,,4691 SW 71 Ave ,MIAMI,CIVIC CONSTRUCTION COMPANY INC,33155.0,415 Day(s) 2 Hour(s) 25 Minute(s) ,415.0,700 NE 26 TER,2021/11/17 10:17:00+00,132300530010,YES,True,2023/02/02 11:32:00+00,25.8022797130935,-80.185923510091,T6-36A-L,,BD15008595040B001,2021-11-17 10:17:00+00:00,2021/10/19 11:15:00+00,BD15008595040,Commercial,,0.0,CO,NEW CONSTRUCTION,2023/03/10 09:39:00+00,20000.0,442 Day(s) 1 Hour(s) 15 Minute(s) ,442.0,0.0,FLOOD BARRIERS,4202
4292,-80.185923510091,25.8022797130935,4319,0.0,BD15008595,2023/04/13 13:07:00+00,,Final,All Inspections are finalized.,,,4691 SW 71 Ave ,MIAMI,CIVIC CONSTRUCTION COMPANY INC,33155.0,139 Day(s) 23 Hour(s) 8 Minute(s) ,139.0,700 NE 26 TER,2021/10/19 15:30:00+00,132300530010,YES,True,2022/07/06 18:14:00+00,25.8022797130935,-80.185923510091,T6-36A-L,,BD15008595041B001,2021-10-19 15:28:00+00:00,2021/10/19 11:18:00+00,BD15008595041,Commercial,,0.0,CO,NEW CONSTRUCTION,2023/04/13 13:07:00+00,240000.0,260 Day(s) 2 Hour(s) 46 Minute(s) ,260.0,0.0,JOISTS/STRUCTURAL STEEL,4293
4451,-80.185923510091,25.8022797130935,4329,0.0,BD15008595,2023/05/05 16:31:00+00,,Final,All Inspections are finalized.,,,4691 SW 71 Ave ,MIAMI,CIVIC CONSTRUCTION COMPANY INC,33155.0,504 Day(s) 16 Hour(s) 46 Minute(s) ,504.0,700 NE 26 TER,2021/12/01 12:18:00+00,132300530010,YES,True,2023/04/24 15:29:00+00,25.8022797130935,-80.185923510091,T6-36A-L,,BD15008595055B001,2021-12-01 12:18:00+00:00,2021/12/01 11:52:00+00,BD15008595055,Commercial,,0.0,CO,NEW CONSTRUCTION,2023/05/05 16:31:00+00,75000.0,509 Day(s) 3 Hour(s) 11 Minute(s) ,509.0,0.0,JOISTS/STRUCTURAL STEEL,4452
4713,-80.185923510091,25.8022797130935,4359,0.0,BD15008595,2023/04/13 13:14:00+00,,Active,Permit is Active. Ready for Inspections.,,,4691 SW 71 Ave ,MIAMI,CIVIC CONSTRUCTION COMPANY INC,33155.0,53 Day(s) 1 Hour(s) 44 Minute(s) ,53.0,700 NE 26 TER,2023/01/13 08:45:00+00,132300530010,NO,True,2023/04/03 09:29:00+00,25.8022797130935,-80.185923510091,T6-36A-L,,BD15008595091B001,2023-01-13 08:44:00+00:00,2022/11/29 11:31:00+00,BD15008595091,Commercial,,0.0,CO,NEW CONSTRUCTION,2023/04/03 09:29:00+00,15000.0,80 Day(s) 0 Hour(s) 45 Minute(s) ,80.0,0.0,STRUCTURAL SUPPORT FOR EQUIPMENT,4714
4733,-80.185923510091,25.8022797130935,4364,0.0,BD15008595,2023/05/05 16:33:00+00,,Final,All Inspections are finalized.,,,4691 SW 71 Ave ,MIAMI,CIVIC CONSTRUCTION COMPANY INC,33155.0,28 Day(s) 6 Hour(s) 59 Minute(s) ,28.0,700 NE 26 TER,2023/03/23 12:32:00+00,132300530010,YES,True,2023/04/21 12:10:00+00,25.8022797130935,-80.185923510091,T6-36A-L,,BD15008595099B001,2023-03-23 12:31:00+00:00,2023/03/09 17:02:00+00,BD15008595099,Commercial,,0.0,CO,NEW CONSTRUCTION,2023/05/05 16:33:00+00,210000.0,28 Day(s) 23 Hour(s) 39 Minute(s) ,28.0,0.0,EIFS/CLADDING,4734
4739,-80.185923510091,25.8022797130935,4365,280.0,BD15008595,,,Active,Permit is Active. Ready for Inspections.,,,4691 SW 71 Ave ,MIAMI,CIVIC CONSTRUCTION COMPANY INC,33155.0,62 Day(s) 6 Hour(s) 22 Minute(s) ,62.0,700 NE 26 TER,2023/04/11 08:22:00+00,132300530010,NO,True,2023/06/15 10:15:00+00,25.8022797130935,-80.185923510091,T6-36A-L,141000.0,BD15008595100B001,2023-04-11 08:19:00+00:00,2023/04/10 11:21:00+00,BD15008595100,Commercial,,0.0,CO,NEW CONSTRUCTION,2023/06/15 10:15:00+00,141000.0,65 Day(s) 1 Hour(s) 56 Minute(s) ,65.0,280.0,CLUB HOUSE/CABANA/POOL CABANA - COMMERCIAL,4740
4907,-80.185923510091,25.8022797130935,4293,0.0,BD15008595,2023/04/07 09:11:00+00,,Final,All Inspections are finalized.,,,4691 SW 71 Ave ,MIAMI,CIVIC CONSTRUCTION COMPANY INC,33155.0,13 Day(s) 2 Hour(s) 31 Minute(s) ,13.0,700 NE 26 TER,2020/03/03 07:29:00+00,132300530010,YES,True,2021/02/03 17:28:00+00,25.8022797130935,-80.185923510091,T6-36A-L,,BD15008595006B001,2020-03-03 07:29:00+00:00,2020/02/27 10:52:00+00,BD15008595006,Commercial,,0.0,CO,NEW CONSTRUCTION,2023/04/07 09:11:00+00,5000.0,337 Day(s) 9 Hour(s) 59 Minute(s) ,337.0,0.0,SHORING / RE-SHORING,4908
15497,-80.2406734178447,25.7397138828941,15039,0.0,BD17009366,2020/04/14 07:10:00+00,,Final,All Inspections are finalized.,,,4691 SW 71 Ave ,MIAMI,CIVIC CONSTRUCTION COMPANY INC,33155.0,34 Day(s) 6 Hour(s) 13 Minute(s) ,34.0,2900 SW 28 LN,2020/01/08 06:59:00+00,141160380010,YES,True,2020/02/19 15:20:00+00,25.7397138828941,-80.2406734178447,T6-8-O,,BD17009366002B001,2020-01-08 06:58:00+00:00,2019/12/26 16:58:00+00,BD17009366002,Commercial,,0.0,CO,NEW CONSTRUCTION,2020/04/14 07:10:00+00,50000.0,42 Day(s) 8 Hour(s) 22 Minute(s) ,42.0,0.0,RAILINGS-GLASS,15498
15499,-80.2406734178447,25.7397138828941,15040,0.0,BD17009366,2020/05/20 07:43:00+00,,Final,All Inspections are finalized.,,,4691 SW 71 Ave ,MIAMI,CIVIC CONSTRUCTION COMPANY INC,33155.0,15 Day(s) 17 Hour(s) 37 Minute(s) ,15.0,2900 SW 28 LN,2019/12/30 15:36:00+00,141160380010,YES,True,2020/01/31 17:27:00+00,25.7397138828941,-80.2406734178447,T6-8-O,,BD17009366003B001,2019-12-30 15:36:00+00:00,2019/12/26 17:12:00+00,BD17009366003,Commercial,,0.0,CO,NEW CONSTRUCTION,2020/05/20 07:43:00+00,15000.0,32 Day(s) 1 Hour(s) 51 Minute(s) ,32.0,0.0,SHORING / RE-SHORING,15500
15622,-80.2406734178447,25.7397138828941,15052,0.0,BD17009366,2020/05/26 10:40:00+00,,Final,All Inspections are finalized.,,,4691 SW 71 Ave ,MIAMI,CIVIC CONSTRUCTION COMPANY INC,33155.0,12 Day(s) 3 Hour(s) 18 Minute(s) ,12.0,2900 SW 28 LN,2020/01/14 12:13:00+00,141160380010,YES,True,2020/02/14 11:02:00+00,25.7397138828941,-80.2406734178447,T6-8-O,,BD17009366020B001,2020-01-14 12:12:00+00:00,2020/01/08 14:00:00+00,BD17009366020,Commercial,,0.0,CO,NEW CONSTRUCTION,2020/05/26 10:40:00+00,18000.0,30 Day(s) 22 Hour(s) 50 Minute(s) ,30.0,0.0,POST TENSION,15623
15628,-80.2406734178447,25.7397138828941,15053,0.0,BD17009366,2020/05/20 07:45:00+00,,Final,All Inspections are finalized.,,,4691 SW 71 Ave ,MIAMI,CIVIC CONSTRUCTION COMPANY INC,33155.0,9 Day(s) 17 Hour(s) 28 Minute(s) ,9.0,2900 SW 28 LN,2020/01/14 17:07:00+00,141160380010,YES,True,2020/01/31 17:27:00+00,25.7397138828941,-80.2406734178447,T6-8-O,,BD17009366021B001,2020-01-14 17:07:00+00:00,2020/01/08 14:06:00+00,BD17009366021,Commercial,,0.0,CO,NEW CONSTRUCTION,2020/05/20 07:45:00+00,60000.0,17 Day(s) 0 Hour(s) 20 Minute(s) ,17.0,0.0,SHORING / RE-SHORING,15629
15640,-80.2406734178447,25.7397138828941,15054,0.0,BD17009366,2020/05/20 07:45:00+00,,Final,All Inspections are finalized.,,,4691 SW 71 Ave ,MIAMI,CIVIC CONSTRUCTION COMPANY INC,33155.0,9 Day(s) 22 Hour(s) 2 Minute(s) ,9.0,2900 SW 28 LN,2020/01/14 16:16:00+00,141160380010,YES,True,2020/01/31 17:27:00+00,25.7397138828941,-80.2406734178447,T6-8-O,,BD17009366022B001,2020-01-14 16:16:00+00:00,2020/01/09 08:45:00+00,BD17009366022,Commercial,,0.0,CO,NEW CONSTRUCTION,2020/05/20 07:45:00+00,15000.0,17 Day(s) 1 Hour(s) 11 Minute(s) ,17.0,0.0,SHORING / RE-SHORING,15641
15645,-80.2406734178447,25.7397138828941,15055,0.0,BD17009366,2020/05/20 07:46:00+00,,Final,All Inspections are finalized.,,,4691 SW 71 Ave ,MIAMI,CIVIC CONSTRUCTION COMPANY INC,33155.0,9 Day(s) 21 Hour(s) 45 Minute(s) ,9.0,2900 SW 28 LN,2020/01/14 16:46:00+00,141160380010,YES,True,2020/03/06 14:49:00+00,25.7397138828941,-80.2406734178447,T6-8-O,,BD17009366023B001,2020-01-14 16:46:00+00:00,2020/01/09 08:53:00+00,BD17009366023,Commercial,,0.0,CO,NEW CONSTRUCTION,2020/05/20 07:46:00+00,15000.0,51 Day(s) 22 Hour(s) 3 Minute(s) ,51.0,0.0,SHORING / RE-SHORING,15646
