,X,Y,ID,AdditionSQFT,ApplicationNumber,BuildingFinalLastInspDate,BuildingFinalLastInspResult,BuildingPermitStatusDescription,BuildingPermitStatusReasonDescr,Certificatecode,Certificatedate,CompanyAddress,CompanyCity,CompanyName,CompanyZip,DaysInCity,DaysInCityNumeric,DeliveryAddress,FirstSubmissionDate,FolioNumber,IsPermitFinal,IsPrivateProvider,IssuedDate,Latitude,Longitude,Miami21Zone,NewAdditionCost,PermitNumber,PlanAcceptedDate,PlanCreatedDate,ProcessNumber,PropertyType,RemodelingCost,RemSQFT,RequiredCertificate,ScopeofWork,Statusdate,TotalCost,TotalDaysInPlanReview,TotalDaysInPlanReviewNumeric,TotalSQFT,WorkItems,ObjectId
3714,-80.1885732069948,25.7708238709217,3955,0.0,BD15008401,2020/05/05 10:48:00+00,,Final,All Inspections are finalized.,,,5959 BLUE LAGOON DR ,MIAMI,COASTAL CONSTRUCTION OF MIAMI DADE COUNTY  INC. dba COASTAL CONSTRUCTION OF MIAMIDADE,33142.0,6 Day(s) 2 Hour(s) 57 Minute(s) ,6.0,300 BISCAYNE BLWY,2019/11/06 09:41:00+00,101140301010,YES,False,2019/11/13 11:40:00+00,25.7708238709217,-80.1885732069948,T6-80-O,,BD15008401008B001,2019-11-06 09:40:00+00:00,2019/10/24 14:14:00+00,BD15008401008,Commercial,,0.0,CO,NEW CONSTRUCTION,2020/05/05 10:48:00+00,2000.0,7 Day(s) 2 Hour(s) 0 Minute(s) ,7.0,0.0,SHORING / RE-SHORING,3715
4736,-80.1885732069948,25.7708238709217,4052,0.0,BD15008401,2023/05/05 10:16:00+00,,Active,Permit is Active. Ready for Inspections.,,,5959 BLUE LAGOON DR ,MIAMI,COASTAL CONSTRUCTION OF MIAMI DADE COUNTY  INC. dba COASTAL CONSTRUCTION OF MIAMIDADE,33142.0,54 Day(s) 22 Hour(s) 54 Minute(s) ,54.0,300 BISCAYNE BLWY,2022/03/09 12:13:00+00,101140301010,NO,False,2022/05/16 08:05:00+00,25.7708238709217,-80.1885732069948,T6-80-O,,BD15008401100B001,2022-03-09 12:12:00+00:00,2022/03/09 11:47:00+00,BD15008401100,Commercial,,0.0,CO,NEW CONSTRUCTION,2022/05/16 08:05:00+00,813082.0,67 Day(s) 19 Hour(s) 53 Minute(s) ,67.0,0.0,STRUCTURAL SUPPORT FOR EQUIPMENT,4737
5618,-80.24217511,25.72781763,5546,0.0,BD15014334,2019/02/26 13:53:00+00,,Final,All Inspections are finalized.,,,5959 BLUE LAGOON DR ,MIAMI,COASTAL CONSTRUCTION OF MIAMI DADE COUNTY  INC. dba COASTAL CONSTRUCTION OF MIAMIDADE,33142.0,37 Day(s) 22 Hour(s) 11 Minute(s) ,37.0,2988 MC FARLANE RD,2018/12/21 14:18:00+00,141210430091,YES,False,2019/02/01 15:57:00+00,25.72781763,-80.24217511,T5-O,,BD15014334021B001,2018-12-21 14:17:00+00:00,2018/12/19 08:54:00+00,BD15014334021,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/02/26 13:53:00+00,90000.0,42 Day(s) 1 Hour(s) 40 Minute(s) ,42.0,0.0,POST TENSION,5619
5627,-80.24217511,25.72781763,5547,0.0,BD15014334,,,Final,All Inspections are finalized.,,,5959 BLUE LAGOON DR ,MIAMI,COASTAL CONSTRUCTION OF MIAMI DADE COUNTY  INC. dba COASTAL CONSTRUCTION OF MIAMIDADE,33142.0,1 Day(s) 15 Hour(s) 38 Minute(s) ,1.0,2988 MC FARLANE RD,2019/01/15 17:26:00+00,141210430091,YES,False,2019/01/22 18:40:00+00,25.72781763,-80.24217511,T5-O,,BD15014334022B001,2019-01-15 17:25:00+00:00,2019/01/15 09:51:00+00,BD15014334022,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/03/05 10:44:00+00,25000.0,7 Day(s) 1 Hour(s) 15 Minute(s) ,7.0,0.0,REGULAR EXTERIOR:DOORS,5628
8238,-80.1823103935841,25.835537480206,8504,0.0,BD16009516,2020/08/17 19:41:00+00,,Final,All Inspections are finalized.,,,5959 BLUE LAGOON DR ,MIAMI,COASTAL CONSTRUCTION OF MIAMI DADE COUNTY  INC. dba COASTAL CONSTRUCTION OF MIAMIDADE,33142.0,10 Day(s) 1 Hour(s) 2 Minute(s) ,10.0,6445 NE 7 AV,2019/10/18 14:27:00+00,132180000031,YES,True,2019/11/04 15:16:00+00,25.835537480206,-80.1823103935841,T5-R,,BD16009516017B001,2019-10-18 14:27:00+00:00,2019/10/17 14:34:00+00,BD16009516017,Commercial,,0.0,CO,NEW CONSTRUCTION,2020/08/17 19:41:00+00,40000.0,17 Day(s) 0 Hour(s) 49 Minute(s) ,17.0,0.0,LIGHT GAUGE STEEL FRAMING,8239
8445,-80.1823103935841,25.835537480206,8509,0.0,BD16009516,2020/02/13 09:20:00+00,,Final,All Inspections are finalized.,,,5959 BLUE LAGOON DR ,MIAMI,COASTAL CONSTRUCTION OF MIAMI DADE COUNTY  INC. dba COASTAL CONSTRUCTION OF MIAMIDADE,33142.0,10 Day(s) 19 Hour(s) 5 Minute(s) ,10.0,6445 NE 7 AV,2020/01/16 13:53:00+00,132180000031,YES,True,2020/01/31 13:49:00+00,25.835537480206,-80.1823103935841,T5-R,,BD16009516022B001,2020-01-16 13:52:00+00:00,2020/01/14 14:18:00+00,BD16009516022,Commercial,,0.0,CO,NEW CONSTRUCTION,2020/02/13 09:20:00+00,8500.0,14 Day(s) 23 Hour(s) 57 Minute(s) ,14.0,0.0,SHORING / RE-SHORING,8446
8464,-80.1823103935841,25.835537480206,8510,0.0,BD16009516,,,Final,All Inspections are finalized.,,,5959 BLUE LAGOON DR ,MIAMI,COASTAL CONSTRUCTION OF MIAMI DADE COUNTY  INC. dba COASTAL CONSTRUCTION OF MIAMIDADE,33142.0,6 Day(s) 18 Hour(s) 11 Minute(s) ,6.0,6445 NE 7 AV,2020/01/21 16:22:00+00,132180000031,YES,True,2020/02/05 09:45:00+00,25.835537480206,-80.1823103935841,T5-R,,BD16009516023B001,2020-01-21 16:21:00+00:00,2020/01/17 14:01:00+00,BD16009516023,Commercial,,0.0,CO,NEW CONSTRUCTION,2020/08/17 19:40:00+00,8600.0,14 Day(s) 17 Hour(s) 24 Minute(s) ,14.0,0.0,REGULAR EXTERIOR:DOORS,8465
8486,-80.1823103935841,25.835537480206,8513,0.0,BD16009516,2020/08/05 19:12:00+00,,Final,All Inspections are finalized.,,,5959 BLUE LAGOON DR ,MIAMI,COASTAL CONSTRUCTION OF MIAMI DADE COUNTY  INC. dba COASTAL CONSTRUCTION OF MIAMIDADE,33142.0,65 Day(s) 23 Hour(s) 49 Minute(s) ,65.0,6445 NE 7 AV,2020/02/28 11:55:00+00,132180000031,YES,True,2020/05/14 08:13:00+00,25.835537480206,-80.1823103935841,T5-R,,BD16009516026B001,2020-02-28 11:55:00+00:00,2020/02/26 15:31:00+00,BD16009516026,Commercial,,0.0,CO,NEW CONSTRUCTION,2020/08/05 19:12:00+00,2000.0,75 Day(s) 20 Hour(s) 18 Minute(s) ,75.0,0.0,RAILINGS-GLASS,8487
8580,-80.1823103935841,25.835537480206,8525,0.0,BD16009516,,,Final,All Inspections are finalized.,,,5959 BLUE LAGOON DR ,MIAMI,COASTAL CONSTRUCTION OF MIAMI DADE COUNTY  INC. dba COASTAL CONSTRUCTION OF MIAMIDADE,33142.0,19 Day(s) 16 Hour(s) 20 Minute(s) ,19.0,6445 NE 7 AV,2020/04/24 16:16:00+00,132180000031,YES,True,2020/05/18 08:55:00+00,25.835537480206,-80.1823103935841,T5-R,,BD16009516042B001,2020-04-24 16:08:00+00:00,2020/04/24 15:49:00+00,BD16009516042,Commercial,,0.0,CO,NEW CONSTRUCTION,2020/05/26 19:38:00+00,95000.0,23 Day(s) 16 Hour(s) 47 Minute(s) ,23.0,0.0,LOUVRES,8581
8604,-80.1823103935841,25.835537480206,8529,0.0,BD16009516,2020/07/14 14:54:00+00,,Final,All Inspections are finalized.,,,5959 BLUE LAGOON DR ,MIAMI,COASTAL CONSTRUCTION OF MIAMI DADE COUNTY  INC. dba COASTAL CONSTRUCTION OF MIAMIDADE,33142.0,9 Day(s) 20 Hour(s) 36 Minute(s) ,9.0,6445 NE 7 AV,2020/06/05 11:27:00+00,132180000031,YES,True,2020/06/18 15:55:00+00,25.835537480206,-80.1823103935841,T5-R,,BD16009516047B001,2020-06-05 11:27:00+00:00,2020/06/05 11:22:00+00,BD16009516047,Commercial,,0.0,CO,NEW CONSTRUCTION,2020/07/14 14:54:00+00,20000.0,13 Day(s) 4 Hour(s) 28 Minute(s) ,13.0,0.0,RAILINGS - METAL|STAIRS - METAL,8605
