,X,Y,ID,AdditionSQFT,ApplicationNumber,BuildingFinalLastInspDate,BuildingFinalLastInspResult,BuildingPermitStatusDescription,BuildingPermitStatusReasonDescr,Certificatecode,Certificatedate,CompanyAddress,CompanyCity,CompanyName,CompanyZip,DaysInCity,DaysInCityNumeric,DeliveryAddress,FirstSubmissionDate,FolioNumber,IsPermitFinal,IsPrivateProvider,IssuedDate,Latitude,Longitude,Miami21Zone,NewAdditionCost,PermitNumber,PlanAcceptedDate,PlanCreatedDate,ProcessNumber,PropertyType,RemodelingCost,RemSQFT,RequiredCertificate,ScopeofWork,Statusdate,TotalCost,TotalDaysInPlanReview,TotalDaysInPlanReviewNumeric,TotalSQFT,WorkItems,ObjectId
12573,-80.2836131022624,25.7782884570527,12128,0.0,BD17001604,2019/09/18 10:27:00+00,,Final,All Inspections are finalized.,,,6201 SW 70 ST ,MIAMI,ESTATE GENERAL CONTRACTORS LLC,33143.0,61 Day(s) 9 Hour(s) 54 Minute(s) ,61.0,5479 NW 7 ST,2018/09/19 16:50:00+00,131310110360,YES,True,2018/11/30 14:34:00+00,25.7782884570527,-80.2836131022624,T6-8-L,,BD17001604006B001,2018-09-19 16:50:00+00:00,2018/09/19 12:22:00+00,BD17001604006,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/09/18 10:27:00+00,540000.0,71 Day(s) 21 Hour(s) 44 Minute(s) ,71.0,0.0,RAILINGS - METAL|ALUMINIUM CLAD CANOPY,12574
12575,-80.2836131022624,25.7782884570527,12129,0.0,BD17001604,2019/04/10 09:10:00+00,,Final,All Inspections are finalized.,,,6201 SW 70 ST ,MIAMI,ESTATE GENERAL CONTRACTORS LLC,33143.0,6 Day(s) 22 Hour(s) 16 Minute(s) ,6.0,5479 NW 7 ST,2018/09/19 16:54:00+00,131310110360,YES,True,2018/10/17 10:06:00+00,25.7782884570527,-80.2836131022624,T6-8-L,,BD17001604007B001,2018-09-19 16:54:00+00:00,2018/09/19 12:28:00+00,BD17001604007,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/04/10 09:10:00+00,20000.0,27 Day(s) 17 Hour(s) 12 Minute(s) ,27.0,0.0,CATWALK,12576
12580,-80.2836131022624,25.7782884570527,12130,0.0,BD17001604,2019/02/26 09:26:00+00,,Final,All Inspections are finalized.,,,6201 SW 70 ST ,MIAMI,ESTATE GENERAL CONTRACTORS LLC,33143.0,14 Day(s) 20 Hour(s) 30 Minute(s) ,14.0,5479 NW 7 ST,2018/10/30 18:32:00+00,131310110360,YES,True,2018/12/11 16:44:00+00,25.7782884570527,-80.2836131022624,T6-8-L,,BD17001604009B001,2018-10-30 18:32:00+00:00,2018/10/25 09:56:00+00,BD17001604009,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/02/26 09:26:00+00,35000.0,41 Day(s) 22 Hour(s) 12 Minute(s) ,41.0,0.0,SHORING / RE-SHORING,12581
12622,-80.2836131022624,25.7782884570527,12136,0.0,BD17001604,,,Final,All Inspections are finalized.,,,6201 SW 70 ST ,MIAMI,ESTATE GENERAL CONTRACTORS LLC,33143.0,19 Day(s) 19 Hour(s) 16 Minute(s) ,19.0,5479 NW 7 ST,2019/01/29 17:43:00+00,131310110360,YES,True,2019/03/12 15:12:00+00,25.7782884570527,-80.2836131022624,T6-8-L,,BD17001604017BR001,2019-01-29 17:42:00+00:00,2019/01/29 10:16:00+00,BD17001604017,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/09/27 10:10:00+00,180000.0,41 Day(s) 21 Hour(s) 30 Minute(s) ,41.0,0.0,ROOF WATERPROOFING,12623
12628,-80.2836131022624,25.7782884570527,12137,0.0,BD17001604,2019/08/21 10:30:00+00,,Final,All Inspections are finalized.,,,6201 SW 70 ST ,MIAMI,ESTATE GENERAL CONTRACTORS LLC,33143.0,26 Day(s) 22 Hour(s) 9 Minute(s) ,26.0,5479 NW 7 ST,2019/01/29 17:41:00+00,131310110360,YES,True,2019/03/01 11:03:00+00,25.7782884570527,-80.2836131022624,T6-8-L,,BD17001604018B001,2019-01-29 17:41:00+00:00,2019/01/29 10:22:00+00,BD17001604018,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/08/21 10:30:00+00,230000.0,30 Day(s) 17 Hour(s) 22 Minute(s) ,30.0,0.0,DECK WATERPROOFING,12629
12634,-80.2836131022624,25.7782884570527,12138,0.0,BD17001604,2019/07/09 10:35:00+00,,Final,All Inspections are finalized.,,,6201 SW 70 ST ,MIAMI,ESTATE GENERAL CONTRACTORS LLC,33143.0,7 Day(s) 19 Hour(s) 48 Minute(s) ,7.0,5479 NW 7 ST,2019/03/21 13:31:00+00,131310110360,YES,True,2019/04/03 10:29:00+00,25.7782884570527,-80.2836131022624,T6-8-L,,BD17001604019B001,2019-03-21 13:30:00+00:00,2019/03/21 09:23:00+00,BD17001604019,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/07/09 10:35:00+00,170000.0,12 Day(s) 20 Hour(s) 59 Minute(s) ,12.0,0.0,POST TENSION,12635
12668,-80.2836131022624,25.7782884570527,12142,0.0,BD17001604,2019/10/10 09:24:00+00,,Final,All Inspections are finalized.,,,6201 SW 70 ST ,MIAMI,ESTATE GENERAL CONTRACTORS LLC,33143.0,28 Day(s) 20 Hour(s) 15 Minute(s) ,28.0,5479 NW 7 ST,2019/04/23 13:51:00+00,131310110360,YES,True,2019/05/24 09:02:00+00,25.7782884570527,-80.2836131022624,T6-8-L,,BD17001604022B001,2019-04-23 13:50:00+00:00,2019/04/22 11:42:00+00,BD17001604022,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/10/10 09:24:00+00,25000.0,30 Day(s) 19 Hour(s) 12 Minute(s) ,30.0,0.0,RAILINGS-GLASS,12669
12745,-80.2836131022624,25.7782884570527,12154,0.0,BD17001604,2019/10/10 09:25:00+00,,Final,All Inspections are finalized.,,,6201 SW 70 ST ,MIAMI,ESTATE GENERAL CONTRACTORS LLC,33143.0,6 Day(s) 19 Hour(s) 55 Minute(s) ,6.0,5479 NW 7 ST,2019/09/25 15:09:00+00,131310110360,YES,True,2019/10/03 15:01:00+00,25.7782884570527,-80.2836131022624,T6-8-L,,BD17001604034B001,2019-09-25 15:08:00+00:00,2019/09/19 11:51:00+00,BD17001604034,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/10/10 09:25:00+00,8000.0,7 Day(s) 23 Hour(s) 53 Minute(s) ,7.0,0.0,TRELLIS,12746
12762,-80.2836131022624,25.7782884570527,12156,0.0,BD17001604,,,Final,All Inspections are finalized.,,,6201 SW 70 ST ,MIAMI,ESTATE GENERAL CONTRACTORS LLC,33143.0,3 Day(s) 0 Hour(s) 37 Minute(s) ,3.0,5479 NW 7 ST,2019/09/30 15:09:00+00,131310110360,YES,True,2019/10/09 12:05:00+00,25.7782884570527,-80.2836131022624,T6-8-L,,BD17001604036B001,2019-09-30 15:09:00+00:00,2019/09/27 10:20:00+00,BD17001604036,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/10/10 09:24:00+00,10000.0,8 Day(s) 20 Hour(s) 56 Minute(s) ,8.0,0.0,GARAGE OR ROLL-UP DOOR,12763
40033,-80.19878101,25.78080195,40103,2018.0,BD19002081,2021/07/30 07:22:00+00,,Final,All Inspections are finalized.,CC,2021/08/27 14:19:00,6201 SW 70 ST ,MIAMI,ESTATE GENERAL CONTRACTORS LLC,33143.0,,,269 NW 7 ST,,131360780001,YES,True,2020/07/28 11:31:00+00,25.78080195,-80.19878101,T6-12-O,281000.0,BD19002081001B001,2019-02-15 15:12:00+00:00,2019/02/05 14:06:00+00,BD19002081001,Commercial,0.0,0.0,CC,NEW CONSTRUCTION,2021/08/31 14:46:00+00,281000.0,528 Day(s) 20 Hour(s) 19 Minute(s) ,528.0,2018.0,RECREATIONAL FACILITY,40034
