,X,Y,ID,AdditionSQFT,ApplicationNumber,BuildingFinalLastInspDate,BuildingFinalLastInspResult,BuildingPermitStatusDescription,BuildingPermitStatusReasonDescr,Certificatecode,Certificatedate,CompanyAddress,CompanyCity,CompanyName,CompanyZip,DaysInCity,DaysInCityNumeric,DeliveryAddress,FirstSubmissionDate,FolioNumber,IsPermitFinal,IsPrivateProvider,IssuedDate,Latitude,Longitude,Miami21Zone,NewAdditionCost,PermitNumber,PlanAcceptedDate,PlanCreatedDate,ProcessNumber,PropertyType,RemodelingCost,RemSQFT,RequiredCertificate,ScopeofWork,Statusdate,TotalCost,TotalDaysInPlanReview,TotalDaysInPlanReviewNumeric,TotalSQFT,WorkItems,ObjectId
8816,-80.1891213,25.80311573,8185,0.0,BD16008777,,,Final,All Inspections are finalized.,,,31 NW 23 St ,MIAMI,FIRST FLORIDA CONSTRUCTORS LLC,33127.0,10 Day(s) 19 Hour(s) 48 Minute(s) ,10.0,2701 BISCAYNE BLVD,2018/08/14 18:55:00+00,132301030010,YES,True,2018/08/28 17:50:00+00,25.80311573,-80.1891213,T6-36A-O|T6-36A-L,,BD16008777021B001,2018-08-14 18:54:00+00:00,2018/08/14 09:54:00+00,BD16008777021,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/02/26 09:12:00+00,10000.0,13 Day(s) 22 Hour(s) 56 Minute(s) ,13.0,0.0,GARAGE OR ROLL-UP DOOR,8817
8841,-80.1891213,25.80311573,8189,0.0,BD16008777,2019/06/04 09:29:00+00,,Final,All Inspections are finalized.,,,31 NW 23 St ,MIAMI,FIRST FLORIDA CONSTRUCTORS LLC,33127.0,13 Day(s) 17 Hour(s) 15 Minute(s) ,13.0,2701 BISCAYNE BLVD,2018/08/28 10:54:00+00,132301030010,YES,True,2018/09/11 15:17:00+00,25.80311573,-80.1891213,T6-36A-O|T6-36A-L,15000.0,BD16008777023B001,2018-08-28 10:54:00+00:00,2018/08/28 10:10:00+00,BD16008777023,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/06/04 09:29:00+00,15000.0,14 Day(s) 4 Hour(s) 23 Minute(s) ,14.0,0.0,WATERPROOFING,8842
8861,-80.1891213,25.80311573,8192,0.0,BD16008777,2019/09/03 08:58:00+00,,Final,All Inspections are finalized.,,,31 NW 23 St ,MIAMI,FIRST FLORIDA CONSTRUCTORS LLC,33127.0,12 Day(s) 21 Hour(s) 10 Minute(s) ,12.0,2701 BISCAYNE BLVD,2018/08/30 13:59:00+00,132301030010,YES,True,2018/10/12 17:55:00+00,25.80311573,-80.1891213,T6-36A-O|T6-36A-L,,BD16008777025B001,2018-08-30 13:59:00+00:00,2018/08/30 13:46:00+00,BD16008777025,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/09/03 08:58:00+00,15000.0,43 Day(s) 3 Hour(s) 56 Minute(s) ,43.0,0.0,ALUMINIUM CLAD CANOPY,8862
47012,-80.25643866,25.73321347,47213,0.0,BD19008636,2023/03/02 20:44:00+00,,Final,All Inspections are finalized.,,,31 NW 23 St ,MIAMI,FIRST FLORIDA CONSTRUCTORS LLC,33127.0,,,3811 SHIPPING AV,,141170032090,YES,True,2022/12/20 16:53:00+00,25.73321347,-80.25643866,T6-12-O,,BD19008636044B001,2022-11-17 18:42:00+00:00,2022/10/26 10:45:00+00,BD19008636044,Commercial,,0.0,CO,NEW CONSTRUCTION,2023/03/02 20:44:00+00,15000.0,32 Day(s) 22 Hour(s) 11 Minute(s) ,32.0,0.0,ALUMINIUM CLAD CANOPY,47013
47017,-80.25643866,25.73321347,47218,0.0,BD19008636,2023/02/17 16:16:00+00,,Final,All Inspections are finalized.,,,31 NW 23 St ,MIAMI,FIRST FLORIDA CONSTRUCTORS LLC,33127.0,,,3811 SHIPPING AV,,141170032090,YES,True,2023/02/10 12:59:00+00,25.73321347,-80.25643866,T6-12-O,,BD19008636053B001,2023-01-27 06:18:00+00:00,2022/12/15 14:16:00+00,BD19008636053,Commercial,,0.0,CO,NEW CONSTRUCTION,2023/02/17 16:16:00+00,11000.0,14 Day(s) 6 Hour(s) 41 Minute(s) ,14.0,0.0,TRELLIS,47018
47018,-80.25643866,25.73321347,47219,12.0,BD19008636,2023/04/11 17:08:00+00,,Final,All Inspections are finalized.,,,31 NW 23 St ,MIAMI,FIRST FLORIDA CONSTRUCTORS LLC,33127.0,,,3811 SHIPPING AV,,141170032090,YES,True,2023/03/24 17:24:00+00,25.73321347,-80.25643866,T6-12-O,26000.0,BD19008636054B001,2023-02-02 14:04:00+00:00,2022/12/15 14:20:00+00,BD19008636054,Commercial,,0.0,CO,NEW CONSTRUCTION,2023/04/11 17:08:00+00,26000.0,50 Day(s) 3 Hour(s) 20 Minute(s) ,50.0,12.0,CLUB HOUSE/CABANA/POOL CABANA - COMMERCIAL,47019
47019,-80.25643866,25.73321347,47220,0.0,BD19008636,,,Final,All Inspections are finalized.,,,31 NW 23 St ,MIAMI,FIRST FLORIDA CONSTRUCTORS LLC,33127.0,,,3811 SHIPPING AV,,141170032090,YES,True,2023/03/24 10:39:00+00,25.73321347,-80.25643866,T6-12-O,,BD19008636055B001,2023-02-24 12:19:00+00:00,2023/01/05 11:33:00+00,BD19008636055,Commercial,,0.0,CO,NEW CONSTRUCTION,2023/03/28 15:36:00+00,62000.0,27 Day(s) 22 Hour(s) 20 Minute(s) ,27.0,0.0,LOUVRES,47020
47694,-80.25643866,25.73321347,47164,217034.0,BD19008636,,,Active,Permit is Active. Ready for Inspections.,TCO,2023/05/26 16:34:00,31 NW 23 St ,MIAMI,FIRST FLORIDA CONSTRUCTORS LLC,33127.0,,,3811 SHIPPING AV,,141170032090,NO,True,2021/01/26 17:15:00+00,25.73321347,-80.25643866,T6-12-O,37984451.0,BD19008636001B001,2019-06-20 08:07:00+00:00,2019/05/06 09:31:00+00,BD19008636001,Commercial,0.0,0.0,CO,NEW CONSTRUCTION,2021/09/10 14:26:00+00,37984451.0,586 Day(s) 9 Hour(s) 8 Minute(s) ,586.0,217034.0,MULTI-FAMILY (RENTAL)|GENERAL RETAIL,47695
47766,-80.25643866,25.73321347,47174,0.0,BD19008636,2022/10/06 17:44:00+00,,Final,All Inspections are finalized.,,,31 NW 23 St ,MIAMI,FIRST FLORIDA CONSTRUCTORS LLC,33127.0,,,3811 SHIPPING AV,,141170032090,YES,True,2021/09/16 10:28:00+00,25.73321347,-80.25643866,T6-12-O,,BD19008636008B001,2021-09-13 10:18:00+00:00,2021/09/08 11:10:00+00,BD19008636008,Commercial,,0.0,CO,NEW CONSTRUCTION,2022/10/06 17:44:00+00,10000.0,3 Day(s) 0 Hour(s) 10 Minute(s) ,3.0,0.0,SHORING / RE-SHORING,47767
47774,-80.25643866,25.73321347,47175,0.0,BD19008636,2022/11/02 17:15:00+00,,Final,All Inspections are finalized.,,,31 NW 23 St ,MIAMI,FIRST FLORIDA CONSTRUCTORS LLC,33127.0,,,3811 SHIPPING AV,,141170032090,YES,True,2021/09/16 10:25:00+00,25.73321347,-80.25643866,T6-12-O,,BD19008636009B001,2021-09-13 10:26:00+00:00,2021/09/09 17:58:00+00,BD19008636009,Commercial,,0.0,CO,NEW CONSTRUCTION,2022/11/02 17:15:00+00,15000.0,2 Day(s) 23 Hour(s) 59 Minute(s) ,2.0,0.0,POST TENSION,47775
