,X,Y,ID,AdditionSQFT,ApplicationNumber,BuildingFinalLastInspDate,BuildingFinalLastInspResult,BuildingPermitStatusDescription,BuildingPermitStatusReasonDescr,Certificatecode,Certificatedate,CompanyAddress,CompanyCity,CompanyName,CompanyZip,DaysInCity,DaysInCityNumeric,DeliveryAddress,FirstSubmissionDate,FolioNumber,IsPermitFinal,IsPrivateProvider,IssuedDate,Latitude,Longitude,Miami21Zone,NewAdditionCost,PermitNumber,PlanAcceptedDate,PlanCreatedDate,ProcessNumber,PropertyType,RemodelingCost,RemSQFT,RequiredCertificate,ScopeofWork,Statusdate,TotalCost,TotalDaysInPlanReview,TotalDaysInPlanReviewNumeric,TotalSQFT,WorkItems,ObjectId
15158,-80.2210983037045,25.8355609157393,15840,0.0,BD17011366,2019/06/27 09:11:00+00,,Final,All Inspections are finalized.,,,315 S BISCAYNE BLVD ,MIAMI,FORTUNE URBAN CONSTRUCTION LLC,33131.0,21 Day(s) 0 Hour(s) 1 Minute(s) ,21.0,1410 NW 67 ST,2018/11/07 11:56:00+00,131140090010,YES,True,2019/01/14 09:55:00+00,25.8355609157393,-80.2210983037045,T4-R,,BD17011366007B001,2018-11-07 11:56:00+00:00,2018/11/06 10:01:00+00,BD17011366007,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/06/27 09:11:00+00,20000.0,67 Day(s) 21 Hour(s) 59 Minute(s) ,67.0,0.0,SHORING / RE-SHORING,15159
15159,-80.2210983037045,25.8355609157393,15841,0.0,BD17011366,2019/06/27 09:11:00+00,,Final,All Inspections are finalized.,,,315 S BISCAYNE BLVD ,MIAMI,FORTUNE URBAN CONSTRUCTION LLC,33131.0,7 Day(s) 18 Hour(s) 25 Minute(s) ,7.0,1410 NW 67 ST,2018/11/19 15:40:00+00,131140090010,YES,True,2019/01/14 09:44:00+00,25.8355609157393,-80.2210983037045,T4-R,,BD17011366008B001,2018-11-19 15:39:00+00:00,2018/11/19 14:16:00+00,BD17011366008,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/06/27 09:11:00+00,20000.0,55 Day(s) 18 Hour(s) 5 Minute(s) ,55.0,0.0,TRUSSES,15160
15163,-80.2210983037045,25.8355609157393,15845,0.0,BD17011366,2019/08/06 09:20:00+00,,Final,All Inspections are finalized.,,,315 S BISCAYNE BLVD ,MIAMI,FORTUNE URBAN CONSTRUCTION LLC,33131.0,18 Day(s) 21 Hour(s) 45 Minute(s) ,18.0,1410 NW 67 ST,2019/06/07 13:59:00+00,131140090010,YES,True,2019/07/23 09:45:00+00,25.8355609157393,-80.2210983037045,T4-R,,BD17011366013B001,2019-06-07 13:58:00+00:00,2019/06/06 15:38:00+00,BD17011366013,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/08/06 09:20:00+00,36000.0,45 Day(s) 19 Hour(s) 47 Minute(s) ,45.0,0.0,RAILINGS - METAL,15164
15180,-80.2209763611259,25.8344466687884,15861,0.0,BD17011369,2019/05/24 09:16:00+00,,Final,All Inspections are finalized.,,,315 S BISCAYNE BLVD ,MIAMI,FORTUNE URBAN CONSTRUCTION LLC,33131.0,21 Day(s) 0 Hour(s) 21 Minute(s) ,21.0,6512 NW 14 AV,2018/11/07 11:57:00+00,131140090010,YES,True,2019/01/14 09:54:00+00,25.8344466687884,-80.2209763611259,T4-R,,BD17011369007B001,2018-11-07 11:57:00+00:00,2018/11/06 10:09:00+00,BD17011369007,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/05/24 09:16:00+00,20000.0,67 Day(s) 21 Hour(s) 57 Minute(s) ,67.0,0.0,SHORING / RE-SHORING,15181
15182,-80.2209763611259,25.8344466687884,15863,0.0,BD17011369,2019/05/24 09:15:00+00,,Final,All Inspections are finalized.,,,315 S BISCAYNE BLVD ,MIAMI,FORTUNE URBAN CONSTRUCTION LLC,33131.0,18 Day(s) 21 Hour(s) 37 Minute(s) ,18.0,6512 NW 14 AV,2018/12/26 11:36:00+00,131140090010,YES,True,2019/01/22 14:23:00+00,25.8344466687884,-80.2209763611259,T4-R,,BD17011369010B001,2018-12-26 11:35:00+00:00,2018/12/20 12:28:00+00,BD17011369010,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/05/24 09:15:00+00,20000.0,27 Day(s) 2 Hour(s) 48 Minute(s) ,27.0,0.0,TRUSSES,15183
15187,-80.2209763611259,25.8344466687884,15868,0.0,BD17011369,2019/07/19 09:20:00+00,,Final,All Inspections are finalized.,,,315 S BISCAYNE BLVD ,MIAMI,FORTUNE URBAN CONSTRUCTION LLC,33131.0,33 Day(s) 20 Hour(s) 2 Minute(s) ,33.0,6512 NW 14 AV,2019/06/07 14:45:00+00,131140090010,YES,True,2019/07/11 11:26:00+00,25.8344466687884,-80.2209763611259,T4-R,,BD17011369015B001,2019-06-07 14:44:00+00:00,2019/06/06 15:28:00+00,BD17011369015,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/07/19 09:20:00+00,36000.0,33 Day(s) 20 Hour(s) 42 Minute(s) ,33.0,0.0,RAILINGS - METAL,15188
15203,-80.2209925814572,25.8343774911861,15884,0.0,BD17011372,2019/10/23 10:20:00+00,,Final,All Inspections are finalized.,,,315 S BISCAYNE BLVD ,MIAMI,FORTUNE URBAN CONSTRUCTION LLC,33131.0,21 Day(s) 0 Hour(s) 15 Minute(s) ,21.0,1401 NW 65 ST,2018/11/07 11:52:00+00,131140090010,YES,True,2019/01/14 09:53:00+00,25.8343774911861,-80.2209925814572,T4-R,,BD17011372007B001,2018-11-07 11:52:00+00:00,2018/11/06 10:15:00+00,BD17011372007,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/10/23 10:20:00+00,20000.0,67 Day(s) 22 Hour(s) 1 Minute(s) ,67.0,0.0,SHORING / RE-SHORING,15204
15205,-80.2209925814572,25.8343774911861,15886,0.0,BD17011372,2019/10/23 10:21:00+00,,Final,All Inspections are finalized.,,,315 S BISCAYNE BLVD ,MIAMI,FORTUNE URBAN CONSTRUCTION LLC,33131.0,7 Day(s) 4 Hour(s) 4 Minute(s) ,7.0,1401 NW 65 ST,2019/03/25 07:31:00+00,131140090010,YES,True,2019/04/12 14:53:00+00,25.8343774911861,-80.2209925814572,T4-R,,BD17011372009B001,2019-03-25 07:30:00+00:00,2019/03/22 12:30:00+00,BD17011372009,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/10/23 10:21:00+00,20000.0,18 Day(s) 7 Hour(s) 23 Minute(s) ,18.0,0.0,TRUSSES,15206
15208,-80.2209925814572,25.8343774911861,15889,0.0,BD17011372,2019/10/23 10:25:00+00,,Final,All Inspections are finalized.,,,315 S BISCAYNE BLVD ,MIAMI,FORTUNE URBAN CONSTRUCTION LLC,33131.0,29 Day(s) 0 Hour(s) 58 Minute(s) ,29.0,1401 NW 65 ST,2019/06/07 11:31:00+00,131140090010,YES,True,2019/08/09 14:25:00+00,25.8343774911861,-80.2209925814572,T4-R,,BD17011372013B001,2019-06-07 11:30:00+00:00,2019/06/06 15:31:00+00,BD17011372013,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/10/23 10:25:00+00,36000.0,63 Day(s) 2 Hour(s) 55 Minute(s) ,63.0,0.0,RAILINGS - METAL,15209
15630,-80.2210636452687,25.8355387253179,15961,0.0,BD17011516,2019/09/17 14:18:00+00,,Final,All Inspections are finalized.,,,315 S BISCAYNE BLVD ,MIAMI,FORTUNE URBAN CONSTRUCTION LLC,33131.0,33 Day(s) 0 Hour(s) 17 Minute(s) ,33.0,1480 NW 67 ST,2018/11/07 11:54:00+00,131140090010,YES,True,2019/01/14 09:56:00+00,25.8355387253179,-80.2210636452687,T4-R,,BD17011516008B001,2018-11-07 11:54:00+00:00,2018/11/06 10:51:00+00,BD17011516008,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/09/17 14:18:00+00,20000.0,67 Day(s) 22 Hour(s) 2 Minute(s) ,67.0,0.0,SHORING / RE-SHORING,15631
