,X,Y,ID,AdditionSQFT,ApplicationNumber,BuildingFinalLastInspDate,BuildingFinalLastInspResult,BuildingPermitStatusDescription,BuildingPermitStatusReasonDescr,Certificatecode,Certificatedate,CompanyAddress,CompanyCity,CompanyName,CompanyZip,DaysInCity,DaysInCityNumeric,DeliveryAddress,FirstSubmissionDate,FolioNumber,IsPermitFinal,IsPrivateProvider,IssuedDate,Latitude,Longitude,Miami21Zone,NewAdditionCost,PermitNumber,PlanAcceptedDate,PlanCreatedDate,ProcessNumber,PropertyType,RemodelingCost,RemSQFT,RequiredCertificate,ScopeofWork,Statusdate,TotalCost,TotalDaysInPlanReview,TotalDaysInPlanReviewNumeric,TotalSQFT,WorkItems,ObjectId
31730,-80.22300089,25.78938405,31059,198480.0,BD18014301,2021/07/13 13:01:00+00,,Final,All Inspections are finalized.,CO,2021/07/13 13:45:00,1629 NW 84 Ave ,DORAL,JAXI BUILDERS INC,33126.0,441 Day(s) 23 Hour(s) 42 Minute(s) ,441.0,1569 NW 17 AV,2018/10/09 15:19:00+00,131350040380,YES,True,2020/04/03 11:45:00+00,25.78938405,-80.22300089,T6-8-O,28600000.0,BD18014301001B001,2018-10-09 15:18:00+00:00,2018/09/12 16:35:00+00,BD18014301001,Commercial,0.0,0.0,CO,NEW CONSTRUCTION,2021/07/13 13:01:00+00,28600000.0,541 Day(s) 20 Hour(s) 27 Minute(s) ,541.0,198480.0,MULTI-FAMILY (RENTAL),31731
31803,-80.22300089,25.78938405,31071,0.0,BD18014301,2021/04/07 07:38:00+00,,Final,All Inspections are finalized.,,,1629 NW 84 Ave ,DORAL,JAXI BUILDERS INC,33126.0,64 Day(s) 3 Hour(s) 53 Minute(s) ,64.0,1569 NW 17 AV,2020/06/04 10:11:00+00,131350040380,YES,True,2020/08/11 13:33:00+00,25.78938405,-80.22300089,T6-8-O,,BD18014301013B001,2020-06-04 10:11:00+00:00,2020/06/04 10:06:00+00,BD18014301013,Commercial,,0.0,CO,NEW CONSTRUCTION,2021/04/07 07:38:00+00,53995.0,68 Day(s) 3 Hour(s) 22 Minute(s) ,68.0,0.0,DECK WATERPROOFING,31804
31807,-80.22300089,25.78938405,31073,0.0,BD18014301,,,Final,All Inspections are finalized.,,,1629 NW 84 Ave ,DORAL,JAXI BUILDERS INC,33126.0,4 Day(s) 18 Hour(s) 56 Minute(s) ,4.0,1569 NW 17 AV,2020/08/14 15:50:00+00,131350040380,YES,True,2020/09/01 13:34:00+00,25.78938405,-80.22300089,T6-8-O,,BD18014301016B001,2020-08-14 15:50:00+00:00,2020/06/05 07:43:00+00,BD18014301016,Commercial,,0.0,CO,NEW CONSTRUCTION,2021/04/05 21:24:00+00,98000.0,17 Day(s) 21 Hour(s) 44 Minute(s) ,17.0,0.0,LOUVRES,31808
31858,-80.22300089,25.78938405,31080,0.0,BD18014301,2021/04/05 21:22:00+00,,Final,All Inspections are finalized.,,,1629 NW 84 Ave ,DORAL,JAXI BUILDERS INC,33126.0,25 Day(s) 0 Hour(s) 26 Minute(s) ,25.0,1569 NW 17 AV,2020/07/30 13:37:00+00,131350040380,YES,True,2020/09/01 13:27:00+00,25.78938405,-80.22300089,T6-8-O,,BD18014301023B001,2020-07-30 13:37:00+00:00,2020/07/30 13:30:00+00,BD18014301023,Commercial,,0.0,CO,NEW CONSTRUCTION,2021/04/05 21:22:00+00,8000.0,32 Day(s) 23 Hour(s) 50 Minute(s) ,32.0,0.0,RAILINGS - METAL,31859
31864,-80.22300089,25.78938405,31081,0.0,BD18014301,,,Final,All Inspections are finalized.,,,1629 NW 84 Ave ,DORAL,JAXI BUILDERS INC,33126.0,7 Day(s) 5 Hour(s) 53 Minute(s) ,7.0,1569 NW 17 AV,2020/08/06 08:07:00+00,131350040380,YES,True,2020/08/13 16:42:00+00,25.78938405,-80.22300089,T6-8-O,,BD18014301024BR001,2020-08-06 08:07:00+00:00,2020/08/06 08:03:00+00,BD18014301024,Commercial,,0.0,CO,NEW CONSTRUCTION,2021/04/07 22:44:00+00,21325.0,7 Day(s) 8 Hour(s) 35 Minute(s) ,7.0,0.0,ROOF WATERPROOFING,31865
31872,-80.22300089,25.78938405,31082,0.0,BD18014301,,,Final,All Inspections are finalized.,,,1629 NW 84 Ave ,DORAL,JAXI BUILDERS INC,33126.0,0 Day(s) 22 Hour(s) 14 Minute(s) ,0.0,1569 NW 17 AV,2020/09/30 11:15:00+00,131350040380,YES,True,2020/10/08 16:46:00+00,25.78938405,-80.22300089,T6-8-O,,BD18014301025B001,2020-09-30 11:15:00+00:00,2020/08/17 12:39:00+00,BD18014301025,Commercial,,0.0,CO,NEW CONSTRUCTION,2021/04/07 22:37:00+00,40000.0,8 Day(s) 5 Hour(s) 31 Minute(s) ,8.0,0.0,GRILLE,31873
31884,-80.22300089,25.78938405,31083,0.0,BD18014301,2021/03/31 09:43:00+00,,Final,All Inspections are finalized.,,,1629 NW 84 Ave ,DORAL,JAXI BUILDERS INC,33126.0,2 Day(s) 19 Hour(s) 59 Minute(s) ,2.0,1569 NW 17 AV,2020/08/18 15:06:00+00,131350040380,YES,True,2020/09/01 13:43:00+00,25.78938405,-80.22300089,T6-8-O,,BD18014301026B001,2020-08-18 15:06:00+00:00,2020/08/17 13:52:00+00,BD18014301026,Commercial,,0.0,CO,NEW CONSTRUCTION,2021/03/31 09:43:00+00,5000.0,13 Day(s) 22 Hour(s) 37 Minute(s) ,13.0,0.0,SCREEN WALL GATES,31885
31890,-80.22300089,25.78938405,31084,0.0,BD18014301,2021/03/31 09:42:00+00,,Final,All Inspections are finalized.,,,1629 NW 84 Ave ,DORAL,JAXI BUILDERS INC,33126.0,27 Day(s) 18 Hour(s) 19 Minute(s) ,27.0,1569 NW 17 AV,2020/08/17 15:58:00+00,131350040380,YES,True,2020/09/21 11:30:00+00,25.78938405,-80.22300089,T6-8-O,,BD18014301027B001,2020-08-17 15:58:00+00:00,2020/08/17 14:50:00+00,BD18014301027,Commercial,,0.0,CO,NEW CONSTRUCTION,2021/03/31 09:42:00+00,40000.0,34 Day(s) 19 Hour(s) 32 Minute(s) ,34.0,0.0,STAIRS - METAL,31891
31905,-80.22300089,25.78938405,31086,0.0,BD18014301,,,Final,All Inspections are finalized.,,,1629 NW 84 Ave ,DORAL,JAXI BUILDERS INC,33126.0,5 Day(s) 0 Hour(s) 15 Minute(s) ,5.0,1569 NW 17 AV,2020/09/30 15:12:00+00,131350040380,YES,True,2020/10/21 14:45:00+00,25.78938405,-80.22300089,T6-8-O,,BD18014301029B001,2020-09-30 15:12:00+00:00,2020/09/28 08:53:00+00,BD18014301029,Commercial,,0.0,CO,NEW CONSTRUCTION,2021/04/05 21:19:00+00,24000.0,20 Day(s) 23 Hour(s) 33 Minute(s) ,20.0,0.0,GRILLE,31906
31940,-80.22300089,25.78938405,31092,0.0,BD18014301,,,Final,All Inspections are finalized.,,,1629 NW 84 Ave ,DORAL,JAXI BUILDERS INC,33126.0,15 Day(s) 4 Hour(s) 50 Minute(s) ,15.0,1569 NW 17 AV,2021/01/25 10:14:00+00,131350040380,YES,True,2021/02/18 10:15:00+00,25.78938405,-80.22300089,T6-8-O,,BD18014301037B001,2021-01-25 10:14:00+00:00,2021/01/22 14:29:00+00,BD18014301037,Commercial,,0.0,CO,NEW CONSTRUCTION,2021/04/07 22:36:00+00,100000.0,24 Day(s) 0 Hour(s) 1 Minute(s) ,24.0,0.0,REGULAR EXTERIOR:DOORS,31941
