,X,Y,ID,AdditionSQFT,ApplicationNumber,BuildingFinalLastInspDate,BuildingFinalLastInspResult,BuildingPermitStatusDescription,BuildingPermitStatusReasonDescr,Certificatecode,Certificatedate,CompanyAddress,CompanyCity,CompanyName,CompanyZip,DaysInCity,DaysInCityNumeric,DeliveryAddress,FirstSubmissionDate,FolioNumber,IsPermitFinal,IsPrivateProvider,IssuedDate,Latitude,Longitude,Miami21Zone,NewAdditionCost,PermitNumber,PlanAcceptedDate,PlanCreatedDate,ProcessNumber,PropertyType,RemodelingCost,RemSQFT,RequiredCertificate,ScopeofWork,Statusdate,TotalCost,TotalDaysInPlanReview,TotalDaysInPlanReviewNumeric,TotalSQFT,WorkItems,ObjectId
3598,-80.1929903400162,25.7882146825515,3650,0.0,BD15007458,,,Final,All Inspections are finalized.,,,1901 NW 108 Ave ,Miami,JC & A Electrical Contractors Inc,33172.0,0 Day(s) 0 Hour(s) 40 Minute(s) ,0.0,58 NE 14 ST,2018/08/02 14:14:00+00,131360090050,YES,False,2018/10/18 09:49:00+00,25.7882146825515,-80.1929903400162,T6-24-O,,BD15007458002E001,2018-08-02 14:13:00+00:00,2018/08/01 12:18:00+00,BD15007458002,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/06/19 12:11:00+00,300.0,76 Day(s) 19 Hour(s) 36 Minute(s) ,76.0,0.0,LOW VOLTAGE COMPUTER / TV CABLE / PHONE TERMINAL|LOW VOLTAGE DATA-COMM,3599
3635,-80.1929903400162,25.7882146825515,3654,0.0,BD15007458,,,Final,All Inspections are finalized.,,,1901 NW 108 Ave ,Miami,JC & A Electrical Contractors Inc,33172.0,0 Day(s) 0 Hour(s) 0 Minute(s) ,0.0,58 NE 14 ST,2018/08/13 12:12:00+00,131360090050,YES,False,2018/08/13 12:23:00+00,25.7882146825515,-80.1929903400162,T6-24-O,,BD15007458005E001,2018-08-13 12:12:00+00:00,2018/08/13 11:55:00+00,BD15007458005,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/05/20 11:14:00+00,300.0,0 Day(s) 0 Hour(s) 11 Minute(s) ,0.0,0.0,EMPTY CONDUIT INSTALLATION,3636
3679,-80.1929903400162,25.7882146825515,3658,0.0,BD15007458,,,Final,All Inspections are finalized.,,,1901 NW 108 Ave ,Miami,JC & A Electrical Contractors Inc,33172.0,100 Day(s) 3 Hour(s) 15 Minute(s) ,100.0,58 NE 14 ST,2018/09/04 11:27:00+00,131360090050,YES,False,2019/02/19 16:10:00+00,25.7882146825515,-80.1929903400162,T6-24-O,0.0,BD15007458008E001,2018-09-04 11:27:00+00:00,2018/09/04 11:17:00+00,BD15007458008,Commercial,0.0,0.0,CO,NEW CONSTRUCTION,2019/06/12 16:15:00+00,5200.0,168 Day(s) 4 Hour(s) 43 Minute(s) ,168.0,0.0,COMBINATION POOL AND SPA,3680
3750,-80.1929903400162,25.7882146825515,3665,0.0,BD15007458,,,Final,All Inspections are finalized.,,,1901 NW 108 Ave ,Miami,JC & A Electrical Contractors Inc,33172.0,0 Day(s) 20 Hour(s) 39 Minute(s) ,0.0,58 NE 14 ST,2019/02/07 15:27:00+00,131360090050,YES,False,2019/02/21 13:19:00+00,25.7882146825515,-80.1929903400162,T6-24-O,,BD15007458014E001,2019-02-07 15:26:00+00:00,2019/02/07 12:22:00+00,BD15007458014,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/03/04 11:45:00+00,300.0,13 Day(s) 21 Hour(s) 53 Minute(s) ,13.0,0.0,TEMPORARY FOR TESTING,3751
3755,-80.1929903400162,25.7882146825515,3666,0.0,BD15007458,,,Final,All Inspections are finalized.,,,1901 NW 108 Ave ,Miami,JC & A Electrical Contractors Inc,33172.0,3 Day(s) 6 Hour(s) 42 Minute(s) ,3.0,58 NE 14 ST,2019/03/08 07:40:00+00,131360090050,YES,False,2019/05/21 14:09:00+00,25.7882146825515,-80.1929903400162,T6-24-O,0.0,BD15007458015E001,2019-03-08 07:40:00+00:00,2019/03/04 08:56:00+00,BD15007458015,Commercial,0.0,0.0,CO,NEW CONSTRUCTION,2019/09/12 15:26:00+00,5000.0,74 Day(s) 6 Hour(s) 29 Minute(s) ,74.0,0.0,INTERNAL COMBUSTION ENGINE (ELECT),3756
3778,-80.1929903400162,25.7882146825515,3668,0.0,BD15007458,,,Final,All Inspections are finalized.,,,1901 NW 108 Ave ,Miami,JC & A Electrical Contractors Inc,33172.0,0 Day(s) 0 Hour(s) 3 Minute(s) ,0.0,58 NE 14 ST,2019/04/10 15:58:00+00,131360090050,YES,False,2019/04/17 10:30:00+00,25.7882146825515,-80.1929903400162,T6-24-O,0.0,BD15007458016E001,2019-04-10 15:54:00+00:00,2019/04/10 12:11:00+00,BD15007458016,Commercial,0.0,0.0,CO,NEW CONSTRUCTION,2019/05/06 11:37:00+00,300.0,6 Day(s) 18 Hour(s) 36 Minute(s) ,6.0,0.0,TEMPORARY FOR TESTING,3779
3788,-80.1929903400162,25.7882146825515,3669,0.0,BD15007458,,,Final,All Inspections are finalized.,,,1901 NW 108 Ave ,Miami,JC & A Electrical Contractors Inc,33172.0,0 Day(s) 0 Hour(s) 1 Minute(s) ,0.0,58 NE 14 ST,2019/04/10 16:00:00+00,131360090050,YES,False,2019/04/17 10:21:00+00,25.7882146825515,-80.1929903400162,T6-24-O,,BD15007458017E001,2019-04-10 16:00:00+00:00,2019/04/10 12:14:00+00,BD15007458017,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/05/06 11:41:00+00,300.0,6 Day(s) 18 Hour(s) 21 Minute(s) ,6.0,0.0,TEMPORARY FOR TESTING,3789
3796,-80.1929903400162,25.7882146825515,3670,0.0,BD15007458,,,Final,All Inspections are finalized.,,,1901 NW 108 Ave ,Miami,JC & A Electrical Contractors Inc,33172.0,0 Day(s) 0 Hour(s) 0 Minute(s) ,0.0,58 NE 14 ST,2019/04/10 16:03:00+00,131360090050,YES,False,2019/04/17 10:34:00+00,25.7882146825515,-80.1929903400162,T6-24-O,,BD15007458018E001,2019-04-10 16:02:00+00:00,2019/04/10 13:30:00+00,BD15007458018,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/05/06 11:42:00+00,300.0,6 Day(s) 18 Hour(s) 32 Minute(s) ,6.0,0.0,TEMPORARY FOR TESTING,3797
3817,-80.1929903400162,25.7882146825515,3671,0.0,BD15007458,,,Final,All Inspections are finalized.,,,1901 NW 108 Ave ,Miami,JC & A Electrical Contractors Inc,33172.0,0 Day(s) 0 Hour(s) 0 Minute(s) ,0.0,58 NE 14 ST,2019/04/10 16:04:00+00,131360090050,YES,False,2019/04/17 10:32:00+00,25.7882146825515,-80.1929903400162,T6-24-O,,BD15007458019E001,2019-04-10 16:04:00+00:00,2019/04/10 13:33:00+00,BD15007458019,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/05/06 11:47:00+00,300.0,6 Day(s) 18 Hour(s) 28 Minute(s) ,6.0,0.0,TEMPORARY FOR TESTING,3818
3818,-80.1929903400162,25.7882146825515,3672,0.0,BD15007458,,,Final,All Inspections are finalized.,,,1901 NW 108 Ave ,Miami,JC & A Electrical Contractors Inc,33172.0,0 Day(s) 0 Hour(s) 0 Minute(s) ,0.0,58 NE 14 ST,2019/04/10 16:06:00+00,131360090050,YES,False,2019/04/17 10:28:00+00,25.7882146825515,-80.1929903400162,T6-24-O,,BD15007458020E001,2019-04-10 16:05:00+00:00,2019/04/10 13:37:00+00,BD15007458020,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/05/06 11:49:00+00,300.0,6 Day(s) 18 Hour(s) 23 Minute(s) ,6.0,0.0,TEMPORARY FOR TESTING,3819
