,X,Y,ID,AdditionSQFT,ApplicationNumber,BuildingFinalLastInspDate,BuildingFinalLastInspResult,BuildingPermitStatusDescription,BuildingPermitStatusReasonDescr,Certificatecode,Certificatedate,CompanyAddress,CompanyCity,CompanyName,CompanyZip,DaysInCity,DaysInCityNumeric,DeliveryAddress,FirstSubmissionDate,FolioNumber,IsPermitFinal,IsPrivateProvider,IssuedDate,Latitude,Longitude,Miami21Zone,NewAdditionCost,PermitNumber,PlanAcceptedDate,PlanCreatedDate,ProcessNumber,PropertyType,RemodelingCost,RemSQFT,RequiredCertificate,ScopeofWork,Statusdate,TotalCost,TotalDaysInPlanReview,TotalDaysInPlanReviewNumeric,TotalSQFT,WorkItems,ObjectId
2734,-80.2381064389406,25.7282723933589,2569,0.0,BD14013442,,,Final,All Inspections are finalized.,,,1942 TYLER ST ,HOLLYWOOD,JOHN MORIARTY AND ASSOCIATES OF FLORIDA INC,33020.0,12 Day(s) 19 Hour(s) 37 Minute(s) ,12.0,2811 S BAYSHORE DR,2020/02/12 14:04:00+00,141214540001,YES,True,2020/02/27 08:49:00+00,25.7282723933589,-80.2381064389406,T6-12-O,,BD14013442123B001,2020-02-12 14:03:00+00:00,2020/02/12 11:39:00+00,BD14013442123,Commercial,,0.0,CO,NEW CONSTRUCTION,2021/06/04 07:21:00+00,20000.0,14 Day(s) 18 Hour(s) 46 Minute(s) ,14.0,0.0,REGULAR EXTERIOR:DOORS,2735
2754,-80.2381064389406,25.7282723933589,2571,0.0,BD14013442,,,Final,All Inspections are finalized.,,,1942 TYLER ST ,HOLLYWOOD,JOHN MORIARTY AND ASSOCIATES OF FLORIDA INC,33020.0,81 Day(s) 18 Hour(s) 43 Minute(s) ,81.0,2811 S BAYSHORE DR,2020/02/12 14:13:00+00,141214540001,YES,True,2020/05/14 12:27:00+00,25.7282723933589,-80.2381064389406,T6-12-O,,BD14013442125B001,2020-02-12 14:09:00+00:00,2020/02/12 11:45:00+00,BD14013442125,Commercial,,0.0,CO,NEW CONSTRUCTION,2020/05/20 09:24:00+00,50000.0,91 Day(s) 22 Hour(s) 18 Minute(s) ,91.0,0.0,STOREFRONT,2755
4356,-80.18572668,25.79914796,4509,0.0,BD15008745,2020/08/19 20:14:00+00,,Final,All Inspections are finalized.,,,1942 TYLER ST ,HOLLYWOOD,JOHN MORIARTY AND ASSOCIATES OF FLORIDA INC,33020.0,8 Day(s) 2 Hour(s) 4 Minute(s) ,8.0,788 NE 23 ST,2020/04/29 11:25:00+00,132300280050,YES,True,2020/05/11 14:18:00+00,25.79914796,-80.18572668,T6-36A-L,,BD15008745032B001,2020-04-29 11:24:00+00:00,2020/04/28 10:07:00+00,BD15008745032,Commercial,,0.0,CO,NEW CONSTRUCTION,2020/08/19 20:14:00+00,15000.0,12 Day(s) 2 Hour(s) 54 Minute(s) ,12.0,0.0,DECORATIVE CEILING,4357
4368,-80.18572668,25.79914796,4520,0.0,BD15008745,2020/10/14 08:51:00+00,,Final,All Inspections are finalized.,,,1942 TYLER ST ,HOLLYWOOD,JOHN MORIARTY AND ASSOCIATES OF FLORIDA INC,33020.0,43 Day(s) 22 Hour(s) 58 Minute(s) ,43.0,788 NE 23 ST,2020/06/23 17:25:00+00,132300280050,YES,True,2020/08/31 14:07:00+00,25.79914796,-80.18572668,T6-36A-L,10000.0,BD15008745043B001,2020-06-23 17:25:00+00:00,2020/06/23 09:28:00+00,BD15008745043,Commercial,,0.0,CO,NEW CONSTRUCTION,2020/10/14 08:51:00+00,10000.0,68 Day(s) 20 Hour(s) 42 Minute(s) ,68.0,0.0,SHUTTERS (NON ELECTRICAL),4369
4383,-80.18572668,25.79914796,4535,0.0,BD15008745,2020/08/21 13:27:00+00,,Final,All Inspections are finalized.,,,1942 TYLER ST ,HOLLYWOOD,JOHN MORIARTY AND ASSOCIATES OF FLORIDA INC,33020.0,6 Day(s) 23 Hour(s) 12 Minute(s) ,6.0,788 NE 23 ST,2020/07/09 16:22:00+00,132300280050,YES,True,2020/07/22 09:44:00+00,25.79914796,-80.18572668,T6-36A-L,,BD15008745057B001,2020-07-09 16:22:00+00:00,2020/07/07 13:30:00+00,BD15008745057,Commercial,,0.0,CO,NEW CONSTRUCTION,2020/08/21 13:27:00+00,20000.0,12 Day(s) 17 Hour(s) 22 Minute(s) ,12.0,0.0,SHORING / RE-SHORING,4384
4390,-80.18572668,25.79914796,4542,0.0,BD15008745,,,Final,All Inspections are finalized.,,,1942 TYLER ST ,HOLLYWOOD,JOHN MORIARTY AND ASSOCIATES OF FLORIDA INC,33020.0,2 Day(s) 10 Hour(s) 28 Minute(s) ,2.0,788 NE 23 ST,2020/08/11 08:36:00+00,132300280050,YES,True,2020/08/14 15:35:00+00,25.79914796,-80.18572668,T6-36A-L,,BD15008745064B001,2020-08-11 08:36:00+00:00,2020/08/03 16:00:00+00,BD15008745064,Commercial,,0.0,CO,NEW CONSTRUCTION,2020/11/05 10:06:00+00,10200.0,3 Day(s) 6 Hour(s) 59 Minute(s) ,3.0,0.0,REGULAR EXTERIOR:DOORS,4391
4961,-80.18572668,25.79914796,4488,0.0,BD15008745,2020/01/22 10:43:00+00,,Final,All Inspections are finalized.,,,1942 TYLER ST ,HOLLYWOOD,JOHN MORIARTY AND ASSOCIATES OF FLORIDA INC,33020.0,19 Day(s) 4 Hour(s) 24 Minute(s) ,19.0,788 NE 23 ST,2019/08/29 10:39:00+00,132300280050,YES,True,2019/11/05 17:11:00+00,25.79914796,-80.18572668,T6-36A-L,,BD15008745012B001,2019-08-29 10:38:00+00:00,2019/08/28 09:51:00+00,BD15008745012,Commercial,,0.0,CO,NEW CONSTRUCTION,2020/01/22 10:43:00+00,20000.0,68 Day(s) 6 Hour(s) 33 Minute(s) ,68.0,0.0,SHORING / RE-SHORING,4962
11088,-80.19317266,25.80590239,11282,0.0,BD16017723,2020/02/05 09:19:00+00,,Final,All Inspections are finalized.,,,1942 TYLER ST ,HOLLYWOOD,JOHN MORIARTY AND ASSOCIATES OF FLORIDA INC,33020.0,6 Day(s) 18 Hour(s) 58 Minute(s) ,6.0,3101 NE 1 AV,2019/11/06 13:28:00+00,131250770040,YES,True,2019/11/21 10:11:00+00,25.80590239,-80.19317266,T6-24A-O,,BD16017723028B001,2019-11-06 13:27:00+00:00,2019/10/24 14:13:00+00,BD16017723028,Commercial,,0.0,CO,NEW CONSTRUCTION,2020/02/05 09:19:00+00,3000.0,14 Day(s) 20 Hour(s) 44 Minute(s) ,14.0,0.0,TRELLIS,11089
11089,-80.19317266,25.80590239,11283,0.0,BD16017723,,,Final,All Inspections are finalized.,,,1942 TYLER ST ,HOLLYWOOD,JOHN MORIARTY AND ASSOCIATES OF FLORIDA INC,33020.0,6 Day(s) 17 Hour(s) 59 Minute(s) ,6.0,3101 NE 1 AV,2019/10/25 14:33:00+00,131250770040,YES,True,2019/11/21 10:12:00+00,25.80590239,-80.19317266,T6-24A-O,,BD16017723029B001,2019-10-25 14:33:00+00:00,2019/10/24 14:15:00+00,BD16017723029,Commercial,,0.0,CO,NEW CONSTRUCTION,2020/02/18 09:26:00+00,15000.0,26 Day(s) 19 Hour(s) 39 Minute(s) ,26.0,0.0,REGULAR EXTERIOR:DOORS,11090
11092,-80.19317266,25.80590239,11286,0.0,BD16017723,,,Final,All Inspections are finalized.,,,1942 TYLER ST ,HOLLYWOOD,JOHN MORIARTY AND ASSOCIATES OF FLORIDA INC,33020.0,7 Day(s) 19 Hour(s) 52 Minute(s) ,7.0,3101 NE 1 AV,2019/11/13 14:08:00+00,131250770040,YES,True,2019/12/12 08:22:00+00,25.80590239,-80.19317266,T6-24A-O,,BD16017723032B001,2019-11-13 14:07:00+00:00,2019/11/12 14:46:00+00,BD16017723032,Commercial,,0.0,CO,NEW CONSTRUCTION,2020/05/21 07:33:00+00,5000.0,28 Day(s) 18 Hour(s) 15 Minute(s) ,28.0,0.0,LOUVRES,11093
