,X,Y,ID,AdditionSQFT,ApplicationNumber,BuildingFinalLastInspDate,BuildingFinalLastInspResult,BuildingPermitStatusDescription,BuildingPermitStatusReasonDescr,Certificatecode,Certificatedate,CompanyAddress,CompanyCity,CompanyName,CompanyZip,DaysInCity,DaysInCityNumeric,DeliveryAddress,FirstSubmissionDate,FolioNumber,IsPermitFinal,IsPrivateProvider,IssuedDate,Latitude,Longitude,Miami21Zone,NewAdditionCost,PermitNumber,PlanAcceptedDate,PlanCreatedDate,ProcessNumber,PropertyType,RemodelingCost,RemSQFT,RequiredCertificate,ScopeofWork,Statusdate,TotalCost,TotalDaysInPlanReview,TotalDaysInPlanReviewNumeric,TotalSQFT,WorkItems,ObjectId
10700,-80.1935436674005,25.8041489772424,10453,0.0,BD16015844,2019/01/24 08:46:00+00,,Final,All Inspections are finalized.,,,701 NORTHPOINT PARKWAY 400,WEST PALM BEACH,KAST CONSTRUCTION COMPANY LLC,33407.0,6 Day(s) 21 Hour(s) 17 Minute(s) ,6.0,2901 NE 1 AV,2018/07/23 17:34:00+00,131250770010,YES,True,2018/08/21 08:04:00+00,25.8041489772424,-80.1935436674005,T6-24A-O,,BD16015844034B001,2018-07-23 17:32:00+00:00,2018/07/23 14:30:00+00,BD16015844034,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/01/24 08:46:00+00,347000.0,28 Day(s) 14 Hour(s) 32 Minute(s) ,28.0,0.0,POST TENSION,10701
10735,-80.1935436674005,25.8041489772424,10458,0.0,BD16015844,,,Final,All Inspections are finalized.,,,701 NORTHPOINT PARKWAY 400,WEST PALM BEACH,KAST CONSTRUCTION COMPANY LLC,33407.0,5 Day(s) 20 Hour(s) 27 Minute(s) ,5.0,2901 NE 1 AV,2018/09/07 18:19:00+00,131250770010,YES,True,2018/10/19 14:35:00+00,25.8041489772424,-80.1935436674005,T6-24A-O,,BD16015844043B001,2018-09-07 18:18:00+00:00,2018/09/07 10:27:00+00,BD16015844043,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/03/27 09:32:00+00,25000.0,41 Day(s) 20 Hour(s) 17 Minute(s) ,41.0,0.0,GARAGE OR ROLL-UP DOOR,10736
10737,-80.1935436674005,25.8041489772424,10459,0.0,BD16015844,2019/01/18 09:40:00+00,,Final,All Inspections are finalized.,,,701 NORTHPOINT PARKWAY 400,WEST PALM BEACH,KAST CONSTRUCTION COMPANY LLC,33407.0,20 Day(s) 22 Hour(s) 11 Minute(s) ,20.0,2901 NE 1 AV,2018/09/07 18:21:00+00,131250770010,YES,True,2018/11/02 11:27:00+00,25.8041489772424,-80.1935436674005,T6-24A-O,,BD16015844044B001,2018-09-07 18:21:00+00:00,2018/09/07 10:32:00+00,BD16015844044,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/01/18 09:40:00+00,75000.0,55 Day(s) 17 Hour(s) 6 Minute(s) ,55.0,0.0,DECK WATERPROOFING,10738
10744,-80.1935436674005,25.8041489772424,10460,0.0,BD16015844,2019/01/18 09:42:00+00,,Final,All Inspections are finalized.,,,701 NORTHPOINT PARKWAY 400,WEST PALM BEACH,KAST CONSTRUCTION COMPANY LLC,33407.0,19 Day(s) 14 Hour(s) 1 Minute(s) ,19.0,2901 NE 1 AV,2018/09/19 18:10:00+00,131250770010,YES,True,2018/10/18 17:43:00+00,25.8041489772424,-80.1935436674005,T6-24A-O,,BD16015844046B001,2018-09-19 18:07:00+00:00,2018/09/19 08:56:00+00,BD16015844046,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/01/18 09:42:00+00,50000.0,28 Day(s) 23 Hour(s) 36 Minute(s) ,28.0,0.0,BARRIER CABLE SYSTEMS,10745
10753,-80.1935436674005,25.8041489772424,10461,0.0,BD16015844,,,Final,All Inspections are finalized.,,,701 NORTHPOINT PARKWAY 400,WEST PALM BEACH,KAST CONSTRUCTION COMPANY LLC,33407.0,52 Day(s) 19 Hour(s) 46 Minute(s) ,52.0,2901 NE 1 AV,2018/10/15 16:03:00+00,131250770010,YES,True,2019/03/25 18:37:00+00,25.8041489772424,-80.1935436674005,T6-24A-O,,BD16015844048B001,2018-10-15 16:02:00+00:00,2018/10/15 08:38:00+00,BD16015844048,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/04/12 08:49:00+00,500000.0,161 Day(s) 2 Hour(s) 35 Minute(s) ,161.0,0.0,WINDOWS|STOREFRONT,10754
10774,-80.1935436674005,25.8041489772424,10464,0.0,BD16015844,,,Final,All Inspections are finalized.,,,701 NORTHPOINT PARKWAY 400,WEST PALM BEACH,KAST CONSTRUCTION COMPANY LLC,33407.0,43 Day(s) 5 Hour(s) 2 Minute(s) ,43.0,2901 NE 1 AV,2018/11/02 09:25:00+00,131250770010,YES,True,2019/01/25 14:15:00+00,25.8041489772424,-80.1935436674005,T6-24A-O,,BD16015844051B001,2018-11-02 09:17:00+00:00,2018/11/01 14:29:00+00,BD16015844051,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/03/13 09:18:00+00,100000.0,84 Day(s) 4 Hour(s) 58 Minute(s) ,84.0,0.0,REGULAR EXTERIOR:DOORS,10775
10780,-80.1935436674005,25.8041489772424,10465,0.0,BD16015844,,,Final,All Inspections are finalized.,,,701 NORTHPOINT PARKWAY 400,WEST PALM BEACH,KAST CONSTRUCTION COMPANY LLC,33407.0,3 Day(s) 0 Hour(s) 22 Minute(s) ,3.0,2901 NE 1 AV,2018/11/02 09:20:00+00,131250770010,YES,True,2018/11/08 14:05:00+00,25.8041489772424,-80.1935436674005,T6-24A-O,,BD16015844052BR001,2018-11-02 09:18:00+00:00,2018/11/01 14:35:00+00,BD16015844052,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/03/13 09:19:00+00,20000.0,6 Day(s) 4 Hour(s) 47 Minute(s) ,6.0,0.0,FLAT ROOF,10781
10788,-80.1935436674005,25.8041489772424,10466,0.0,BD16015844,2019/02/11 09:01:00+00,,Final,All Inspections are finalized.,,,701 NORTHPOINT PARKWAY 400,WEST PALM BEACH,KAST CONSTRUCTION COMPANY LLC,33407.0,21 Day(s) 19 Hour(s) 30 Minute(s) ,21.0,2901 NE 1 AV,2018/11/15 19:32:00+00,131250770010,YES,True,2018/12/11 15:10:00+00,25.8041489772424,-80.1935436674005,T6-24A-O,,BD16015844053B001,2018-11-15 19:31:00+00:00,2018/11/08 09:57:00+00,BD16015844053,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/02/11 09:01:00+00,150000.0,25 Day(s) 19 Hour(s) 39 Minute(s) ,25.0,0.0,PRE-CAST / STRUCTURAL,10789
10821,-80.1935436674005,25.8041489772424,10471,0.0,BD16015844,,,Final,All Inspections are finalized.,,,701 NORTHPOINT PARKWAY 400,WEST PALM BEACH,KAST CONSTRUCTION COMPANY LLC,33407.0,20 Day(s) 19 Hour(s) 40 Minute(s) ,20.0,2901 NE 1 AV,2018/12/05 13:53:00+00,131250770010,YES,True,2019/01/18 15:04:00+00,25.8041489772424,-80.1935436674005,T6-24A-O,,BD16015844056B001,2018-12-05 13:52:00+00:00,2018/12/03 10:04:00+00,BD16015844056,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/02/07 10:05:00+00,15000.0,44 Day(s) 1 Hour(s) 12 Minute(s) ,44.0,0.0,REGULAR EXTERIOR:DOORS,10822
10830,-80.1935436674005,25.8041489772424,10472,0.0,BD16015844,2019/04/24 09:36:00+00,,Final,All Inspections are finalized.,,,701 NORTHPOINT PARKWAY 400,WEST PALM BEACH,KAST CONSTRUCTION COMPANY LLC,33407.0,14 Day(s) 22 Hour(s) 56 Minute(s) ,14.0,2901 NE 1 AV,2018/12/05 15:02:00+00,131250770010,YES,True,2019/01/02 10:10:00+00,25.8041489772424,-80.1935436674005,T6-24A-O,,BD16015844057B001,2018-12-05 15:01:00+00:00,2018/12/03 10:10:00+00,BD16015844057,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/04/24 09:36:00+00,20000.0,27 Day(s) 19 Hour(s) 9 Minute(s) ,27.0,0.0,DECK WATERPROOFING,10831
10841,-80.1935436674005,25.8041489772424,10473,0.0,BD16015844,2019/02/12 08:59:00+00,,Final,All Inspections are finalized.,,,701 NORTHPOINT PARKWAY 400,WEST PALM BEACH,KAST CONSTRUCTION COMPANY LLC,33407.0,10 Day(s) 3 Hour(s) 34 Minute(s) ,10.0,2901 NE 1 AV,2018/12/11 12:12:00+00,131250770010,YES,True,2019/01/04 13:45:00+00,25.8041489772424,-80.1935436674005,T6-24A-O,,BD16015844060B001,2018-12-11 12:12:00+00:00,2018/12/11 10:13:00+00,BD16015844060,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/02/12 08:59:00+00,40000.0,24 Day(s) 1 Hour(s) 33 Minute(s) ,24.0,0.0,ALUMINIUM CLAD CANOPY,10842
