,X,Y,ID,AdditionSQFT,ApplicationNumber,BuildingFinalLastInspDate,BuildingFinalLastInspResult,BuildingPermitStatusDescription,BuildingPermitStatusReasonDescr,Certificatecode,Certificatedate,CompanyAddress,CompanyCity,CompanyName,CompanyZip,DaysInCity,DaysInCityNumeric,DeliveryAddress,FirstSubmissionDate,FolioNumber,IsPermitFinal,IsPrivateProvider,IssuedDate,Latitude,Longitude,Miami21Zone,NewAdditionCost,PermitNumber,PlanAcceptedDate,PlanCreatedDate,ProcessNumber,PropertyType,RemodelingCost,RemSQFT,RequiredCertificate,ScopeofWork,Statusdate,TotalCost,TotalDaysInPlanReview,TotalDaysInPlanReviewNumeric,TotalSQFT,WorkItems,ObjectId
4336,-80.1892176126437,25.814192196567,4421,0.0,BD15008697,2019/05/07 09:35:00+00,,Final,All Inspections are finalized.,,,3185 South Congress Ave  ,Del Ray,KAUFMAN LYNN CONSTRUCTION  INC. ,33445.0,7 Day(s) 1 Hour(s) 24 Minute(s) ,7.0,3900 BISCAYNE BLVD,2019/03/18 07:30:00+00,132190260010,YES,True,2019/05/01 12:21:00+00,25.814192196567,-80.1892176126437,T6-8-O,,BD15008697005B001,2019-03-18 07:29:00+00:00,2019/03/07 10:25:00+00,BD15008697005,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/05/07 09:35:00+00,26000.0,44 Day(s) 4 Hour(s) 52 Minute(s) ,44.0,0.0,SHORING / RE-SHORING,4337
4716,-80.1892176126437,25.814192196567,4449,0.0,BD15008697,,,Final,All Inspections are finalized.,,,3185 South Congress Ave  ,Del Ray,KAUFMAN LYNN CONSTRUCTION  INC. ,33445.0,4 Day(s) 17 Hour(s) 43 Minute(s) ,4.0,3900 BISCAYNE BLVD,2019/06/05 17:13:00+00,132190260010,YES,True,2019/07/01 20:00:00+00,25.814192196567,-80.1892176126437,T6-8-O,,BD15008697030B001,2019-06-05 17:12:00+00:00,2019/06/04 13:41:00+00,BD15008697030,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/07/22 12:56:00+00,85000.0,26 Day(s) 2 Hour(s) 48 Minute(s) ,26.0,0.0,REGULAR EXTERIOR:DOORS,4717
4724,-80.1892176126437,25.814192196567,4450,0.0,BD15008697,2019/09/04 09:44:00+00,,Final,All Inspections are finalized.,,,3185 South Congress Ave  ,Del Ray,KAUFMAN LYNN CONSTRUCTION  INC. ,33445.0,9 Day(s) 19 Hour(s) 22 Minute(s) ,9.0,3900 BISCAYNE BLVD,2019/06/10 16:43:00+00,132190260010,YES,True,2019/07/02 11:43:00+00,25.814192196567,-80.1892176126437,T6-8-O,,BD15008697031B001,2019-06-10 16:43:00+00:00,2019/06/07 11:50:00+00,BD15008697031,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/09/04 09:44:00+00,5000.0,21 Day(s) 19 Hour(s) 0 Minute(s) ,21.0,0.0,STRUCTURAL SUPPORT FOR EQUIPMENT,4725
4734,-80.1892176126437,25.814192196567,4452,0.0,BD15008697,2019/09/05 09:44:00+00,,Final,All Inspections are finalized.,,,3185 South Congress Ave  ,Del Ray,KAUFMAN LYNN CONSTRUCTION  INC. ,33445.0,8 Day(s) 4 Hour(s) 29 Minute(s) ,8.0,3900 BISCAYNE BLVD,2019/07/16 16:27:00+00,132190260010,YES,True,2019/09/04 12:05:00+00,25.814192196567,-80.1892176126437,T6-8-O,,BD15008697033B001,2019-07-16 16:27:00+00:00,2019/07/16 13:44:00+00,BD15008697033,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/09/05 09:44:00+00,2000.0,49 Day(s) 19 Hour(s) 38 Minute(s) ,49.0,0.0,RAILINGS - METAL,4735
4741,-80.1892176126437,25.814192196567,4453,0.0,BD15008697,2019/09/06 10:16:00+00,,Final,All Inspections are finalized.,,,3185 South Congress Ave  ,Del Ray,KAUFMAN LYNN CONSTRUCTION  INC. ,33445.0,16 Day(s) 20 Hour(s) 8 Minute(s) ,16.0,3900 BISCAYNE BLVD,2019/08/12 17:09:00+00,132190260010,YES,True,2019/09/04 12:16:00+00,25.814192196567,-80.1892176126437,T6-8-O,,BD15008697034B001,2019-08-12 17:09:00+00:00,2019/08/09 10:55:00+00,BD15008697034,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/09/06 10:16:00+00,25000.0,22 Day(s) 19 Hour(s) 7 Minute(s) ,22.0,0.0,LIGHT GAUGE STEEL FRAMING,4742
4751,-80.1892176126437,25.814192196567,4455,0.0,BD15008697,,,Final,All Inspections are finalized.,,,3185 South Congress Ave  ,Del Ray,KAUFMAN LYNN CONSTRUCTION  INC. ,33445.0,3 Day(s) 21 Hour(s) 4 Minute(s) ,3.0,3900 BISCAYNE BLVD,2019/08/22 11:52:00+00,132190260010,YES,True,2019/09/04 12:10:00+00,25.814192196567,-80.1892176126437,T6-8-O,,BD15008697036B001,2019-08-22 11:52:00+00:00,2019/08/22 11:05:00+00,BD15008697036,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/09/06 10:08:00+00,25000.0,13 Day(s) 0 Hour(s) 18 Minute(s) ,13.0,0.0,GARAGE OR ROLL-UP DOOR,4752
6428,-80.1906713930481,25.8015704070172,6020,0.0,BD15016532,2020/10/16 14:36:00+00,,Final,All Inspections are finalized.,,,3185 South Congress Ave  ,Del Ray,KAUFMAN LYNN CONSTRUCTION  INC. ,33445.0,96 Day(s) 19 Hour(s) 2 Minute(s) ,96.0,212 NE 26 ST,2018/11/07 14:34:00+00,132300220230,YES,False,2020/08/11 12:49:00+00,25.8015704070172,-80.1906713930481,T6-36A-O,,BD15016532022B001,2018-11-07 14:34:00+00:00,2018/11/05 14:22:00+00,BD15016532022,Commercial,,0.0,CO,NEW CONSTRUCTION,2020/10/16 14:36:00+00,2500.0,642 Day(s) 22 Hour(s) 15 Minute(s) ,642.0,0.0,STRUCTURAL SUPPORT FOR EQUIPMENT,6429
6948,-80.1763267209848,25.8477203770695,6994,0.0,BD16003197,,,Final,All Inspections are finalized.,,,3185 South Congress Ave  ,Del Ray,KAUFMAN LYNN CONSTRUCTION  INC. ,33445.0,4 Day(s) 17 Hour(s) 41 Minute(s) ,4.0,7865 NE 10 AV,2019/03/20 17:03:00+00,132080080010,YES,False,2019/04/10 14:49:00+00,25.8477203770695,-80.1763267209848,T5-O,,BD16003197020B001,2019-03-20 17:03:00+00:00,2019/03/20 08:43:00+00,BD16003197020,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/04/25 15:35:00+00,1100.0,20 Day(s) 21 Hour(s) 46 Minute(s) ,20.0,0.0,LOUVRES,6949
6952,-80.1763267209848,25.8477203770695,6995,0.0,BD16003197,,,Final,All Inspections are finalized.,,,3185 South Congress Ave  ,Del Ray,KAUFMAN LYNN CONSTRUCTION  INC. ,33445.0,8 Day(s) 9 Hour(s) 34 Minute(s) ,8.0,7865 NE 10 AV,2019/03/20 17:01:00+00,132080080010,YES,False,2019/04/29 14:22:00+00,25.8477203770695,-80.1763267209848,T5-O,,BD16003197021B001,2019-03-20 17:01:00+00:00,2019/03/20 08:53:00+00,BD16003197021,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/10/03 15:40:00+00,3000.0,39 Day(s) 21 Hour(s) 21 Minute(s) ,39.0,0.0,REGULAR EXTERIOR:DOORS,6953
6955,-80.1763267209848,25.8477203770695,6996,0.0,BD16003197,2019/07/12 12:08:00+00,,Final,All Inspections are finalized.,,,3185 South Congress Ave  ,Del Ray,KAUFMAN LYNN CONSTRUCTION  INC. ,33445.0,77 Day(s) 12 Hour(s) 30 Minute(s) ,77.0,7865 NE 10 AV,2019/03/29 14:18:00+00,132080080010,YES,False,2019/07/10 17:47:00+00,25.8477203770695,-80.1763267209848,T5-O,,BD16003197022B001,2019-03-29 14:17:00+00:00,2019/03/29 08:42:00+00,BD16003197022,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/07/12 12:08:00+00,3000.0,103 Day(s) 3 Hour(s) 30 Minute(s) ,103.0,0.0,RAILINGS - METAL,6956
7107,-80.1763267209848,25.8477203770695,7002,0.0,BD16003197,2019/05/31 10:35:00+00,,Final,All Inspections are finalized.,,,3185 South Congress Ave  ,Del Ray,KAUFMAN LYNN CONSTRUCTION  INC. ,33445.0,0 Day(s) 21 Hour(s) 44 Minute(s) ,0.0,7865 NE 10 AV,2019/04/11 17:02:00+00,132080080010,YES,False,2019/04/29 09:43:00+00,25.8477203770695,-80.1763267209848,T5-O,,BD16003197027B001,2019-04-11 17:02:00+00:00,2019/04/10 09:01:00+00,BD16003197027,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/05/31 10:35:00+00,1100.0,17 Day(s) 16 Hour(s) 41 Minute(s) ,17.0,0.0,STRUCTURAL SUPPORT FOR EQUIPMENT,7108
15739,-80.1937551101359,25.7807535172843,15768,0.0,BD17011264,,,Active,Permit is Active. Ready for Inspections.,,,3185 South Congress Ave  ,Del Ray,KAUFMAN LYNN CONSTRUCTION  INC. ,33445.0,100 Day(s) 1 Hour(s) 22 Minute(s) ,100.0,697 N MIAMI AV,2022/03/28 10:23:00+00,131370370015,NO,True,2022/07/08 15:58:00+00,25.7807535172843,-80.1937551101359,T6-60A-O,15000.0,BD17011264016B001,2022-03-28 10:22:00+00:00,2022/03/27 22:54:00+00,BD17011264016,Commercial,,0.0,CO,NEW CONSTRUCTION,2023/01/25 11:48:00+00,15000.0,102 Day(s) 5 Hour(s) 36 Minute(s) ,102.0,0.0,PEDESTRIAN WALKWAY/SCAFFOLDING/DEBRIS PROTECTION SYSTEM,15740
15751,-80.1937551101359,25.7807535172843,15770,0.0,BD17011264,,,Active,Permit is Active. Ready for Inspections.,,,3185 South Congress Ave  ,Del Ray,KAUFMAN LYNN CONSTRUCTION  INC. ,33445.0,8 Day(s) 18 Hour(s) 22 Minute(s) ,8.0,697 N MIAMI AV,2022/06/22 15:03:00+00,131370370015,NO,True,2022/07/12 10:00:00+00,25.7807535172843,-80.1937551101359,T6-60A-O,,BD17011264020B001,2022-06-22 15:03:00+00:00,2022/06/22 14:56:00+00,BD17011264020,Commercial,,0.0,CO,NEW CONSTRUCTION,2023/01/25 11:48:00+00,20000.0,19 Day(s) 18 Hour(s) 57 Minute(s) ,19.0,0.0,SHORING / RE-SHORING,15752
