,X,Y,ID,AdditionSQFT,ApplicationNumber,BuildingFinalLastInspDate,BuildingFinalLastInspResult,BuildingPermitStatusDescription,BuildingPermitStatusReasonDescr,Certificatecode,Certificatedate,CompanyAddress,CompanyCity,CompanyName,CompanyZip,DaysInCity,DaysInCityNumeric,DeliveryAddress,FirstSubmissionDate,FolioNumber,IsPermitFinal,IsPrivateProvider,IssuedDate,Latitude,Longitude,Miami21Zone,NewAdditionCost,PermitNumber,PlanAcceptedDate,PlanCreatedDate,ProcessNumber,PropertyType,RemodelingCost,RemSQFT,RequiredCertificate,ScopeofWork,Statusdate,TotalCost,TotalDaysInPlanReview,TotalDaysInPlanReviewNumeric,TotalSQFT,WorkItems,ObjectId
11000,-80.1869756131374,25.8003322622051,11201,0.0,BD16017560,,,Final,All Inspections are finalized.,,,2255 GLADES RD ,BOCA RATON,MCRT SOUTH FLORIDA CONSTRUCTION LLC,33431.0,22 Day(s) 19 Hour(s) 10 Minute(s) ,22.0,455 NE 24 ST,2018/12/21 10:10:00+00,132300260180,YES,True,2019/01/25 14:43:00+00,25.8003322622051,-80.1869756131374,T6-36A-L,,BD16017560061B001,2018-12-21 10:10:00+00:00,2018/12/20 08:47:00+00,BD16017560061,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/05/01 10:01:00+00,5000.0,35 Day(s) 4 Hour(s) 33 Minute(s) ,35.0,0.0,GARAGE OR ROLL-UP DOOR,11001
11002,-80.1869756131374,25.8003322622051,11203,0.0,BD16017560,2019/04/30 09:41:00+00,,Final,All Inspections are finalized.,,,2255 GLADES RD ,BOCA RATON,MCRT SOUTH FLORIDA CONSTRUCTION LLC,33431.0,58 Day(s) 2 Hour(s) 52 Minute(s) ,58.0,455 NE 24 ST,2019/01/22 07:58:00+00,132300260180,YES,True,2019/03/29 13:18:00+00,25.8003322622051,-80.1869756131374,T6-36A-L,100000.0,BD16017560062B001,2019-01-22 07:57:00+00:00,2019/01/18 09:06:00+00,BD16017560062,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/04/30 09:41:00+00,100000.0,66 Day(s) 5 Hour(s) 21 Minute(s) ,66.0,0.0,SCREEN WALL/DECORATIVE ARTWORK/NOT SIGNAGE,11003
11003,-80.1869756131374,25.8003322622051,11204,0.0,BD16017560,2019/05/17 09:26:00+00,,Final,All Inspections are finalized.,,,2255 GLADES RD ,BOCA RATON,MCRT SOUTH FLORIDA CONSTRUCTION LLC,33431.0,29 Day(s) 1 Hour(s) 57 Minute(s) ,29.0,455 NE 24 ST,2019/02/20 14:37:00+00,132300260180,YES,True,2019/03/29 13:20:00+00,25.8003322622051,-80.1869756131374,T6-36A-L,21000.0,BD16017560063B001,2019-02-20 14:37:00+00:00,2019/02/20 09:22:00+00,BD16017560063,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/05/17 09:26:00+00,21000.0,36 Day(s) 22 Hour(s) 43 Minute(s) ,36.0,0.0,SCREEN WALL/DECORATIVE ARTWORK/NOT SIGNAGE,11004
11746,-80.1869756131374,25.8003322622051,11163,0.0,BD16017560,2019/04/08 10:05:00+00,,Final,All Inspections are finalized.,,,2255 GLADES RD ,BOCA RATON,MCRT SOUTH FLORIDA CONSTRUCTION LLC,33431.0,10 Day(s) 12 Hour(s) 52 Minute(s) ,10.0,455 NE 24 ST,2018/10/31 17:28:00+00,132300260180,YES,True,2018/11/27 12:41:00+00,25.8003322622051,-80.1869756131374,T6-36A-L,,BD16017560019B001,2018-10-31 17:27:00+00:00,2018/09/19 11:35:00+00,BD16017560019,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/04/08 10:05:00+00,45000.0,26 Day(s) 19 Hour(s) 14 Minute(s) ,26.0,0.0,RAILINGS - METAL,11747
11796,-80.1869756131374,25.8003322622051,11168,0.0,BD16017560,2019/04/24 09:49:00+00,,Final,All Inspections are finalized.,,,2255 GLADES RD ,BOCA RATON,MCRT SOUTH FLORIDA CONSTRUCTION LLC,33431.0,8 Day(s) 21 Hour(s) 2 Minute(s) ,8.0,455 NE 24 ST,2018/10/30 17:36:00+00,132300260180,YES,True,2018/11/20 13:59:00+00,25.8003322622051,-80.1869756131374,T6-36A-L,,BD16017560022B001,2018-10-30 17:35:00+00:00,2018/10/30 10:16:00+00,BD16017560022,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/04/24 09:49:00+00,15000.0,20 Day(s) 20 Hour(s) 24 Minute(s) ,20.0,0.0,TRELLIS,11797
11805,-80.1869756131374,25.8003322622051,11169,0.0,BD16017560,,,Final,All Inspections are finalized.,,,2255 GLADES RD ,BOCA RATON,MCRT SOUTH FLORIDA CONSTRUCTION LLC,33431.0,13 Day(s) 0 Hour(s) 10 Minute(s) ,13.0,455 NE 24 ST,2018/11/02 10:35:00+00,132300260180,YES,True,2018/11/27 12:40:00+00,25.8003322622051,-80.1869756131374,T6-36A-L,,BD16017560023B001,2018-11-02 10:35:00+00:00,2018/11/01 08:35:00+00,BD16017560023,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/05/17 09:25:00+00,54900.0,25 Day(s) 2 Hour(s) 5 Minute(s) ,25.0,0.0,LOUVRES,11806
11812,-80.1869756131374,25.8003322622051,11170,0.0,BD16017560,2019/03/18 09:39:00+00,,Final,All Inspections are finalized.,,,2255 GLADES RD ,BOCA RATON,MCRT SOUTH FLORIDA CONSTRUCTION LLC,33431.0,13 Day(s) 1 Hour(s) 26 Minute(s) ,13.0,455 NE 24 ST,2018/11/02 10:33:00+00,132300260180,YES,True,2018/11/27 12:39:00+00,25.8003322622051,-80.1869756131374,T6-36A-L,,BD16017560024B001,2018-11-02 10:33:00+00:00,2018/11/01 08:40:00+00,BD16017560024,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/03/18 09:39:00+00,14250.0,25 Day(s) 2 Hour(s) 6 Minute(s) ,25.0,0.0,LIGHT GAUGE STEEL FRAMING,11813
11830,-80.1869756131374,25.8003322622051,11173,0.0,BD16017560,2019/04/08 10:05:00+00,,Final,All Inspections are finalized.,,,2255 GLADES RD ,BOCA RATON,MCRT SOUTH FLORIDA CONSTRUCTION LLC,33431.0,14 Day(s) 23 Hour(s) 51 Minute(s) ,14.0,455 NE 24 ST,2018/11/05 08:48:00+00,132300260180,YES,True,2018/12/04 12:36:00+00,25.8003322622051,-80.1869756131374,T6-36A-L,,BD16017560026B001,2018-11-05 08:46:00+00:00,2018/11/02 15:01:00+00,BD16017560026,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/04/08 10:05:00+00,238000.0,29 Day(s) 3 Hour(s) 50 Minute(s) ,29.0,0.0,RAILINGS - METAL,11831
11837,-80.1869756131374,25.8003322622051,11174,0.0,BD16017560,2019/04/08 10:05:00+00,,Final,All Inspections are finalized.,,,2255 GLADES RD ,BOCA RATON,MCRT SOUTH FLORIDA CONSTRUCTION LLC,33431.0,26 Day(s) 5 Hour(s) 23 Minute(s) ,26.0,455 NE 24 ST,2018/11/09 08:28:00+00,132300260180,YES,True,2018/12/17 15:09:00+00,25.8003322622051,-80.1869756131374,T6-36A-L,,BD16017560028B001,2018-11-09 08:27:00+00:00,2018/11/08 13:52:00+00,BD16017560028,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/04/08 10:05:00+00,124000.0,38 Day(s) 6 Hour(s) 42 Minute(s) ,38.0,0.0,RAILINGS-GLASS,11838
11991,-80.1869756131374,25.8003322622051,11200,0.0,BD16017560,2019/03/18 09:40:00+00,,Final,All Inspections are finalized.,,,2255 GLADES RD ,BOCA RATON,MCRT SOUTH FLORIDA CONSTRUCTION LLC,33431.0,28 Day(s) 9 Hour(s) 0 Minute(s) ,28.0,455 NE 24 ST,2018/12/10 08:59:00+00,132300260180,YES,True,2019/01/18 11:45:00+00,25.8003322622051,-80.1869756131374,T6-36A-L,,BD16017560060B001,2018-12-10 08:58:00+00:00,2018/12/07 12:00:00+00,BD16017560060,Commercial,,0.0,CO,NEW CONSTRUCTION,2019/03/18 09:40:00+00,14000.0,39 Day(s) 2 Hour(s) 47 Minute(s) ,39.0,0.0,RAILINGS - METAL,11992
